k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.166834756731987, 0.157649353146553, -0.2823886871337891, 0.3805079162120819, -0.1505714952945709, 0.1168291643261909, -0.275102436542511, -0.0063561266288161, -0.1015815734863281, -0.1157577559351921, -0.1703028529882431, 0.2026741802692413, 0.1128134354948997, -0.1968705058097839, 0.1834356784820557, -0.4231224358081818, -0.0279195439070463, 0.3752683103084564, -0.014877749606967, 0.0421353541314602, -0.133919894695282, -0.2724983394145966]| 14.2095594406127930|      2.00000000|[61, 4, 0, 1]                                                              | | GPS sucess | actual_k=4
      52|[-59.621603794395924, -58.437116622924805, 0.7471496164798737, 53.74270057678223, -3.5536689610453323, 11.408634319901466, -27.097287446260452, 54.37199277430773, -60.96773083508015, 5.664168797433376, 33.474383648019284, 1.3338626630138606, -20.87574906781083, -34.824445117264986, -25.394726440310478, -11.240645422134548, 5.928247081115842, -42.066074669361115, -43.49939741007984, 40.385920299217105, -33.91017610579729, 33.49616951495409]| 11.9616527557373047|     16.00000000|[3121, 208, 0, 52]                                                         |  | used linear model with 65 points | actual_k=4
      53|[-63.11961538344622, -58.99307930469513, 2.592326432466507, 56.011940002441406, -6.976708635804243, 8.379763022065163, -24.392954140901566, 56.82855410128832, -62.08724661171436, 4.137074671685696, 30.875573213677853, -3.321344017283991, -19.395796494034585, -35.60969941690564, -28.145521327853203, -8.754400743637234, -3.687165630981326, -41.597925812006, -42.30790246836841, 37.43681360594928, -35.69769234210253, 31.782910533249378]| 11.9542484283447266|     32.00000000|[3181, 212, 0, 53]                                                         | | GPS sucess | actual_k=4
      54|[-63.11961538344622, -58.99307930469513, 2.592326432466507, 56.011940002441406, -6.976708635804243, 8.379763022065163, -24.392954140901566, 56.82855410128832, -62.08724661171436, 4.137074671685696, 30.875573213677853, -3.321344017283991, -19.395796494034585, -35.60969941690564, -28.145521327853203, -8.754400743637234, -3.687165630981326, -41.597925812006, -42.30790246836841, 37.43681360594928, -35.69769234210253, 31.782910533249378]| 11.9542484283447266|     16.00000000|[3241, 216, 0, 54]                                                         |  | used linear model with 65 points | actual_k=4
      55|[-61.96082241088152, -68.07830440998077, 7.478175908327103, 54.87249839305878, -8.639103517052718, 8.579024374485016, -29.301234990358353, 56.70444271713495, -65.8331198245287, 6.676166258752346, 30.672023381572217, 0.274453044636175, -23.839906887558755, -37.04923181608319, -26.173374339938164, -10.070041669998318, -6.734916342422366, -38.44952240586281, -37.28004135005176, 39.991394056007266, -33.84692806750536, 30.999987728893757]| 11.9496374130249023|     32.00000000|[3301, 220, 0, 55]                                                         | | GPS sucess | actual_k=4
      56|[-68.54321844130754, -71.14298903942108, 8.69096377491951, 60.272241950035095, -24.92213879537303, 19.21815401315689, -30.186977714300156, 51.613099314272404, -62.01671214401722, 11.756325922906399, 39.71540221152827, 5.176143527729437, -31.739548401383217, -32.90506677702069, -33.373340770602226, 1.0819187029264867, -13.082982195541263, -42.0398932993412, -44.591929567977786, 35.90696526877582, -32.7834510281682, 28.689735300838947]| 11.9356260299682617|     64.00000000|[3361, 224, 0, 56]                                                         | | GPS sucess | actual_k=4
      57|[-68.54321844130754, -71.14298903942108, 8.69096377491951, 60.272241950035095, -24.92213879537303, 19.21815401315689, -30.186977714300156, 51.613099314272404, -62.01671214401722, 11.756325922906399, 39.71540221152827, 5.176143527729437, -31.739548401383217, -32.90506677702069, -33.373340770602226, 1.0819187029264867, -13.082982195541263, -42.0398932993412, -44.591929567977786, 35.90696526877582, -32.7834510281682, 28.689735300838947]| 11.9356260299682617|     32.00000000|[3421, 228, 0, 57]                                                         |  | used linear model with 65 points | actual_k=4
      58|[-68.54321844130754, -71.14298903942108, 8.69096377491951, 60.272241950035095, -24.92213879537303, 19.21815401315689, -30.186977714300156, 51.613099314272404, -62.01671214401722, 11.756325922906399, 39.71540221152827, 5.176143527729437, -31.739548401383217, -32.90506677702069, -33.373340770602226, 1.0819187029264867, -13.082982195541263, -42.0398932993412, -44.591929567977786, 35.90696526877582, -32.7834510281682, 28.689735300838947]| 11.9356260299682617|     16.00000000|[3481, 232, 0, 58]                                                         |  | used linear model with 65 points | actual_k=4
      59|[-68.54321844130754, -71.14298903942108, 8.69096377491951, 60.272241950035095, -24.92213879537303, 19.21815401315689, -30.186977714300156, 51.613099314272404, -62.01671214401722, 11.756325922906399, 39.71540221152827, 5.176143527729437, -31.739548401383217, -32.90506677702069, -33.373340770602226, 1.0819187029264867, -13.082982195541263, -42.0398932993412, -44.591929567977786, 35.90696526877582, -32.7834510281682, 28.689735300838947]| 11.9356260299682617|      8.00000000|[3541, 236, 0, 59]                                                         |  | used linear model with 65 points | actual_k=4
      60|[-70.57303363829851, -73.94932091236115, 11.36593011021614, 61.48062181472778, -26.650014147278853, 19.953446805477142, -29.931766480207443, 51.67471060529351, -60.978019669651985, 12.616104625165462, 40.442638780456036, 2.530814529163763, -31.431499676255044, -29.269411850720644, -31.15676037967205, 0.83403350552544, -12.590549243614078, -44.21212521195412, -45.27756400220096, 36.052057607099414, -34.65284628421068, 27.562419660389423]| 11.9229192733764648|     16.00000000|[3601, 240, 0, 60]                                                         | | GPS sucess | actual_k=4
      61|[-74.19557268172503, -71.91820466518402, 12.544073611497879, 63.87781882286072, -27.052053853985853, 17.842855155467987, -32.5248963534832, 51.067202780395746, -63.05560274422169, 11.977482102811337, 36.326619054656476, 7.9641865498851985, -24.009863571671303, -24.13911895826459, -25.501913711428642, 4.00148202618584, -10.844618929550052, -41.99616423249245, -46.00357116572559, 35.05675165168941, -37.9146937802434, 24.41277790814638]| 11.9162693023681641|     32.00000000|[3661, 244, 0, 61]                                                         | | GPS sucess | actual_k=4
      62|[-74.19557268172503, -71.91820466518402, 12.544073611497879, 63.87781882286072, -27.052053853985853, 17.842855155467987, -32.5248963534832, 51.067202780395746, -63.05560274422169, 11.977482102811337, 36.326619054656476, 7.9641865498851985, -24.009863571671303, -24.13911895826459, -25.501913711428642, 4.00148202618584, -10.844618929550052, -41.99616423249245, -46.00357116572559, 35.05675165168941, -37.9146937802434, 24.41277790814638]| 11.9162693023681641|     16.00000000|[3721, 248, 0, 62]                                                         |  | used linear model with 65 points | actual_k=4
      63|[-74.19557268172503, -71.91820466518402, 12.544073611497879, 63.87781882286072, -27.052053853985853, 17.842855155467987, -32.5248963534832, 51.067202780395746, -63.05560274422169, 11.977482102811337, 36.326619054656476, 7.9641865498851985, -24.009863571671303, -24.13911895826459, -25.501913711428642, 4.00148202618584, -10.844618929550052, -41.99616423249245, -46.00357116572559, 35.05675165168941, -37.9146937802434, 24.41277790814638]| 11.9162693023681641|      8.00000000|[3781, 252, 0, 63]                                                         |  | used linear model with 65 points | actual_k=4
      64|[-74.19557268172503, -71.91820466518402, 12.544073611497879, 63.87781882286072, -27.052053853985853, 17.842855155467987, -32.5248963534832, 51.067202780395746, -63.05560274422169, 11.977482102811337, 36.326619054656476, 7.9641865498851985, -24.009863571671303, -24.13911895826459, -25.501913711428642, 4.00148202618584, -10.844618929550052, -41.99616423249245, -46.00357116572559, 35.05675165168941, -37.9146937802434, 24.41277790814638]| 11.9162693023681641|      4.00000000|[3841, 256, 0, 64]                                                         |  | used linear model with 65 points | actual_k=4
      65|[-74.99212641268969, -72.99104845523834, 13.30203852057457, 64.48612624406815, -27.673031315323897, 19.991749942302704, -33.27621999382973, 51.83147392049432, -63.029329895973206, 12.080756969749928, 35.90345328627154, 7.653787941439077, -24.07456763967639, -23.93079388514161, -25.54074788093567, 3.819478945340961, -11.069392709061503, -40.8888421356678, -47.22742713801563, 34.15101985447109, -38.57373494654894, 22.981385119259357]| 11.9127006530761719|      8.00000000|[3901, 260, 0, 65]                                                         | | GPS sucess | actual_k=4
      66|[-74.99212641268969, -72.99104845523834, 13.30203852057457, 64.48612624406815, -27.673031315323897, 19.991749942302704, -33.27621999382973, 51.83147392049432, -63.029329895973206, 12.080756969749928, 35.90345328627154, 7.653787941439077, -24.07456763967639, -23.93079388514161, -25.54074788093567, 3.819478945340961, -11.069392709061503, -40.8888421356678, -47.22742713801563, 34.15101985447109, -38.57373494654894, 22.981385119259357]| 11.9127006530761719|      4.00000000|[3961, 264, 0, 66]                                                         |  | used linear model with 65 points | actual_k=4
      67|[-75.82798434048891, -72.37872451543808, 12.791764587163925, 65.2549866437912, -29.137460693833418, 21.026823461055756, -32.887188613414764, 51.80621526762843, -63.16108736395836, 13.05170077830553, 36.701337094884366, 7.788828835589811, -24.38767575606471, -22.327534440904856, -25.80579251050949, 5.237454728689045, -11.597965447232127, -40.4251309633255, -47.75570566765964, 35.10588149540126, -37.86919970065355, 21.930789954960346]| 11.9119939804077148|      8.00000000|[4021, 268, 0, 67]                                                         | | GPS sucess | actual_k=4
      68|[-77.07213927060366, -73.33988469839096, 12.780408153310418, 66.1342744231224, -29.47199814033229, 22.74216991662979, -31.950288593769073, 53.27749012038112, -64.45155450701714, 11.663083501160145, 37.04400524077937, 4.66481898794882, -25.668628924933728, -20.80414843931794, -22.278296411037445, 7.675960378255695, -12.216765252873302, -41.398229479789734, -45.276531053707004, 36.9167610835284, -36.641832299530506, 22.83121556788683]| 11.9111585617065430|     16.00000000|[4081, 272, 0, 68]                                                         | | GPS sucess | actual_k=4
      69|[-78.5638996437192, -74.06001281738281, 10.682822713628411, 67.88483792543411, -31.189775511738844, 15.816885530948639, -32.57116734981537, 54.81464908644557, -65.49097082018852, 10.731842465698719, 39.066463555675, 7.276736960513517, -24.114050501433667, -19.58339262381196, -23.720848977565765, 7.13926895102486, -9.710486738011241, -44.65069496631622, -42.95461876504123, 42.86435334198177, -45.16578955203295, 28.45605344325304]| 11.9051637649536133|     32.00000000|[4141, 276, 0, 69]                                                         | | GPS sucess | actual_k=4
      70|[-78.5638996437192, -74.06001281738281, 10.682822713628411, 67.88483792543411, -31.189775511738844, 15.816885530948639, -32.57116734981537, 54.81464908644557, -65.49097082018852, 10.731842465698719, 39.066463555675, 7.276736960513517, -24.114050501433667, -19.58339262381196, -23.720848977565765, 7.13926895102486, -9.710486738011241, -44.65069496631622, -42.95461876504123, 42.86435334198177, -45.16578955203295, 28.45605344325304]| 11.9051637649536133|     16.00000000|[4201, 280, 0, 70]                                                         |  | used linear model with 65 points | actual_k=4
      71|[-79.73653794080019, -78.65272760391235, 10.292579451575875, 69.08026105165482, -28.64950184535701, 17.224003612995148, -30.902319192886353, 57.791846971958876, -60.179120272397995, 2.631542630493641, 38.08629986224696, 6.103554115397856, -23.598016494361218, -20.084833148866892, -26.688818871974945, 13.539084033574909, -10.89861842803657, -39.47227489948273, -41.1640061866492, 42.71674093417823, -42.32618159800768, 24.097454257309437]| 11.8988599777221680|     32.00000000|[4261, 284, 0, 71]                                                         | | GPS sucess | actual_k=4
      72|[-79.73653794080019, -78.65272760391235, 10.292579451575875, 69.08026105165482, -28.64950184535701, 17.224003612995148, -30.902319192886353, 57.791846971958876, -60.179120272397995, 2.631542630493641, 38.08629986224696, 6.103554115397856, -23.598016494361218, -20.084833148866892, -26.688818871974945, 13.539084033574909, -10.89861842803657, -39.47227489948273, -41.1640061866492, 42.71674093417823, -42.32618159800768, 24.097454257309437]| 11.8988599777221680|     16.00000000|[4321, 288, 0, 72]                                                         |  | used linear model with 65 points | actual_k=4
      73|[-79.73653794080019, -78.65272760391235, 10.292579451575875, 69.08026105165482, -28.64950184535701, 17.224003612995148, -30.902319192886353, 57.791846971958876, -60.179120272397995, 2.631542630493641, 38.08629986224696, 6.103554115397856, -23.598016494361218, -20.084833148866892, -26.688818871974945, 13.539084033574909, -10.89861842803657, -39.47227489948273, -41.1640061866492, 42.71674093417823, -42.32618159800768, 24.097454257309437]| 11.8988599777221680|      8.00000000|[4381, 292, 0, 73]                                                         |  | used linear model with 65 points | actual_k=4
      74|[-79.73653794080019, -78.65272760391235, 10.292579451575875, 69.08026105165482, -28.64950184535701, 17.224003612995148, -30.902319192886353, 57.791846971958876, -60.179120272397995, 2.631542630493641, 38.08629986224696, 6.103554115397856, -23.598016494361218, -20.084833148866892, -26.688818871974945, 13.539084033574909, -10.89861842803657, -39.47227489948273, -41.1640061866492, 42.71674093417823, -42.32618159800768, 24.097454257309437]| 11.8988599777221680|      4.00000000|[4441, 296, 0, 74]                                                         |  | used linear model with 65 points | actual_k=4
      75|[-80.75757063180208, -78.3862646818161, 10.086398044601083, 69.88948321342468, -27.986565932747908, 17.567027926445007, -30.684588477015495, 56.160504680126905, -59.890735894441605, 1.9001919701695442, 37.59724834142253, 5.406318173510954, -23.50918950274354, -21.450596813112497, -26.68581295781769, 15.249280051793903, -10.358166484162211, -38.332465052604675, -40.27324773184955, 42.43425673060119, -41.951373882591724, 22.645123668015003]| 11.8969497680664062|      8.00000000|[4501, 300, 0, 75]                                                         | | GPS sucess | actual_k=4
      76|[-82.25301969796419, -80.40677678585052, 8.200246850028634, 71.60360538959503, -27.73563258361537, 16.25372588634491, -29.627006337046623, 56.466095577925444, -58.05833664536476, 1.7983598187565804, 38.94316568551585, 4.760579929454252, -26.182617561367806, -22.156453672796488, -26.40301648550667, 15.610179857816547, -13.44322612695396, -40.613940834999084, -39.69976611249149, 41.52044987492263, -44.462378330528736, 21.325031466782093]| 11.8921108245849609|     16.00000000|[4561, 304, 0, 76]                                                         | | GPS sucess | actual_k=4
      77|[-82.25301969796419, -80.40677678585052, 8.200246850028634, 71.60360538959503, -27.73563258361537, 16.25372588634491, -29.627006337046623, 56.466095577925444, -58.05833664536476, 1.7983598187565804, 38.94316568551585, 4.760579929454252, -26.182617561367806, -22.156453672796488, -26.40301648550667, 15.610179857816547, -13.44322612695396, -40.613940834999084, -39.69976611249149, 41.52044987492263, -44.462378330528736, 21.325031466782093]| 11.8921108245849609|      8.00000000|[4621, 308, 0, 77]                                                         |  | used linear model with 65 points | actual_k=4
      78|[-83.17554623633623, -82.27869188785553, 11.795478383079171, 71.81437748670578, -26.370055362698622, 16.821927070617676, -28.137145206332207, 57.655370604246855, -57.12016263604164, 0.9458534196019173, 40.44061544118449, 2.341751680476591, -23.279682294873055, -19.12576347962022, -26.52449058764614, 16.030970828142017, -14.927001623436809, -41.87826097011566, -39.35178153030574, 41.62501378171146, -44.12802631407976, 19.639800496399403]| 11.8880281448364258|     16.00000000|[4681, 312, 0, 78]                                                         | | GPS sucess | actual_k=4
      79|[-85.77156526595354, -82.78881692886353, 15.902423420920968, 73.29859215021133, -17.706429645535536, 13.137772798538208, -30.400684997439384, 56.247353445738554, -65.19756570458412, -2.126474194228649, 39.573827769141644, 2.634802059037611, -25.26986517145997, -17.17509574070573, -28.512144319945946, 13.440243260469288, -13.393047837540507, -43.45716309547424, -40.23757998459041, 37.93660302273929, -43.877059288322926, 16.002350516617298]| 11.8872776031494141|     32.00000000|[4741, 316, 0, 79]                                                         | | GPS sucess | actual_k=4
      80|[-92.98062164336443, -94.79152345657349, 10.290658036246896, 80.74190908670425, -7.94132630538661, 13.859017491340637, -20.572175666689873, 63.29278792068362, -69.65120473504066, -9.290680699050426, 37.91635205922648, -3.6443670236039907, -30.36104358866578, -14.866741124540567, -23.83600353472866, 15.325874464120716, -8.639340905472636, -37.91522288322449, -34.05787627212703, 35.211464835330844, -47.07217437773943, 11.204974837601185]| 11.8652420043945312|     64.00000000|[4801, 320, 0, 80]                                                         | | GPS sucess | actual_k=4
      81|[-92.98062164336443, -94.79152345657349, 10.290658036246896, 80.74190908670425, -7.94132630538661, 13.859017491340637, -20.572175666689873, 63.29278792068362, -69.65120473504066, -9.290680699050426, 37.91635205922648, -3.6443670236039907, -30.36104358866578, -14.866741124540567, -23.83600353472866, 15.325874464120716, -8.639340905472636, -37.91522288322449, -34.05787627212703, 35.211464835330844, -47.07217437773943, 11.204974837601185]| 11.8652420043945312|     32.00000000|[4861, 324, 0, 81]                                                         |  | used linear model with 65 points | actual_k=4
      82|[-92.98062164336443, -94.79152345657349, 10.290658036246896, 80.74190908670425, -7.94132630538661, 13.859017491340637, -20.572175666689873, 63.29278792068362, -69.65120473504066, -9.290680699050426, 37.91635205922648, -3.6443670236039907, -30.36104358866578, -14.866741124540567, -23.83600353472866, 15.325874464120716, -8.639340905472636, -37.91522288322449, -34.05787627212703, 35.211464835330844, -47.07217437773943, 11.204974837601185]| 11.8652420043945312|     16.00000000|[4921, 328, 0, 82]                                                         |  | used linear model with 65 points | actual_k=4
      83|[-96.00686318427324, -96.67279064655304, 9.532180288806558, 83.18142491579056, -9.399326965329237, 20.001923203468323, -20.17205001413822, 54.611990343779325, -75.99617639183998, -5.048647694289684, 37.29220798192546, -6.869286819593981, -31.825795309094246, -13.188181940466166, -22.514543883735314, 19.94311680039391, -10.767913846299052, -38.12949602305889, -37.20975105278194, 33.298519445583224, -49.416474886238575, 11.309482507407665]| 11.8497276306152344|     32.00000000|[4981, 332, 0, 83]                                                         | | GPS sucess | actual_k=4
      84|[-96.00686318427324, -96.67279064655304, 9.532180288806558, 83.18142491579056, -9.399326965329237, 20.001923203468323, -20.17205001413822, 54.611990343779325, -75.99617639183998, -5.048647694289684, 37.29220798192546, -6.869286819593981, -31.825795309094246, -13.188181940466166, -22.514543883735314, 19.94311680039391, -10.767913846299052, -38.12949602305889, -37.20975105278194, 33.298519445583224, -49.416474886238575, 11.309482507407665]| 11.8497276306152344|     16.00000000|[5041, 336, 0, 84]                                                         |  | used linear model with 65 points | actual_k=4
      85|[-96.00686318427324, -96.67279064655304, 9.532180288806558, 83.18142491579056, -9.399326965329237, 20.001923203468323, -20.17205001413822, 54.611990343779325, -75.99617639183998, -5.048647694289684, 37.29220798192546, -6.869286819593981, -31.825795309094246, -13.188181940466166, -22.514543883735314, 19.94311680039391, -10.767913846299052, -38.12949602305889, -37.20975105278194, 33.298519445583224, -49.416474886238575, 11.309482507407665]| 11.8497276306152344|      8.00000000|[5101, 340, 0, 85]                                                         |  | used linear model with 65 points | actual_k=4
      86|[-96.00686318427324, -96.67279064655304, 9.532180288806558, 83.18142491579056, -9.399326965329237, 20.001923203468323, -20.17205001413822, 54.611990343779325, -75.99617639183998, -5.048647694289684, 37.29220798192546, -6.869286819593981, -31.825795309094246, -13.188181940466166, -22.514543883735314, 19.94311680039391, -10.767913846299052, -38.12949602305889, -37.20975105278194, 33.298519445583224, -49.416474886238575, 11.309482507407665]| 11.8497276306152344|      4.00000000|[5161, 344, 0, 86]                                                         |  | used linear model with 65 points | actual_k=4
      87|[-96.5004720762372, -97.86111426353455, 10.284130135551095, 83.48530465364456, -10.277119562146254, 19.590026825666428, -19.87787576019764, 53.82463861629367, -76.25981786847115, -5.308080576360226, 37.76850917516276, -6.865151008358225, -31.843619003368076, -12.811985585838556, -22.618185445899144, 20.104574949946254, -9.605510858818889, -37.15215687453747, -38.07508103363216, 33.01367805711925, -48.680344231426716, 13.480151109397411]| 11.8484649658203125|      8.00000000|[5221, 348, 0, 87]                                                         | | GPS sucess | actual_k=4
      88|[-98.64043713361025, -98.42070013284683, 9.277012744918466, 85.56180769205093, -9.836041733738966, 20.21643379330635, -17.302990153431892, 50.97997356578708, -78.68864253163338, -7.775358580052853, 38.20384761271998, -5.322879871120676, -31.881714071554597, -12.179702673107386, -21.726774856681004, 22.2537489249371, -8.433987407013774, -38.46494297683239, -39.33086769096553, 34.15698014013469, -51.24361456185579, 12.340007476508617]| 11.8473739624023438|     16.00000000|[5281, 352, 0, 88]                                                         | | GPS sucess | actual_k=4
      89|[-98.64043713361025, -98.42070013284683, 9.277012744918466, 85.56180769205093, -9.836041733738966, 20.21643379330635, -17.302990153431892, 50.97997356578708, -78.68864253163338, -7.775358580052853, 38.20384761271998, -5.322879871120676, -31.881714071554597, -12.179702673107386, -21.726774856681004, 22.2537489249371, -8.433987407013774, -38.46494297683239, -39.33086769096553, 34.15698014013469, -51.24361456185579, 12.340007476508617]| 11.8473739624023438|      8.00000000|[5341, 356, 0, 89]                                                         |  | used linear model with 65 points | actual_k=4
      90|[-99.37536431103945, -98.01883140206337, 12.330525318160653, 85.33867257833481, -10.020776003715582, 20.871838122606277, -16.87936969101429, 50.82644974812865, -80.07822325825691, -8.987350843846798, 40.75239249644801, -5.545862948289141, -30.020832623762544, -13.14002749696374, -22.262788340682164, 23.542321951594204, -7.396053342148662, -35.94509033858776, -41.03148822300136, 36.22859631292522, -51.86104626208544, 14.792018584907055]| 11.8441963195800781|     16.00000000|[5401, 360, 0, 90]                                                         | | GPS sucess | actual_k=4
      91|[-101.32672549039125, -93.19915500283241, 15.636950412765145, 86.02743262052536, -10.925228148815222, 19.08344915509224, -21.570363000035286, 55.443124171346426, -73.73144295811653, -12.92588271945715, 41.30000844178721, -7.14493921934627, -31.031511511129793, -11.94746658578515, -19.844224974745885, 21.102660687174648, -12.063712624832988, -30.90201286971569, -41.37076546065509, 37.632108671590686, -45.664118237793446, 15.040940277278423]| 11.8398132324218750|     32.00000000|[5461, 364, 0, 91]                                                         | | GPS sucess | actual_k=4
      92|[-103.45294929295778, -103.72977176308632, 19.10066763497889, 87.8265489935875, -13.903653413173743, 15.054959565401077, -27.88555283844471, 55.68914422020316, -73.84987370669842, -16.456237219274044, 38.48109736619517, -1.5522568577434868, -30.423936750215944, -6.128130171447992, -24.725686118239537, 11.7324128462933, 8.95980498380959, -30.490651354193687, -40.03994215838611, 37.176519287750125, -37.09332603961229, 24.842933647334576]| 11.8269138336181641|     64.00000000|[5521, 368, 0, 92]                                                         | | GPS sucess | actual_k=4
      93|[-103.45294929295778, -103.72977176308632, 19.10066763497889, 87.8265489935875, -13.903653413173743, 15.054959565401077, -27.88555283844471, 55.68914422020316, -73.84987370669842, -16.456237219274044, 38.48109736619517, -1.5522568577434868, -30.423936750215944, -6.128130171447992, -24.725686118239537, 11.7324128462933, 8.95980498380959, -30.490651354193687, -40.03994215838611, 37.176519287750125, -37.09332603961229, 24.842933647334576]| 11.8269138336181641|     32.00000000|[5581, 372, 0, 93]                                                         |  | used linear model with 65 points | actual_k=4
      94|[-103.45294929295778, -103.72977176308632, 19.10066763497889, 87.8265489935875, -13.903653413173743, 15.054959565401077, -27.88555283844471, 55.68914422020316, -73.84987370669842, -16.456237219274044, 38.48109736619517, -1.5522568577434868, -30.423936750215944, -6.128130171447992, -24.725686118239537, 11.7324128462933, 8.95980498380959, -30.490651354193687, -40.03994215838611, 37.176519287750125, -37.09332603961229, 24.842933647334576]| 11.8269138336181641|     16.00000000|[5641, 376, 0, 94]                                                         |  | used linear model with 65 points | actual_k=4
      95|[-103.45294929295778, -103.72977176308632, 19.10066763497889, 87.8265489935875, -13.903653413173743, 15.054959565401077, -27.88555283844471, 55.68914422020316, -73.84987370669842, -16.456237219274044, 38.48109736619517, -1.5522568577434868, -30.423936750215944, -6.128130171447992, -24.725686118239537, 11.7324128462933, 8.95980498380959, -30.490651354193687, -40.03994215838611, 37.176519287750125, -37.09332603961229, 24.842933647334576]| 11.8269138336181641|      8.00000000|[5701, 380, 0, 95]                                                         |  | used linear model with 65 points | actual_k=4
      96|[-104.0802690461278, -105.83019271492958, 16.972627082839608, 88.83973389863968, -11.50618508469779, 16.018115788698196, -28.220222547650337, 57.00119575485587, -73.18617324531078, -16.667714677751064, 41.331565763335675, -4.181563650956377, -32.221663023752626, -5.025128576904535, -24.474897250765935, 9.45530274650082, 8.468785585835576, -33.41298173367977, -38.97997177951038, 37.83311046473682, -38.30856925994158, 24.44580888003111]| 11.8242874145507812|     16.00000000|[5761, 384, 0, 96]                                                         | | GPS sucess | actual_k=4
      97|[-107.02281875163317, -109.26590958237648, 12.035739341750741, 92.4041274189949, -11.412526331958361, 9.6501524746418, -28.44738732278347, 59.93317278847098, -77.65457324683666, -14.901499949395657, 41.65486406860873, -2.151509558549151, -26.584136988443788, -7.331745121628046, -26.414127454394475, 12.747782023157924, 8.338126884773374, -39.79678176343441, -42.35570348612964, 37.74887899123132, -39.20448160916567, 25.54495870321989]| 11.8231506347656250|     32.00000000|[5821, 388, 0, 97]                                                         | | GPS sucess | actual_k=4
      98|[-109.89883989840746, -107.11460581421852, 21.17740193940699, 92.88958808779716, -10.968112520989962, 1.298198014497757, -26.152701005339622, 76.33445605263114, -75.986890360713, -3.3144542798399925, 48.896755929570645, 0.4444870597217232, -23.41885879210895, -10.508252833038568, -17.827268705004826, 8.429741652216762, 2.5990469325333834, -49.959651216864586, -45.810302866622806, 35.390477215871215, -37.64448965340853, 24.901872985064983]| 11.8138437271118164|     64.00000000|[5881, 392, 0, 98]                                                         | | GPS sucess | actual_k=4
      99|[-109.89883989840746, -107.11460581421852, 21.17740193940699, 92.88958808779716, -10.968112520989962, 1.298198014497757, -26.152701005339622, 76.33445605263114, -75.986890360713, -3.3144542798399925, 48.896755929570645, 0.4444870597217232, -23.41885879210895, -10.508252833038568, -17.827268705004826, 8.429741652216762, 2.5990469325333834, -49.959651216864586, -45.810302866622806, 35.390477215871215, -37.64448965340853, 24.901872985064983]| 11.8138437271118164|     32.00000000|[5941, 396, 0, 99]                                                         |  | used linear model with 65 points | actual_k=4
     100|[-109.89883989840746, -107.11460581421852, 21.17740193940699, 92.88958808779716, -10.968112520989962, 1.298198014497757, -26.152701005339622, 76.33445605263114, -75.986890360713, -3.3144542798399925, 48.896755929570645, 0.4444870597217232, -23.41885879210895, -10.508252833038568, -17.827268705004826, 8.429741652216762, 2.5990469325333834, -49.959651216864586, -45.810302866622806, 35.390477215871215, -37.64448965340853, 24.901872985064983]| 11.8138437271118164|     16.00000000|[6001, 400, 0, 100]                                                        |  | used linear model with 65 points | actual_k=4
     101|[-109.89883989840746, -107.11460581421852, 21.17740193940699, 92.88958808779716, -10.968112520989962, 1.298198014497757, -26.152701005339622, 76.33445605263114, -75.986890360713, -3.3144542798399925, 48.896755929570645, 0.4444870597217232, -23.41885879210895, -10.508252833038568, -17.827268705004826, 8.429741652216762, 2.5990469325333834, -49.959651216864586, -45.810302866622806, 35.390477215871215, -37.64448965340853, 24.901872985064983]| 11.8138437271118164|      8.00000000|[6061, 404, 0, 101]                                                        |  | used linear model with 65 points | actual_k=4
     102|[-109.72347619384527, -109.0478644669056, 22.476505080237985, 92.55398100614548, -8.59032397728879, 3.817562371492386, -26.550197169184685, 73.88211330398917, -73.11335043609142, -3.3862821608781815, 47.43022286472842, 2.0225453025195748, -22.845733906549867, -12.065612766891718, -17.926808916265145, 10.638236315455288, 3.620332347229123, -49.28063051402569, -45.2977565061301, 35.86356285773218, -39.46452201157808, 28.49995433539152]| 11.8087463378906250|     16.00000000|[6121, 408, 0, 102]                                                        | | GPS sucess | actual_k=4
     103|[-109.72347619384527, -109.0478644669056, 22.476505080237985, 92.55398100614548, -8.59032397728879, 3.817562371492386, -26.550197169184685, 73.88211330398917, -73.11335043609142, -3.3862821608781815, 47.43022286472842, 2.0225453025195748, -22.845733906549867, -12.065612766891718, -17.926808916265145, 10.638236315455288, 3.620332347229123, -49.28063051402569, -45.2977565061301, 35.86356285773218, -39.46452201157808, 28.49995433539152]| 11.8087463378906250|      8.00000000|[6181, 412, 0, 103]                                                        |  | used linear model with 65 points | actual_k=4
