k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5497876405715942, -0.244534894824028, 0.2888571619987488, 0.4061757922172546, 0.1622055619955063, -0.0786757841706276, 0.4947263598442078, -0.3398726582527161, 0.1648346930742264, 0.111181415617466, 0.3789696991443634, 0.7334103584289551, 0.5300133228302002, -0.4165365695953369, 0.610404372215271, -0.1837950199842453, 0.020204147323966, 0.0893655717372894, -0.6836167573928833, -0.5332403779029846, 0.8012765645980835, 0.1131535917520523]| 13.6435556411743164|      2.00000000|[49, 16, 0, 1]                                                             | | GPS sucess | actual_k=16
      51|[-18.361004277598113, -25.882466671522707, -3.885135054588318, 19.9480169871822, -3.0432579265907407, 28.483242145739496, -11.817687345668674, 4.281313803046942, 2.2287414353340864, 4.390263378620148, 12.484999194741249, -11.379795840010047, 33.14448282122612, 7.396531619131565, -10.540860138833523, -12.384115245193243, -9.782233696430922, -12.759926049038768, -9.58754312992096, -20.297101132571697, -9.330356068909168, 5.748531581833959]| 12.0795831680297852|      8.00000000|[2741, 908, 0, 75]                                                         |  | used linear model with 65 points | actual_k=16
      52|[-19.15578405512497, -26.385169563349336, -3.482089787721634, 20.525108859874308, -2.9820202672854066, 27.413189283572137, -12.46382905356586, 5.561721112579107, 1.806518403813243, 2.8320180773735046, 12.33928544819355, -11.04887049458921, 34.00426456332207, 7.7664259150624275, -11.493300698697567, -13.801912214607, -9.654393818229437, -13.127977846190333, -10.801926732063293, -21.304178826510906, -9.840208180248737, 7.1568141002207994]| 12.0773563385009766|     16.00000000|[2789, 924, 0, 76]                                                         | | GPS sucess | actual_k=16
      53|[-19.642479583155364, -27.11521285539493, -4.893726617097855, 21.184824571944773, -4.442106851376593, 25.709754935465753, -14.410611165687442, 3.371591355651617, -0.6269592363387346, 0.1551927924156189, 9.419112280011177, -14.21239130757749, 30.5973958671093, 4.116209574043751, -15.386864922940731, -17.938824083656073, -14.034653332084417, -17.75158548168838, -15.668882012367249, -26.41448175162077, -15.193858750164509, 1.5598154086619616]| 12.0761356353759766|     32.00000000|[2837, 940, 0, 77]                                                         | | GPS sucess | actual_k=16
      54|[-36.86645571840927, -31.170880255755037, -10.28138855099678, 36.13187275920063, -9.206675180234015, -7.925540932454169, -0.7131462227553129, 10.877748753875494, -4.648977192118764, -3.125103771686554, -10.505671426653862, 5.7063441965729, 31.666950553655624, 13.402219362556934, -1.0991556867957115, -34.57061233744025, -13.851579990237951, -18.96461415104568, 4.633453726768494, -13.330694787204266, -3.4586473777890205, -3.0269694309681654]| 12.0461559295654297|     64.00000000|[2885, 956, 0, 78]                                                         | | GPS sucess | actual_k=16
      55|[-36.86645571840927, -31.170880255755037, -10.28138855099678, 36.13187275920063, -9.206675180234015, -7.925540932454169, -0.7131462227553129, 10.877748753875494, -4.648977192118764, -3.125103771686554, -10.505671426653862, 5.7063441965729, 31.666950553655624, 13.402219362556934, -1.0991556867957115, -34.57061233744025, -13.851579990237951, -18.96461415104568, 4.633453726768494, -13.330694787204266, -3.4586473777890205, -3.0269694309681654]| 12.0461559295654297|     32.00000000|[2944, 977, 0, 80]                                                         |  | used linear model with 65 points | actual_k=16
      56|[-27.591151877772063, -54.23034566408023, -0.5538685619831085, 28.646702871657908, 5.819561353884637, -23.292410858906806, 9.181512819603086, 18.676102425903082, -15.107547672465444, -3.617313325405121, 2.051854208111763, -5.339976718649268, 7.224275916814804, 21.241094656288624, 10.118980146944523, -43.597883608192205, 6.26800886169076, -24.548286197707057, -4.562299370765686, -18.049821488559246, 17.862416617572308, 18.279556753113866]| 12.0428190231323242|     64.00000000|[2992, 993, 0, 81]                                                         | | GPS sucess | actual_k=16
      57|[-27.591151877772063, -54.23034566408023, -0.5538685619831085, 28.646702871657908, 5.819561353884637, -23.292410858906806, 9.181512819603086, 18.676102425903082, -15.107547672465444, -3.617313325405121, 2.051854208111763, -5.339976718649268, 7.224275916814804, 21.241094656288624, 10.118980146944523, -43.597883608192205, 6.26800886169076, -24.548286197707057, -4.562299370765686, -18.049821488559246, 17.862416617572308, 18.279556753113866]| 12.0428190231323242|     32.00000000|[3053, 1012, 0, 83]                                                        |  | used linear model with 65 points | actual_k=16
      58|[-27.591151877772063, -54.23034566408023, -0.5538685619831085, 28.646702871657908, 5.819561353884637, -23.292410858906806, 9.181512819603086, 18.676102425903082, -15.107547672465444, -3.617313325405121, 2.051854208111763, -5.339976718649268, 7.224275916814804, 21.241094656288624, 10.118980146944523, -43.597883608192205, 6.26800886169076, -24.548286197707057, -4.562299370765686, -18.049821488559246, 17.862416617572308, 18.279556753113866]| 12.0428190231323242|     16.00000000|[3113, 1032, 0, 85]                                                        |  | used linear model with 65 points | actual_k=16
      59|[-27.635073277633637, -54.490934190806, -0.6417113617062569, 28.536899366416037, 21.7548211729154, -23.44613575283438, 9.005827220156789, 18.478456120938063, -15.327154682949185, -3.858881026506424, 1.7883258014917374, -5.625465800985694, 6.916826128959656, 20.911684162914753, 9.87424399703741, -43.97121551260352, 5.872716251760721, -24.965539513155818, -5.0015133917331696, -18.510996215045452, 17.3792812153697, 17.774460615590215]| 12.0377779006958008|     32.00000000|[3161, 1048, 0, 86]                                                        | | GPS sucess | actual_k=16
      60|[-27.635073277633637, -54.490934190806, -0.6417113617062569, 28.536899366416037, 21.7548211729154, -23.44613575283438, 9.005827220156789, 18.478456120938063, -15.327154682949185, -3.858881026506424, 1.7883258014917374, -5.625465800985694, 6.916826128959656, 20.911684162914753, 9.87424399703741, -43.97121551260352, 5.872716251760721, -24.965539513155818, -5.0015133917331696, -18.510996215045452, 17.3792812153697, 17.774460615590215]| 12.0377779006958008|     16.00000000|[3222, 1067, 0, 88]                                                        |  | used linear model with 65 points | actual_k=16
      61|[-26.941214892547578, -57.32095223432407, 1.2857459709048271, 27.944859602488577, 20.738515964709222, -23.37681419495493, 11.435554536059499, 22.069410663098097, -16.826255964115262, -2.7885169088840485, 2.6150068789720535, -6.052334954962134, 7.153706803917885, 19.75532878190279, 10.771530531346798, -44.41532885655761, 5.747256848961115, -25.748365281149745, -6.492237836122513, -15.40552555769682, 15.874269895255566, 14.5817049164325]| 12.0375337600708008|     32.00000000|[3270, 1083, 0, 89]                                                        | | GPS sucess | actual_k=16
      62|[-40.79053911892697, -67.73174458509311, 8.682097785174847, 38.08345613721758, 17.724694124422967, -45.753355332650244, 17.357479127123952, 39.555731158703566, -6.028124975040555, -7.874375253915787, -17.100792452692986, -12.202075650915504, 16.434012666344643, 30.720082886517048, 42.556846998631954, -36.22624480351806, -3.6366104148328304, -47.6398943644017, 6.22142431139946, -11.762730948626995, 12.712673835456371, 1.0625579971820116]| 11.9974193572998047|     64.00000000|[3318, 1099, 0, 90]                                                        | | GPS sucess | actual_k=16
      63|[-40.79053911892697, -67.73174458509311, 8.682097785174847, 38.08345613721758, 17.724694124422967, -45.753355332650244, 17.357479127123952, 39.555731158703566, -6.028124975040555, -7.874375253915787, -17.100792452692986, -12.202075650915504, 16.434012666344643, 30.720082886517048, 42.556846998631954, -36.22624480351806, -3.6366104148328304, -47.6398943644017, 6.22142431139946, -11.762730948626995, 12.712673835456371, 1.0625579971820116]| 11.9974193572998047|     32.00000000|[3378, 1119, 0, 92]                                                        |  | used linear model with 65 points | actual_k=16
      64|[-44.01460275379941, -71.67576843267307, 10.184632770717144, 40.76898989919573, 22.591154924593866, -46.60745293740183, 15.70481756515801, 38.190767627209425, -6.873825775459409, -3.4530276358127594, -15.544242426753044, -16.593592336401343, 22.91311003267765, 28.721622116863728, 43.450234435498714, -37.20358097180724, -4.4462343119084835, -47.11057764105499, 8.055519312620163, -2.8626931831240654, 10.757625512778759, 4.876208605244756]| 11.9875583648681641|     64.00000000|[3426, 1135, 0, 93]                                                        | | GPS sucess | actual_k=16
      65|[-44.01460275379941, -71.67576843267307, 10.184632770717144, 40.76898989919573, 22.591154924593866, -46.60745293740183, 15.70481756515801, 38.190767627209425, -6.873825775459409, -3.4530276358127594, -15.544242426753044, -16.593592336401343, 22.91311003267765, 28.721622116863728, 43.450234435498714, -37.20358097180724, -4.4462343119084835, -47.11057764105499, 8.055519312620163, -2.8626931831240654, 10.757625512778759, 4.876208605244756]| 11.9875583648681641|     32.00000000|[3486, 1155, 0, 95]                                                        |  | used linear model with 65 points | actual_k=16
      66|[-44.01460275379941, -71.67576843267307, 10.184632770717144, 40.76898989919573, 22.591154924593866, -46.60745293740183, 15.70481756515801, 38.190767627209425, -6.873825775459409, -3.4530276358127594, -15.544242426753044, -16.593592336401343, 22.91311003267765, 28.721622116863728, 43.450234435498714, -37.20358097180724, -4.4462343119084835, -47.11057764105499, 8.055519312620163, -2.8626931831240654, 10.757625512778759, 4.876208605244756]| 11.9875583648681641|     16.00000000|[3549, 1172, 0, 97]                                                        |  | used linear model with 65 points | actual_k=16
      67|[-44.05852415366098, -71.74165053432807, 10.096789970993996, 40.65918639395386, 38.52641474362463, -46.761177831329405, 15.529131965711713, 37.993121322244406, -7.0934327859431505, -3.6945953369140625, -15.80777083337307, -16.87908141873777, 22.408850207924843, 28.392211623489857, 43.09886323660612, -37.57691287621856, -4.841526921838522, -47.52783095650375, 7.616305291652679, -3.3238679096102715, 10.274490110576153, 5.185028167441487]| 11.9871931076049805|     32.00000000|[3597, 1188, 0, 98]                                                        | | GPS sucess | actual_k=16
      68|[-44.05852415366098, -71.74165053432807, 10.096789970993996, 40.65918639395386, 38.52641474362463, -46.761177831329405, 15.529131965711713, 37.993121322244406, -7.0934327859431505, -3.6945953369140625, -15.80777083337307, -16.87908141873777, 22.408850207924843, 28.392211623489857, 43.09886323660612, -37.57691287621856, -4.841526921838522, -47.52783095650375, 7.616305291652679, -3.3238679096102715, 10.274490110576153, 5.185028167441487]| 11.9871931076049805|     16.00000000|[3657, 1208, 0, 100]                                                       |  | used linear model with 65 points | actual_k=16
      69|[-43.34422995848581, -75.11979622906074, 10.027051322162151, 40.378100723959506, 38.71257508452982, -47.4792907172814, 15.520168114453554, 35.93215411528945, -7.664796175435185, -4.539589822292328, -14.747521981596947, -17.189572712406516, 24.72796179354191, 26.853120990097523, 46.19051753729582, -38.218241568654776, -3.2070071063935757, -49.544847605749965, 8.252007007598877, -2.3020785972476006, 8.92180585116148, 9.332363219931722]| 11.9851989746093750|     32.00000000|[3705, 1224, 0, 101]                                                       | | GPS sucess | actual_k=16
      70|[-43.34422995848581, -75.11979622906074, 10.027051322162151, 40.378100723959506, 38.71257508452982, -47.4792907172814, 15.520168114453554, 35.93215411528945, -7.664796175435185, -4.539589822292328, -14.747521981596947, -17.189572712406516, 24.72796179354191, 26.853120990097523, 46.19051753729582, -38.218241568654776, -3.2070071063935757, -49.544847605749965, 8.252007007598877, -2.3020785972476006, 8.92180585116148, 9.332363219931722]| 11.9851989746093750|     16.00000000|[3766, 1243, 0, 103]                                                       |  | used linear model with 65 points | actual_k=16
      71|[-43.34422995848581, -75.11979622906074, 10.027051322162151, 40.378100723959506, 38.71257508452982, -47.4792907172814, 15.520168114453554, 35.93215411528945, -7.664796175435185, -4.539589822292328, -14.747521981596947, -17.189572712406516, 24.72796179354191, 26.853120990097523, 46.19051753729582, -38.218241568654776, -3.2070071063935757, -49.544847605749965, 8.252007007598877, -2.3020785972476006, 8.92180585116148, 9.332363219931722]| 11.9851989746093750|      8.00000000|[3828, 1261, 0, 105]                                                       |  | used linear model with 65 points | actual_k=16
      72|[-43.885619304608554, -77.80756301945075, 12.676465146243572, 40.65022429917008, 36.04959715064615, -43.35334944073111, 9.73465185239911, 37.30805700644851, -13.269100489094853, -7.121956288814545, -13.029639229178429, -21.208362003788352, 28.662581458687782, 28.464693494141102, 51.312036626040936, -39.27559578046203, 2.4718173183500767, -50.16458183340728, 8.295218996703625, -7.331246726214886, 5.777586929500103, 5.942584844306111]| 11.9834585189819336|     16.00000000|[3876, 1277, 0, 106]                                                       | | GPS sucess | actual_k=16
      73|[-43.885619304608554, -77.80756301945075, 12.676465146243572, 40.65022429917008, 36.04959715064615, -43.35334944073111, 9.73465185239911, 37.30805700644851, -13.269100489094853, -7.121956288814545, -13.029639229178429, -21.208362003788352, 28.662581458687782, 28.464693494141102, 51.312036626040936, -39.27559578046203, 2.4718173183500767, -50.16458183340728, 8.295218996703625, -7.331246726214886, 5.777586929500103, 5.942584844306111]| 11.9834585189819336|      8.00000000|[3938, 1295, 0, 108]                                                       |  | used linear model with 65 points | actual_k=16
      74|[-46.87915792269632, -79.65326399868354, 20.97863780707121, 41.654449791647494, 33.38573420699686, -50.306897395290434, 7.373848486691713, 39.358772214502096, -12.72744214721024, -6.218658626079559, -6.868188366293907, -17.631061455234885, 31.748520150780678, 30.8972844555974, 52.854002229869366, -43.48521148785949, 0.6428509391844273, -49.69329675845802, 7.174517087638378, -10.599596373736858, 7.877464763820171, 7.013577314093709]| 11.9729528427124023|     16.00000000|[3986, 1311, 0, 109]                                                       | | GPS sucess | actual_k=16
      75|[-48.16660537524149, -79.00574846332893, 20.285772137343884, 42.695711941458285, 32.742119557224214, -53.172107928432524, 7.272437918931246, 41.0499411188066, -15.29483044333756, -6.094634488224983, -7.495462700724602, -19.26165678165853, 34.36362935602665, 27.374744839966297, 52.22190713137388, -42.79208767041564, 0.2502393461763859, -48.16133805923164, 10.503604583442211, -12.83063255995512, 7.1599335595965385, 6.964152766391635]| 11.9694700241088867|     32.00000000|[4034, 1327, 0, 110]                                                       | | GPS sucess | actual_k=16
      76|[-48.16660537524149, -79.00574846332893, 20.285772137343884, 42.695711941458285, 32.742119557224214, -53.172107928432524, 7.272437918931246, 41.0499411188066, -15.29483044333756, -6.094634488224983, -7.495462700724602, -19.26165678165853, 34.36362935602665, 27.374744839966297, 52.22190713137388, -42.79208767041564, 0.2502393461763859, -48.16133805923164, 10.503604583442211, -12.83063255995512, 7.1599335595965385, 6.964152766391635]| 11.9694700241088867|     16.00000000|[4096, 1345, 0, 112]                                                       |  | used linear model with 65 points | actual_k=16
      77|[-48.16660537524149, -79.00574846332893, 20.285772137343884, 42.695711941458285, 32.742119557224214, -53.172107928432524, 7.272437918931246, 41.0499411188066, -15.29483044333756, -6.094634488224983, -7.495462700724602, -19.26165678165853, 34.36362935602665, 27.374744839966297, 52.22190713137388, -42.79208767041564, 0.2502393461763859, -48.16133805923164, 10.503604583442211, -12.83063255995512, 7.1599335595965385, 6.964152766391635]| 11.9694700241088867|      8.00000000|[4158, 1363, 0, 114]                                                       |  | used linear model with 65 points | actual_k=16
      78|[-48.16660537524149, -79.00574846332893, 20.285772137343884, 42.695711941458285, 32.742119557224214, -53.172107928432524, 7.272437918931246, 41.0499411188066, -15.29483044333756, -6.094634488224983, -7.495462700724602, -19.26165678165853, 34.36362935602665, 27.374744839966297, 52.22190713137388, -42.79208767041564, 0.2502393461763859, -48.16133805923164, 10.503604583442211, -12.83063255995512, 7.1599335595965385, 6.964152766391635]| 11.9694700241088867|      4.00000000|[4216, 1385, 0, 116]                                                       |  | used linear model with 65 points | actual_k=16
      79|[-50.32285013003275, -80.58902139728889, 23.10906582325697, 44.08570310566574, 34.43177903350443, -52.62986671272665, 7.985915947705507, 43.796331223100424, -17.34626996703446, -7.777607515454292, -9.97081832587719, -18.57841487787664, 36.40517307817936, 26.313699789345264, 54.37916969507933, -44.03156637772918, -0.1931935511529446, -49.15835287980735, 10.424033559858799, -14.828778974711895, 6.299953155219555, 9.13028640858829]| 11.9659366607666016|      8.00000000|[4264, 1401, 0, 117]                                                       | | GPS sucess | actual_k=16
      80|[-50.348509871866554, -80.62751101097092, 23.057746339589357, 44.02155374828726, 34.35479980614036, -44.67395841423422, 7.883276980370283, 43.68086237832904, -17.474568681791425, -7.513299807906151, -10.124776780605316, -18.745203202590346, 36.22555486857891, 26.121251724660397, 54.17389176040888, -44.24967419728637, -0.424131240695715, -49.402120439335704, 10.297934614121914, -15.098206304013729, 6.017695985734463, 8.835199369117618]| 11.9628076553344727|     16.00000000|[4312, 1417, 0, 118]                                                       | | GPS sucess | actual_k=16
      81|[-53.578277671243995, -77.67963765701279, 23.39749087765813, 46.29272269550711, 32.718855558894575, -33.201083772815764, -3.375174481421709, 52.70782275125384, -15.408911066129804, -25.299659594893456, -5.823761403560638, -9.534384911879897, 35.34626851975918, 20.70999016612768, 48.1099049821496, -37.234623786062, -3.70958599075675, -56.03700098209083, 7.806945405900478, -18.534688256680965, 11.852925382554531, 12.026700032874942]| 11.9572782516479492|     32.00000000|[4360, 1433, 0, 119]                                                       | | GPS sucess | actual_k=16
      82|[-70.1669884561561, -80.56645701965317, 43.108291048556566, 56.23608111683279, 40.92430370952934, -24.842830293811858, 4.862940829247236, 48.75916571542621, -23.355542020872235, -57.69345460832119, -9.23056572675705, -27.47664183937013, 51.75370870530605, 26.738020084798336, 30.594817854464054, -36.730355735868216, -0.5840850733220577, -37.1602786462754, 5.982622228562832, -11.045735619962215, 28.217681013047695, -6.748759256675839]| 11.9233551025390625|     64.00000000|[4408, 1449, 0, 120]                                                       | | GPS sucess | actual_k=16
      83|[-68.99864646187052, -87.895784126129, 51.5707591958344, 54.099579089321196, 38.16403859760612, -28.73807727638632, 4.343413095921278, 44.75174565240741, -37.789518194273114, -59.21738265454769, -21.004238784313202, -13.527970498427749, 46.184839591383934, 26.800946548581123, 23.28268788009882, -37.20979570969939, -9.112991895526648, -30.739357320591807, 8.170682989060879, -6.3764078840613365, 19.206316076219082, -4.934657441452146]| 11.9119405746459961|    128.00000000|[4456, 1465, 0, 121]                                                       | | GPS sucess | actual_k=16
      84|[-68.99864646187052, -87.895784126129, 51.5707591958344, 54.099579089321196, 38.16403859760612, -28.73807727638632, 4.343413095921278, 44.75174565240741, -37.789518194273114, -59.21738265454769, -21.004238784313202, -13.527970498427749, 46.184839591383934, 26.800946548581123, 23.28268788009882, -37.20979570969939, -9.112991895526648, -30.739357320591807, 8.170682989060879, -6.3764078840613365, 19.206316076219082, -4.934657441452146]| 11.9119405746459961|     64.00000000|[4517, 1484, 0, 123]                                                       |  | used linear model with 65 points | actual_k=16
      85|[-68.99864646187052, -87.895784126129, 51.5707591958344, 54.099579089321196, 38.16403859760612, -28.73807727638632, 4.343413095921278, 44.75174565240741, -37.789518194273114, -59.21738265454769, -21.004238784313202, -13.527970498427749, 46.184839591383934, 26.800946548581123, 23.28268788009882, -37.20979570969939, -9.112991895526648, -30.739357320591807, 8.170682989060879, -6.3764078840613365, 19.206316076219082, -4.934657441452146]| 11.9119405746459961|     32.00000000|[4577, 1504, 0, 125]                                                       |  | used linear model with 65 points | actual_k=16
      86|[-73.74548979988322, -92.39146159728989, 45.736876863986254, 59.07205986324698, 37.70569872763008, -31.905609005130827, -0.9795887656509876, 46.954587649554014, -35.839699463918805, -62.73484991490841, -25.211760222911835, -16.23814339004457, 44.084133967757225, 20.66942770779133, 24.101563431322575, -37.59310280904174, -7.80530783161521, -28.212766019627452, 10.714214883744717, -6.618401698768139, 22.03595455735922, -2.8396304715424776]| 11.9022054672241211|     64.00000000|[4625, 1520, 0, 126]                                                       | | GPS sucess | actual_k=16
      87|[-76.25067993393168, -87.92552112182602, 54.956746477633715, 59.0978979440406, 40.503068684600294, -31.267933719791472, -2.8446512408554554, 51.485564421862364, -40.64358253963292, -65.61094234883785, -28.95912665128708, -6.109964793547988, 20.15681730210781, 18.59914691746235, 23.345158852636814, -33.31975495442748, -8.898062910884619, -39.01475080661476, 8.872367344796658, -3.516518048942089, 20.769666992127895, -4.9443782437592745]| 11.9012451171875000|    128.00000000|[4673, 1536, 0, 127]                                                       | | GPS sucess | actual_k=16
      88|[-76.25067993393168, -87.92552112182602, 54.956746477633715, 59.0978979440406, 40.503068684600294, -31.267933719791472, -2.8446512408554554, 51.485564421862364, -40.64358253963292, -65.61094234883785, -28.95912665128708, -6.109964793547988, 20.15681730210781, 18.59914691746235, 23.345158852636814, -33.31975495442748, -8.898062910884619, -39.01475080661476, 8.872367344796658, -3.516518048942089, 20.769666992127895, -4.9443782437592745]| 11.9012451171875000|     64.00000000|[4732, 1557, 0, 129]                                                       |  | used linear model with 65 points | actual_k=16
      89|[-76.25067993393168, -87.92552112182602, 54.956746477633715, 59.0978979440406, 40.503068684600294, -31.267933719791472, -2.8446512408554554, 51.485564421862364, -40.64358253963292, -65.61094234883785, -28.95912665128708, -6.109964793547988, 20.15681730210781, 18.59914691746235, 23.345158852636814, -33.31975495442748, -8.898062910884619, -39.01475080661476, 8.872367344796658, -3.516518048942089, 20.769666992127895, -4.9443782437592745]| 11.9012451171875000|     32.00000000|[4791, 1578, 0, 131]                                                       |  | used linear model with 65 points | actual_k=16
      90|[-76.25067993393168, -87.92552112182602, 54.956746477633715, 59.0978979440406, 40.503068684600294, -31.267933719791472, -2.8446512408554554, 51.485564421862364, -40.64358253963292, -65.61094234883785, -28.95912665128708, -6.109964793547988, 20.15681730210781, 18.59914691746235, 23.345158852636814, -33.31975495442748, -8.898062910884619, -39.01475080661476, 8.872367344796658, -3.516518048942089, 20.769666992127895, -4.9443782437592745]| 11.9012451171875000|     16.00000000|[4851, 1598, 0, 133]                                                       |  | used linear model with 65 points | actual_k=16
      91|[-76.25067993393168, -87.92552112182602, 54.956746477633715, 59.0978979440406, 40.503068684600294, -31.267933719791472, -2.8446512408554554, 51.485564421862364, -40.64358253963292, -65.61094234883785, -28.95912665128708, -6.109964793547988, 20.15681730210781, 18.59914691746235, 23.345158852636814, -33.31975495442748, -8.898062910884619, -39.01475080661476, 8.872367344796658, -3.516518048942089, 20.769666992127895, -4.9443782437592745]| 11.9012451171875000|      8.00000000|[4911, 1618, 0, 135]                                                       |  | used linear model with 65 points | actual_k=16
      92|[-76.9515971778892, -88.68005715450272, 54.97014978155494, 59.95593791920692, 39.407067894004285, -31.048791327513754, -2.0459492392838, 51.820095878094435, -39.89558614976704, -66.75884781777859, -28.260940432548523, -6.372471069917083, 19.553627595305443, 19.2939922362566, 24.502098836004734, -34.53005051240325, -9.268704768270254, -40.66663273982704, 8.16475024074316, -4.109070710837841, 20.86756571382284, -3.397492991760373]| 11.8942136764526367|     16.00000000|[4959, 1634, 0, 136]                                                       | | GPS sucess | actual_k=16
      93|[-79.18969627609476, -89.75215695938095, 54.33152541145682, 61.809045729227364, 37.21366298105568, -32.880474724806845, -1.5516983158886433, 53.46534941717982, -43.480878012254834, -64.76836143434048, -32.05251371860504, -7.310719048604369, 19.472869604825974, 21.19069142639637, 25.23317191749811, -34.57405164837837, -10.62343704327941, -41.77388378791511, 9.12834956496954, -4.0201186537742615, 20.101401172578335, -1.9536787141114473]| 11.8858413696289062|     32.00000000|[5007, 1650, 0, 137]                                                       | | GPS sucess | actual_k=16
      94|[-81.84944244613871, -96.20566152175888, 55.34421309456229, 63.99776428658515, 35.85192465689033, -31.02668742183596, -5.215196717530489, 47.127639036625624, -42.966160671785474, -65.30163882672787, -27.293373227119446, -5.702829396352172, 22.53240415453911, 26.393998101353645, 27.105561830103397, -32.686941772699356, -6.111860867589712, -41.84438065998256, 11.992547534406185, -7.923935115337372, 25.311848007142544, -3.4852369893342257]| 11.8807020187377930|     64.00000000|[5055, 1666, 0, 138]                                                       | | GPS sucess | actual_k=16
      95|[-81.84944244613871, -96.20566152175888, 55.34421309456229, 63.99776428658515, 35.85192465689033, -31.02668742183596, -5.215196717530489, 47.127639036625624, -42.966160671785474, -65.30163882672787, -27.293373227119446, -5.702829396352172, 22.53240415453911, 26.393998101353645, 27.105561830103397, -32.686941772699356, -6.111860867589712, -41.84438065998256, 11.992547534406185, -7.923935115337372, 25.311848007142544, -3.4852369893342257]| 11.8807020187377930|     32.00000000|[5114, 1687, 0, 140]                                                       |  | used linear model with 65 points | actual_k=16
      96|[-81.84944244613871, -96.20566152175888, 55.34421309456229, 63.99776428658515, 35.85192465689033, -31.02668742183596, -5.215196717530489, 47.127639036625624, -42.966160671785474, -65.30163882672787, -27.293373227119446, -5.702829396352172, 22.53240415453911, 26.393998101353645, 27.105561830103397, -32.686941772699356, -6.111860867589712, -41.84438065998256, 11.992547534406185, -7.923935115337372, 25.311848007142544, -3.4852369893342257]| 11.8807020187377930|     16.00000000|[5172, 1709, 0, 142]                                                       |  | used linear model with 65 points | actual_k=16
      97|[-83.70224758377299, -98.07512127002701, 57.960370387881994, 65.33057778794318, 38.04775619413704, -29.924515762366354, -4.435054827481508, 51.64807913824916, -40.54724992997944, -66.30033235251904, -26.618164837360382, -6.934222972020507, 24.737977236509323, 25.371959879994392, 26.30353657156229, -34.896966367959976, -6.268227946013212, -42.65064893476665, 11.697918139398098, -7.670519441366196, 24.91713797301054, -3.8505358267575502]| 11.8709154129028320|     32.00000000|[5220, 1725, 0, 143]                                                       | | GPS sucess | actual_k=16
      98|[-83.70224758377299, -98.07512127002701, 57.960370387881994, 65.33057778794318, 38.04775619413704, -29.924515762366354, -4.435054827481508, 51.64807913824916, -40.54724992997944, -66.30033235251904, -26.618164837360382, -6.934222972020507, 24.737977236509323, 25.371959879994392, 26.30353657156229, -34.896966367959976, -6.268227946013212, -42.65064893476665, 11.697918139398098, -7.670519441366196, 24.91713797301054, -3.8505358267575502]| 11.8709154129028320|     16.00000000|[5283, 1742, 0, 145]                                                       |  | used linear model with 65 points | actual_k=16
      99|[-83.70224758377299, -98.07512127002701, 57.960370387881994, 65.33057778794318, 38.04775619413704, -29.924515762366354, -4.435054827481508, 51.64807913824916, -40.54724992997944, -66.30033235251904, -26.618164837360382, -6.934222972020507, 24.737977236509323, 25.371959879994392, 26.30353657156229, -34.896966367959976, -6.268227946013212, -42.65064893476665, 11.697918139398098, -7.670519441366196, 24.91713797301054, -3.8505358267575502]| 11.8709154129028320|      8.00000000|[5343, 1762, 0, 147]                                                       |  | used linear model with 65 points | actual_k=16
     100|[-84.86213346710429, -99.18309246143326, 57.51274963840842, 66.41850512940437, 38.92257267143577, -30.336065717972815, -2.369197655469179, 52.461210291832685, -39.53342737443745, -66.42577569186687, -25.936845183372498, -7.151053672656417, 25.810280174016953, 25.027350798249245, 25.497492112219334, -35.263475358486176, -5.332526754587889, -42.43986360542476, 10.78508397191763, -8.42004570364952, 25.182010404765606, -3.4182178545743227]| 11.8689460754394531|     16.00000000|[5391, 1778, 0, 148]                                                       | | GPS sucess | actual_k=16
     101|[-86.68382033100352, -96.92136488994583, 58.824381079524755, 67.43408149201423, 38.23283541109413, -29.725899704732, -4.830569077283144, 54.664324801415205, -39.65512476302683, -69.80470030009747, -26.2301105260849, -8.31592465005815, 24.844320744276047, 22.74706567823887, 23.79219738394022, -35.92299246788025, -8.498089384287596, -43.74334434978664, 12.261877618730068, -9.785049885511398, 26.21719478815794, -2.0515001583844423]| 11.8645973205566406|     32.00000000|[5439, 1794, 0, 149]                                                       | | GPS sucess | actual_k=16
     102|[-86.68382033100352, -96.92136488994583, 58.824381079524755, 67.43408149201423, 38.23283541109413, -29.725899704732, -4.830569077283144, 54.664324801415205, -39.65512476302683, -69.80470030009747, -26.2301105260849, -8.31592465005815, 24.844320744276047, 22.74706567823887, 23.79219738394022, -35.92299246788025, -8.498089384287596, -43.74334434978664, 12.261877618730068, -9.785049885511398, 26.21719478815794, -2.0515001583844423]| 11.8645973205566406|     16.00000000|[5498, 1815, 0, 151]                                                       |  | used linear model with 65 points | actual_k=16
