k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.286498125361176, 0.3585297358036041, 0.1402778556511021, -0.1449813205003739, 1.4693617281935256, -0.1810734379291535, 0.9843734166213027, -0.1847142088413239, 0.1003173011675644, -0.1588247376680374, 0.1735006325340652, -0.1106108087301254, -0.0193644836881943, -0.0495511102676392, 0.2163069150722218, 0.0143013065494597, 1.4222659813026832, 0.0716812317073345, 1.2481389967813752, 0.1151265692710877, 0.2001579036847496, 0.1396486726403236, 0.2532690362793731, 0.1430705827474594, 0.4208873320377922, 0.1260560718178749, 0.1956275877681732, 0.0918621835112572, 0.1679262503087044, 0.0458559845387936, 0.5558503546471644, -0.0051560993492603, -0.0424309057191525, -0.0537312361598015, -0.0057658556702347, -0.0926647815108299, -0.0163793065783691, -0.1158709037303925, -0.1002952122216949, -0.1191997039318085, -0.0344639603370209, -0.1011183965206146, 0.1801595016478348, -0.0631817239522934, 0.3636491650193214, -0.0102160046994686, 0.1617760713800923, 0.0498596974462271, 0.1313549613410702, 0.1066506919264793, 0.4242972157681084, 0.1484162849187851, 0.2802737002200699, 0.1637837183475494, 0.4250819530453491, 0.1441148561239242, 0.1628052014972572, 0.0865899515151978, 0.1774060771185589, 0.0390496779978275, 0.12070763961977, -0.1002250346541405, -0.0096974634662628, -0.1671276646852493, 0.2017817467276383, -0.1350657451152802]|29414.8828125000000000|      2.00000000|[16, 1, 0, 1]                                                              | | GPS sucess | actual_k=1
       2|[4.419297974275322, 0.7238475573062897, 0.3792854925558186, 0.4940366190671921, 0.762777274610762, -0.5640462446212768, 1.7921372315474502, -0.2093217442929745, 0.2076566386357117, 0.4390125316381455, 0.8340241663551712, -0.2213177490234375, 0.5550784989854507, -0.1571774888038635, 0.5999519727504444, -0.3630772466026246, 1.5441920058588432, 0.125492364615202, 1.4740121243610642, 0.1849811342358589, 0.4723337819711113, 0.0278986808657646, 0.8549705939156341, -0.0951804029941559, 0.4575747769332981, 1.2714155879616738, 0.2932655167904854, 1.2935663279891014, -0.496817351967144, -0.1683772648870945, 0.1498856224770594, 0.5030937199294567, -0.3607591074899349, 0.8397554424405098, 0.3727247711417465, -0.3109725150465965, -0.0374885001418304, -0.9148672926425934, 0.4772298670286407, -0.1232204493321478, 0.2747438665157776, -0.1407393771409988, 0.6812271400450516, 0.3452158313989639, 0.5508030557482719, 0.6741253067553044, 0.0385374854907528, -0.5302466801553964, 0.1599547376686802, 0.2477606800198555, 0.9402144573414422, -0.9421493965387344, 0.2103453298039055, 0.5322800767421723, 0.5380009856190491, 0.6372945946455002, 0.4924177248145943, 1.0301469159126282, -0.5204660251420308, -0.2411820064485073, 0.2756564106196785, 0.7945881453156471, 0.1285480148061752, -0.6094738501310348, -0.4830669790681076, -0.1434668102487922]|10089.6035156250000000|      4.00000000|[31, 2, 0, 2]                                                              | | GPS sucess | actual_k=1
       3|[5.4300095249879075, 1.3771681678295136, 1.027407922403536, 0.1373807829618454, 4.418117469312911, -0.9195337998867035, 1.4531613847800247, -0.5239912639558315, -0.0771130454405975, 0.1876328331232071, 0.6176121883488083, -0.4028433221578598, 0.4069885089656524, -0.2743476885557175, 0.5104228905713749, -0.4287204975448549, 1.4984628343741344, 0.0957159683853388, 1.4564265990718863, 0.1761726862564683, 0.4693447110154474, 0.0282958327839151, 0.8568768102930265, -0.0930882531870157, 0.459052767465592, 1.2719473312422633, 0.2929131866338834, 1.2926994052063674, -0.4976167671345651, -0.1684115763568843, 0.1513349183787528, 0.5066785006597638, -0.3545301110491667, 0.8489320366457105, 0.352940911069253, -0.296019743680954, -0.0202684966114473, -0.8961598104983568, 0.4964061043137779, -0.1047832798399031, 0.2797176254591565, -0.1278212419897318, 0.6893597942872691, 0.3473575522471219, 0.5459711777455389, 0.6616460033506155, 0.018121601979448, -0.5584432031214237, 0.1246185784990063, 0.2064257790148258, 0.8945072203660107, -0.9901640112698078, 0.1624451485402203, 0.4871555683016777, 0.4984004531171131, 0.6058686454594135, 0.471507076185525, 1.0215501910820604, -0.5157340678070057, -0.2231280519813299, 0.3057883299291754, 0.8341440413892269, 0.1733608468338489, -0.5650865319371223, -0.4461679488595199, -0.1221838896349073]|6657.4921875000000000|      8.00000000|[46, 3, 0, 3]                                                              | | GPS sucess | actual_k=1
      85|[3.830679986686737, 6.5889042350440885, -1.103071545246319, -0.9790916822621574, 3.088744015914421, 1.2786594046683621, 2.055111978537427, -2.903068210526714, 0.1048566754947962, 6.3272074677552235, 0.050553242881394, -4.362448478966333, -2.076351454693948, -3.7437836650416982, -3.764620618826511, 11.134333344949923, -5.632679495033438, 28.37738724789319, -6.577989694376325, 7.926737076752959, -6.398093263416214, -8.004064907413758, -1.4267147039862238, 7.512299303053751, -10.042791306193887, -6.6310938626648355, -10.391101524751228, -6.162969802494116, -7.521820567275933, -5.033184973173963, 53.55814214611605, -5.874322995794232, -2.8178543368389253, -2.1929618196375595, -0.9359613450041887, -4.795560005993856, -0.0744953120419739, -0.4953781523863702, -0.1884854750040176, -0.5365292204585848, 0.5655302160783569, -2.7414595640000905, -0.3049614468999592, 0.62289855745907, -0.7195765234757954, 20.00372642574394, -1.948990898803671, -3.9882268549091906, -4.160435084650558, -6.928601719299947, -9.594957323533782, 11.501550510171013, -10.193540243526803, -7.195940700333605, 15.889724574487722, 37.369755424235635, -4.885607182919795, -4.986957532943403, -7.128560060325464, -6.121504157126327, -3.154644491515913, 1.8759187838464884, -1.6863245477351343, 2.5153719661581606, 1.5426766623075001, 2.0014280562165307]|388.8116149902343750|      2.00000000|[4875, 358, 0, 358]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      86|[3.830679986686737, 6.5889042350440885, -1.103071545246319, -0.9790916822621574, 3.088744015914421, 1.2786594046683621, 2.055111978537427, -2.903068210526714, 0.1048566754947962, 6.3272074677552235, 0.050553242881394, -4.362448478966333, -2.076351454693948, -3.7437836650416982, -3.764620618826511, 11.134333344949923, -5.632679495033438, 28.37738724789319, -6.577989694376325, 7.926737076752959, -6.398093263416214, -8.004064907413758, -1.4267147039862238, 7.512299303053751, -10.042791306193887, -6.6310938626648355, -10.391101524751228, -6.162969802494116, -7.521820567275933, -5.033184973173963, 53.55814214611605, -5.874322995794232, -2.8178543368389253, -2.1929618196375595, -0.9359613450041887, -4.795560005993856, -0.0744953120419739, -0.4953781523863702, -0.1884854750040176, -0.5365292204585848, 0.5655302160783569, -2.7414595640000905, -0.3049614468999592, 0.62289855745907, -0.7195765234757954, 20.00372642574394, -1.948990898803671, -3.9882268549091906, -4.160435084650558, -6.928601719299947, -9.594957323533782, 11.501550510171013, -10.193540243526803, -7.195940700333605, 15.889724574487722, 37.369755424235635, -4.885607182919795, -4.986957532943403, -7.128560060325464, -6.121504157126327, -3.154644491515913, 1.8759187838464884, -1.6863245477351343, 2.5153719661581606, 1.5426766623075001, 2.0014280562165307]|388.8116149902343750|      1.00000000|[4956, 364, 0, 364]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      87|[3.830679986686737, 6.5889042350440885, -1.103071545246319, -0.9790916822621574, 3.088744015914421, 1.2786594046683621, 2.055111978537427, -2.903068210526714, 0.1048566754947962, 6.3272074677552235, 0.050553242881394, -4.362448478966333, -2.076351454693948, -3.7437836650416982, -3.764620618826511, 11.134333344949923, -5.632679495033438, 28.37738724789319, -6.577989694376325, 7.926737076752959, -6.398093263416214, -8.004064907413758, -1.4267147039862238, 7.512299303053751, -10.042791306193887, -6.6310938626648355, -10.391101524751228, -6.162969802494116, -7.521820567275933, -5.033184973173963, 53.55814214611605, -5.874322995794232, -2.8178543368389253, -2.1929618196375595, -0.9359613450041887, -4.795560005993856, -0.0744953120419739, -0.4953781523863702, -0.1884854750040176, -0.5365292204585848, 0.5655302160783569, -2.7414595640000905, -0.3049614468999592, 0.62289855745907, -0.7195765234757954, 20.00372642574394, -1.948990898803671, -3.9882268549091906, -4.160435084650558, -6.928601719299947, -9.594957323533782, 11.501550510171013, -10.193540243526803, -7.195940700333605, 15.889724574487722, 37.369755424235635, -4.885607182919795, -4.986957532943403, -7.128560060325464, -6.121504157126327, -3.154644491515913, 1.8759187838464884, -1.6863245477351343, 2.5153719661581606, 1.5426766623075001, 2.0014280562165307]|388.8116149902343750|      0.50000000|[5036, 370, 0, 370]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      88|[3.789468910605938, 6.5628294921457435, -1.1457053804726163, -0.9679249616110672, 3.097601664734106, 1.2840600297258806, 2.0561495354483146, -2.9070311803998146, 0.0969748888205351, 6.312427912143911, 0.0304749619407421, -4.387448840692021, -2.105710985351478, -3.7767912681803835, -3.8004568237129472, 11.096556532038889, -5.671478840526754, 28.857204191300248, -6.6161354749396795, 7.890162727945624, -6.4323786336766915, -8.035452437680997, -1.454717785665568, 7.488036558120384, -10.063092096861421, -6.647344229009883, -10.40334071829502, -6.171355513843663, -7.526616297389916, -5.03474462579489, 53.55939183968298, -5.870744404633756, -2.825197196010256, -2.1862814018316494, -0.9285150866753337, -4.787843922094716, -0.0669628905424831, -0.4884251671965151, -0.1824373670186105, -0.5316314462614236, 0.5691185314106653, -2.7392506896720286, -0.30411373479901, 0.6224870290926849, -0.7210700246034929, 20.001391767454614, -1.9518773529127735, -3.9913449783026964, -4.163453986566779, -6.931201267382746, -9.596850350520873, 11.500596301915733, -10.19339866964612, -7.194639452590646, 15.892142751224405, 37.3731333596191, -4.88154133822378, -4.982581104741608, -7.124335104755511, -6.117942934666206, -3.152258756236964, 1.8766872461006885, -1.6874542495851388, 2.5123393765940607, 1.5381552765409343, 1.996423980860703]|388.6561584472656250|      1.00000000|[5051, 371, 0, 371]                                                        | | GPS sucess | actual_k=1
      89|[3.789468910605938, 6.5628294921457435, -1.1457053804726163, -0.9679249616110672, 3.097601664734106, 1.2840600297258806, 2.0561495354483146, -2.9070311803998146, 0.0969748888205351, 6.312427912143911, 0.0304749619407421, -4.387448840692021, -2.105710985351478, -3.7767912681803835, -3.8004568237129472, 11.096556532038889, -5.671478840526754, 28.857204191300248, -6.6161354749396795, 7.890162727945624, -6.4323786336766915, -8.035452437680997, -1.454717785665568, 7.488036558120384, -10.063092096861421, -6.647344229009883, -10.40334071829502, -6.171355513843663, -7.526616297389916, -5.03474462579489, 53.55939183968298, -5.870744404633756, -2.825197196010256, -2.1862814018316494, -0.9285150866753337, -4.787843922094716, -0.0669628905424831, -0.4884251671965151, -0.1824373670186105, -0.5316314462614236, 0.5691185314106653, -2.7392506896720286, -0.30411373479901, 0.6224870290926849, -0.7210700246034929, 20.001391767454614, -1.9518773529127735, -3.9913449783026964, -4.163453986566779, -6.931201267382746, -9.596850350520873, 11.500596301915733, -10.19339866964612, -7.194639452590646, 15.892142751224405, 37.3731333596191, -4.88154133822378, -4.982581104741608, -7.124335104755511, -6.117942934666206, -3.152258756236964, 1.8766872461006885, -1.6874542495851388, 2.5123393765940607, 1.5381552765409343, 1.996423980860703]|388.6561584472656250|      0.50000000|[5131, 377, 0, 377]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      90|[3.8010630123925515, 6.56637953547534, -1.1361446212933222, -0.9705228687034895, 3.095281516683321, 1.2822193171068665, 2.0549294319786373, -2.907555499758916, 0.0971553831663761, 6.313260391882076, 0.0318525648634722, -4.385676522307411, -2.1037255853676546, -3.7747922797345352, -3.7986479144792877, 11.0979808640718, -5.670612003833151, 28.85737316160607, -6.616763101779239, 7.888688289244799, -6.434697179386987, -8.0385577006739, -1.4584986414627992, 7.483741317964031, -10.067696682795852, -6.6718934934706855, -10.40781908813451, -6.175362322001673, -7.529877745274058, -5.037004331941905, 53.55835737895399, -5.870378335490118, -2.8233181672671233, -2.182853161524974, -0.9235889592937109, -4.781567679659737, -0.0595865167969821, -0.4803029717068105, -0.1740259744490686, -0.5234832473141131, 0.5763667733306894, -2.7336071109601314, -0.3008259430588608, 0.6226480031792965, -0.7247956010508159, 19.993066601385642, -1.96542960884129, -4.010624992862323, -4.188793157857177, -6.962719756505137, -9.634417556247973, 11.457396449806778, -10.24150249017868, -7.246589631631078, 16.366332777746088, 37.31796917147251, -4.935486227679814, -5.033127747134482, -7.169205373309007, -6.1549057939987675, -3.1645792328211004, 1.8610095965729003, -1.6910637944155356, 2.5202669759570897, 1.5553968327383392, 2.0184829558122086]|388.6012573242187500|      1.00000000|[5185, 381, 0, 381]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      91|[3.8010630123925515, 6.56637953547534, -1.1361446212933222, -0.9705228687034895, 3.095281516683321, 1.2822193171068665, 2.0549294319786373, -2.907555499758916, 0.0971553831663761, 6.313260391882076, 0.0318525648634722, -4.385676522307411, -2.1037255853676546, -3.7747922797345352, -3.7986479144792877, 11.0979808640718, -5.670612003833151, 28.85737316160607, -6.616763101779239, 7.888688289244799, -6.434697179386987, -8.0385577006739, -1.4584986414627992, 7.483741317964031, -10.067696682795852, -6.6718934934706855, -10.40781908813451, -6.175362322001673, -7.529877745274058, -5.037004331941905, 53.55835737895399, -5.870378335490118, -2.8233181672671233, -2.182853161524974, -0.9235889592937109, -4.781567679659737, -0.0595865167969821, -0.4803029717068105, -0.1740259744490686, -0.5234832473141131, 0.5763667733306894, -2.7336071109601314, -0.3008259430588608, 0.6226480031792965, -0.7247956010508159, 19.993066601385642, -1.96542960884129, -4.010624992862323, -4.188793157857177, -6.962719756505137, -9.634417556247973, 11.457396449806778, -10.24150249017868, -7.246589631631078, 16.366332777746088, 37.31796917147251, -4.935486227679814, -5.033127747134482, -7.169205373309007, -6.1549057939987675, -3.1645792328211004, 1.8610095965729003, -1.6910637944155356, 2.5202669759570897, 1.5553968327383392, 2.0184829558122086]|388.6012573242187500|      0.50000000|[5265, 387, 0, 387]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      92|[3.7943827766602047, 6.5112603898137476, -1.189163474361674, -0.9818682505520036, 3.0998262185762036, 1.2810734890572366, 2.047419133115584, -2.9216751825924683, 0.0777129347738656, 6.2867191699952025, 0.0001251726370146, -4.4216006514954715, -2.142714995171999, -3.815641909524126, -3.8401425447564446, 11.576003648066475, -5.709984019577599, 28.820541853449818, -6.650273116194026, 7.859099824597267, -6.459953625018372, -8.059262115369402, -1.4746142100410424, 7.472082329070999, -10.075180644322156, -6.675609054940702, -10.408270616950993, -6.1731227612932695, -7.525558873273036, -5.031227623927595, 53.564988196382224, -5.86345458451588, -2.816598777336756, -2.1767543406970726, -0.91843324087401, -4.777576262072934, -0.0568766528567282, -0.4788903569924562, -0.1738318867517591, -0.5243460299023417, 0.5746764643016169, -2.735846201350635, -0.3033061377299403, 0.6202416239713278, -0.7268278677477309, 19.991673176340107, -1.9659739444762032, -4.010180263166295, -4.187301296322872, -6.9602111713966925, -9.631011860699692, 11.461496094527332, -10.236983279050326, -7.241977507571729, 16.370684025779433, 37.32170903207982, -4.932670732667486, -5.031476017560986, -7.168848139768153, -6.155834502409124, -3.1666242886724407, 1.8581863822934126, -1.6941714280900528, 2.5174830257716865, 1.553580899469822, 2.018190358328132]|388.5313720703125000|      1.00000000|[5319, 391, 0, 391]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      93|[3.7943827766602047, 6.5112603898137476, -1.189163474361674, -0.9818682505520036, 3.0998262185762036, 1.2810734890572366, 2.047419133115584, -2.9216751825924683, 0.0777129347738656, 6.2867191699952025, 0.0001251726370146, -4.4216006514954715, -2.142714995171999, -3.815641909524126, -3.8401425447564446, 11.576003648066475, -5.709984019577599, 28.820541853449818, -6.650273116194026, 7.859099824597267, -6.459953625018372, -8.059262115369402, -1.4746142100410424, 7.472082329070999, -10.075180644322156, -6.675609054940702, -10.408270616950993, -6.1731227612932695, -7.525558873273036, -5.031227623927595, 53.564988196382224, -5.86345458451588, -2.816598777336756, -2.1767543406970726, -0.91843324087401, -4.777576262072934, -0.0568766528567282, -0.4788903569924562, -0.1738318867517591, -0.5243460299023417, 0.5746764643016169, -2.735846201350635, -0.3033061377299403, 0.6202416239713278, -0.7268278677477309, 19.991673176340107, -1.9659739444762032, -4.010180263166295, -4.187301296322872, -6.9602111713966925, -9.631011860699692, 11.461496094527332, -10.236983279050326, -7.241977507571729, 16.370684025779433, 37.32170903207982, -4.932670732667486, -5.031476017560986, -7.168848139768153, -6.155834502409124, -3.1666242886724407, 1.8581863822934126, -1.6941714280900528, 2.5174830257716865, 1.553580899469822, 2.018190358328132]|388.5313720703125000|      0.50000000|[5400, 397, 0, 397]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      94|[3.81435881514597, 6.526339387053218, -1.1632966976568857, -0.9882890691751589, 3.094484869872253, 1.2773284044287738, 2.0456090727672223, -2.9214002669077552, 0.0800362719059768, 6.31916151248516, 0.005761087029784, -4.414980494451091, -2.1356974004098523, -3.808877905051483, -3.834314512952032, 11.580214103409602, -5.708041676149799, 28.819624158219945, -6.654560114611255, 7.8510369310725014, -6.4720807646239535, -8.075612738589607, -1.4952123496549092, 7.447349154478743, -10.103803167272329, -6.70774971224642, -10.422483431110685, -6.2107459916611685, -7.564967754490278, -5.071698916959765, 54.04418101955384, -5.903757907933782, -2.855670329792181, -2.213868387211107, -0.9529228650762614, -4.808854957984103, -0.0844576144417731, -0.5024028116959064, -0.1930339309854389, -0.5391334142112163, 0.5642660222845981, -2.742058884745186, -0.3056361545403873, 0.6213539913470816, -0.7228227313137421, 19.99793294321308, -1.9581607916190784, -4.001548590456115, -4.178586766637196, -6.9521150389692385, -9.624164561529943, 11.46657112362483, -10.234062709663993, -7.241421994261483, 16.368859635636277, 37.31770101553077, -4.938451310327093, -5.0384146319778536, -7.176156777957141, -6.162604316471987, -3.171905371492588, 1.855273225769112, -1.6940572475276754, 2.5208720173511, 1.559838756665855, 2.0259601478748603]|388.3552856445312500|      1.00000000|[5428, 399, 0, 399]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta| GPS sucess | actual_k=1
      95|[3.81435881514597, 6.526339387053218, -1.1632966976568857, -0.9882890691751589, 3.094484869872253, 1.2773284044287738, 2.0456090727672223, -2.9214002669077552, 0.0800362719059768, 6.31916151248516, 0.005761087029784, -4.414980494451091, -2.1356974004098523, -3.808877905051483, -3.834314512952032, 11.580214103409602, -5.708041676149799, 28.819624158219945, -6.654560114611255, 7.8510369310725014, -6.4720807646239535, -8.075612738589607, -1.4952123496549092, 7.447349154478743, -10.103803167272329, -6.70774971224642, -10.422483431110685, -6.2107459916611685, -7.564967754490278, -5.071698916959765, 54.04418101955384, -5.903757907933782, -2.855670329792181, -2.213868387211107, -0.9529228650762614, -4.808854957984103, -0.0844576144417731, -0.5024028116959064, -0.1930339309854389, -0.5391334142112163, 0.5642660222845981, -2.742058884745186, -0.3056361545403873, 0.6213539913470816, -0.7228227313137421, 19.99793294321308, -1.9581607916190784, -4.001548590456115, -4.178586766637196, -6.9521150389692385, -9.624164561529943, 11.46657112362483, -10.234062709663993, -7.241421994261483, 16.368859635636277, 37.31770101553077, -4.938451310327093, -5.0384146319778536, -7.176156777957141, -6.162604316471987, -3.171905371492588, 1.855273225769112, -1.6940572475276754, 2.5208720173511, 1.559838756665855, 2.0259601478748603]|388.3552856445312500|      0.50000000|[5509, 405, 0, 405]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      96|[3.8899558182482727, 6.453969215506282, -1.1876905243799845, -0.9967937411511292, 3.078594098349135, 1.2971884895287094, 2.014821826465452, -2.9587036252241767, 0.0373639805079284, 6.272537861546888, -0.0432303658727715, -3.950004392337367, -2.184507744599258, -3.8552777852521074, -3.876971772803726, 11.542401531436994, -5.740173992530538, 28.848409880550157, -6.67397903779553, 7.838074192089168, -6.478879655043258, -8.076773268031738, -1.4914542653931193, 7.455156683544501, -10.092916252244233, -6.694804361055555, -10.40850213163585, -6.1967060337652935, -7.551758886508248, -5.060086918878557, 54.05358359266251, -5.897002958710532, -2.851814473889524, -2.212973056877956, -0.9548651731138033, -4.813342078064842, -0.0910491295916943, -0.5105400387319653, -0.2020749283490659, -0.5483921603807238, 0.5554780512946556, -2.7497271480240877, -0.3116159248692368, 0.6175143909814726, -0.7242188759376103, 19.999111513071973, -1.9544624521661114, -3.995574796889888, -4.1707621706195965, -6.943022652157267, -9.614510676612445, 11.476004601741819, -10.225648239073342, -7.234773925479541, 16.373118624527073, 37.319147503727734, -4.939971894431675, -5.04273089022207, -7.182735925608933, -6.170549589543515, -3.1799994578043456, 1.8484632782225405, -1.6981187676273153, 2.5207702747617775, 1.5642475045549564, 2.0342117888205333]|388.3329467773437500|      1.00000000|[5524, 406, 0, 406]                                                        | | GPS sucess | actual_k=1
      97|[3.8075336660866745, 6.401819729709592, -1.2729581948325792, -0.9744602998489489, 3.096309395988505, 1.3079897396437463, 2.0168969402872268, -2.9666295649703778, 0.0187143465340915, 6.242978750324263, -0.0833869277540753, -4.000005115788743, -2.2432268059143174, -3.921292991529478, -3.948644182576599, 11.466847905614927, -5.8177726835171715, 29.808043767364275, -6.750270598922239, 7.7649254944744985, -6.547450395564212, -8.139548328566216, -1.5474604287518077, 7.406631193677767, -10.133517833579301, -6.727305093745651, -10.432980518723433, -6.213477456464387, -7.561350346736214, -5.06320622412041, 54.05608297979638, -5.8898457763895795, -2.8410278278437797, -2.1996122212661358, -0.9399726564560932, -4.797909910266561, -0.0759842865927128, -0.4966340683522551, -0.1899787123782516, -0.5426612385124889, 0.5626546819592724, -2.745309399367964, -0.3099205006673386, 0.6166913342487026, -0.7327060120408231, 19.994442196493317, -1.9602353603843163, -4.001811043676899, -4.176799974452038, -6.948221748322864, -9.618296730586627, 11.474096185231259, -10.225365091311977, -7.232171429993624, 16.37795497800044, 37.32590337449467, -4.931840205039645, -5.033978033818481, -7.174286014469027, -6.163427144623273, -3.1752279872464473, 1.8500002027309408, -1.7003781713273243, 2.5147050956335777, 1.5552047330218248, 2.0242036381088777]|388.2603149414062500|      2.00000000|[5539, 407, 0, 407]                                                        | | GPS sucess | actual_k=1
      98|[3.8075336660866745, 6.401819729709592, -1.2729581948325792, -0.9744602998489489, 3.096309395988505, 1.3079897396437463, 2.0168969402872268, -2.9666295649703778, 0.0187143465340915, 6.242978750324263, -0.0833869277540753, -4.000005115788743, -2.2432268059143174, -3.921292991529478, -3.948644182576599, 11.466847905614927, -5.8177726835171715, 29.808043767364275, -6.750270598922239, 7.7649254944744985, -6.547450395564212, -8.139548328566216, -1.5474604287518077, 7.406631193677767, -10.133517833579301, -6.727305093745651, -10.432980518723433, -6.213477456464387, -7.561350346736214, -5.06320622412041, 54.05608297979638, -5.8898457763895795, -2.8410278278437797, -2.1996122212661358, -0.9399726564560932, -4.797909910266561, -0.0759842865927128, -0.4966340683522551, -0.1899787123782516, -0.5426612385124889, 0.5626546819592724, -2.745309399367964, -0.3099205006673386, 0.6166913342487026, -0.7327060120408231, 19.994442196493317, -1.9602353603843163, -4.001811043676899, -4.176799974452038, -6.948221748322864, -9.618296730586627, 11.474096185231259, -10.225365091311977, -7.232171429993624, 16.37795497800044, 37.32590337449467, -4.931840205039645, -5.033978033818481, -7.174286014469027, -6.163427144623273, -3.1752279872464473, 1.8500002027309408, -1.7003781713273243, 2.5147050956335777, 1.5552047330218248, 2.0242036381088777]|388.2603149414062500|      1.00000000|[5619, 413, 0, 413]                                                        |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
