k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5646164307189353, -0.0594540059306736, 0.0386275893003782, 0.6278879636359469, -0.0153509528161912, 0.0963607797714703, 0.2289094485312639, -0.1114670199122151, -0.1424044383654957, -0.077666885009112, -0.0394842492868574, -0.0647227331189745, 0.1065271078469519, 0.2351392818333306, -0.0595938134479406, 0.0789389550904117, -0.1864927625725845, 0.0764368219173067, -0.07961659890136, -0.0959358280177396, 0.0520055056182281, -0.2006064461458321]| 13.3903303146362305|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      47|[2.083118073076195, -0.7443335636746294, 0.0643165739888819, 1.565426443755429, 0.4031934799863878, -0.0806715918989356, 0.2128123735651921, 0.0015603706757984, 0.2997168662600934, -0.0328935952468313, -0.2467031536364494, -0.0909656430894259, 0.3884847536491108, 0.4292636706032993, -0.0680899295539877, -0.0979780835200359, -0.1058107000366019, 0.0747689606508014, 0.0374374503769369, 0.3908282270027171, 0.0600461546188859, -0.6793222738369327]| 12.1454439163208008|      0.00781250|[1242, 188, 0, 94]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      48|[2.083118073076195, -0.7443335636746294, 0.0643165739888819, 1.565426443755429, 0.4031934799863878, -0.0806715918989356, 0.2128123735651921, 0.0015603706757984, 0.2997168662600934, -0.0328935952468313, -0.2467031536364494, -0.0909656430894259, 0.3884847536491108, 0.4292636706032993, -0.0680899295539877, -0.0979780835200359, -0.1058107000366019, 0.0747689606508014, 0.0374374503769369, 0.3908282270027171, 0.0600461546188859, -0.6793222738369327]| 12.1454439163208008|      0.00390625|[1269, 192, 0, 96]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      49|[2.0832180385235706, -0.7436297541154935, 0.0656291648537169, 1.5666704975032104, 0.4038365262395721, -0.0805357661003781, 0.2117864280092832, 0.0012607961847189, 0.3001712649654121, -0.0324479293081143, -0.2469820855051917, -0.0909220139032101, 0.3888867471185568, 0.4294072050607071, -0.0659834547445706, -0.0989702438662163, -0.1060205505801804, 0.0750440626496022, 0.0387598325498338, 0.3895397506532374, 0.0604991132097066, -0.6796159395469714]| 12.1454420089721680|      0.00781250|[1295, 196, 0, 98]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      50|[2.0832180385235706, -0.7436297541154935, 0.0656291648537169, 1.5666704975032104, 0.4038365262395721, -0.0805357661003781, 0.2117864280092832, 0.0012607961847189, 0.3001712649654121, -0.0324479293081143, -0.2469820855051917, -0.0909220139032101, 0.3888867471185568, 0.4294072050607071, -0.0659834547445706, -0.0989702438662163, -0.1060205505801804, 0.0750440626496022, 0.0387598325498338, 0.3895397506532374, 0.0604991132097066, -0.6796159395469714]| 12.1454420089721680|      0.00390625|[1321, 200, 0, 100]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      51|[2.0832180385235706, -0.7436297541154935, 0.0656291648537169, 1.5666704975032104, 0.4038365262395721, -0.0805357661003781, 0.2117864280092832, 0.0012607961847189, 0.3001712649654121, -0.0324479293081143, -0.2469820855051917, -0.0909220139032101, 0.3888867471185568, 0.4294072050607071, -0.0659834547445706, -0.0989702438662163, -0.1060205505801804, 0.0750440626496022, 0.0387598325498338, 0.3895397506532374, 0.0604991132097066, -0.6796159395469714]| 12.1454420089721680|      0.00195312|[1347, 204, 0, 102]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      52|[2.082376558137311, -0.7439111127619517, 0.0652712562427058, 1.5669267652825023, 0.4039315418365876, -0.080872165665801, 0.2114460761185156, 0.0018402461303468, 0.3003725634500069, -0.0327605845367039, -0.2465401638629325, -0.0906182281634042, 0.3892248376684124, 0.4297480010702716, -0.0663630482217765, -0.0993092191427922, -0.1053685344475918, 0.074551748417668, 0.0386363192913664, 0.3893004514881948, 0.0603875634152585, -0.680385433227657]| 12.1454401016235352|      0.00390625|[1373, 208, 0, 104]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      53|[2.080705356982284, -0.7452716009942101, 0.0641758665620902, 1.5676988691832365, 0.4039393876781732, -0.0822003614658717, 0.2108837429349648, 0.0016982759542082, 0.3000785028968143, -0.0328378456009562, -0.2469299241344462, -0.0914811804440209, 0.3885749162887895, 0.4291205258934594, -0.0656994132964075, -0.0985502771440227, -0.1056520259267113, 0.0754450777361368, 0.0391997812351909, 0.3889283728998883, 0.059999547388497, -0.6788323961893484]| 12.1454372406005859|      0.00781250|[1399, 212, 0, 106]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      54|[2.080705356982284, -0.7452716009942101, 0.0641758665620902, 1.5676988691832365, 0.4039393876781732, -0.0822003614658717, 0.2108837429349648, 0.0016982759542082, 0.3000785028968143, -0.0328378456009562, -0.2469299241344462, -0.0914811804440209, 0.3885749162887895, 0.4291205258934594, -0.0656994132964075, -0.0985502771440227, -0.1056520259267113, 0.0754450777361368, 0.0391997812351909, 0.3889283728998883, 0.059999547388497, -0.6788323961893484]| 12.1454372406005859|      0.00390625|[1425, 216, 0, 108]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      55|[2.0791947755218843, -0.7466382950177429, 0.0650298612622155, 1.5705359157053362, 0.4040347249468917, -0.0827347431365749, 0.211354751893601, 0.002125297332812, 0.3001900997714952, -0.032939646394664, -0.2471807093970714, -0.0921118755563009, 0.3888131708142403, 0.4294225382537148, -0.0662795267143138, -0.0983248744934464, -0.1058871205486991, 0.0751314206728126, 0.039537660680006, 0.3891359910668845, 0.0603826171771024, -0.6792268941082755]| 12.1454296112060547|      0.00781250|[1451, 220, 0, 110]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      56|[2.0791947755218843, -0.7466382950177429, 0.0650298612622155, 1.5705359157053362, 0.4040347249468917, -0.0827347431365749, 0.211354751893601, 0.002125297332812, 0.3001900997714952, -0.032939646394664, -0.2471807093970714, -0.0921118755563009, 0.3888131708142403, 0.4294225382537148, -0.0662795267143138, -0.0983248744934464, -0.1058871205486991, 0.0751314206728126, 0.039537660680006, 0.3891359910668845, 0.0603826171771024, -0.6792268941082755]| 12.1454296112060547|      0.00390625|[1478, 224, 0, 112]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      57|[2.0791947755218843, -0.7466382950177429, 0.0650298612622155, 1.5705359157053362, 0.4040347249468917, -0.0827347431365749, 0.211354751893601, 0.002125297332812, 0.3001900997714952, -0.032939646394664, -0.2471807093970714, -0.0921118755563009, 0.3888131708142403, 0.4294225382537148, -0.0662795267143138, -0.0983248744934464, -0.1058871205486991, 0.0751314206728126, 0.039537660680006, 0.3891359910668845, 0.0603826171771024, -0.6792268941082755]| 12.1454296112060547|      0.00195312|[1505, 228, 0, 114]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      58|[2.0779395033762476, -0.7473235470021902, 0.0650231485146274, 1.5710016121822763, 0.4040727842231713, -0.0820498313856654, 0.2109869925065467, 0.0020705159017535, 0.3002208843848839, -0.0329812270855971, -0.2468361301796561, -0.0922598347440816, 0.3892294406303667, 0.4293505921587341, -0.0661473331971162, -0.0982913172489892, -0.1053887754812859, 0.0752385115082567, 0.0397175385639125, 0.3890663049942261, 0.0601593626645263, -0.6797333203270712]| 12.1454267501831055|      0.00390625|[1531, 232, 0, 116]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      59|[2.077581698071032, -0.7469969622295547, 0.0648821161373064, 1.5734670328284943, 0.404668906720318, -0.0819745485887934, 0.2120890440033497, 0.0026806338456807, 0.2999670049091264, -0.0324716646345511, -0.2469842370137655, -0.0924150571452447, 0.3884367447425585, 0.4280523380987609, -0.0671338912693115, -0.0996266086738583, -0.1060553902116484, 0.0758505742243981, 0.0398407464414597, 0.3896698771964572, 0.0595769036071055, -0.6797444546386175]| 12.1454248428344727|      0.00781250|[1557, 236, 0, 118]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      60|[2.077581698071032, -0.7469969622295547, 0.0648821161373064, 1.5734670328284943, 0.404668906720318, -0.0819745485887934, 0.2120890440033497, 0.0026806338456807, 0.2999670049091264, -0.0324716646345511, -0.2469842370137655, -0.0924150571452447, 0.3884367447425585, 0.4280523380987609, -0.0671338912693115, -0.0996266086738583, -0.1060553902116484, 0.0758505742243981, 0.0398407464414597, 0.3896698771964572, 0.0595769036071055, -0.6797444546386175]| 12.1454248428344727|      0.00390625|[1583, 240, 0, 120]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      61|[2.074850871585898, -0.7466597843483199, 0.0652666503840364, 1.5734712311576233, 0.4053106056142727, -0.0825394189676371, 0.2115860302396033, 0.0030807702833393, 0.3001376874513917, -0.0311931963550616, -0.2467989516002725, -0.092607123271134, 0.3878051744602994, 0.4278062338393339, -0.0673640840008564, -0.100867968538658, -0.1059960567222703, 0.0765545590218443, 0.0401600616405376, 0.3895700569250786, 0.0589272509582767, -0.6809992373328728]| 12.1454200744628906|      0.00781250|[1609, 244, 0, 122]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      62|[2.074850871585898, -0.7466597843483199, 0.0652666503840364, 1.5734712311576233, 0.4053106056142727, -0.0825394189676371, 0.2115860302396033, 0.0030807702833393, 0.3001376874513917, -0.0311931963550616, -0.2467989516002725, -0.092607123271134, 0.3878051744602994, 0.4278062338393339, -0.0673640840008564, -0.100867968538658, -0.1059960567222703, 0.0765545590218443, 0.0401600616405376, 0.3895700569250786, 0.0589272509582767, -0.6809992373328728]| 12.1454200744628906|      0.00390625|[1636, 248, 0, 124]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      63|[2.074056950483734, -0.7473592633336102, 0.0665696997735274, 1.574273958573268, 0.4054918435379862, -0.0825941428794042, 0.2122302041876268, 0.0023143711483574, 0.301845190879269, -0.0315642387215115, -0.2448345559505695, -0.0927915490335064, 0.3881530066368513, 0.4279259855696231, -0.0678342777465705, -0.1005158281095686, -0.1061058802708754, 0.0759405629962947, 0.0406530421428681, 0.3892926391554746, 0.0592163874525835, -0.6794056345039754]| 12.1454172134399414|      0.00781250|[1662, 252, 0, 126]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      64|[2.074056950483734, -0.7473592633336102, 0.0665696997735274, 1.574273958573268, 0.4054918435379862, -0.0825941428794042, 0.2122302041876268, 0.0023143711483574, 0.301845190879269, -0.0315642387215115, -0.2448345559505695, -0.0927915490335064, 0.3881530066368513, 0.4279259855696231, -0.0678342777465705, -0.1005158281095686, -0.1061058802708754, 0.0759405629962947, 0.0406530421428681, 0.3892926391554746, 0.0592163874525835, -0.6794056345039754]| 12.1454172134399414|      0.00390625|[1689, 256, 0, 128]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      65|[2.074056950483734, -0.7473592633336102, 0.0665696997735274, 1.574273958573268, 0.4054918435379862, -0.0825941428794042, 0.2122302041876268, 0.0023143711483574, 0.301845190879269, -0.0315642387215115, -0.2448345559505695, -0.0927915490335064, 0.3881530066368513, 0.4279259855696231, -0.0678342777465705, -0.1005158281095686, -0.1061058802708754, 0.0759405629962947, 0.0406530421428681, 0.3892926391554746, 0.0592163874525835, -0.6794056345039754]| 12.1454172134399414|      0.00195312|[1716, 260, 0, 130]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      66|[2.073087169299849, -0.7480596032082601, 0.0667722416704485, 1.5749469555509432, 0.4058414306126622, -0.0829717750842392, 0.2121728179429711, 0.0025064790642291, 0.3021130873594607, -0.0316928407034795, -0.2452345262265644, -0.0931316794247508, 0.3881749309707521, 0.4278589086172163, -0.0677566093448316, -0.1006271569443492, -0.1063160651835063, 0.0760773108879368, 0.0408440445953125, 0.3894379587961345, 0.0586414438204392, -0.6785417098482664]| 12.1454143524169922|      0.00390625|[1743, 264, 0, 132]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      67|[2.073087169299849, -0.7480596032082601, 0.0667722416704485, 1.5749469555509432, 0.4058414306126622, -0.0829717750842392, 0.2121728179429711, 0.0025064790642291, 0.3021130873594607, -0.0316928407034795, -0.2452345262265644, -0.0931316794247508, 0.3881749309707521, 0.4278589086172163, -0.0677566093448316, -0.1006271569443492, -0.1063160651835063, 0.0760773108879368, 0.0408440445953125, 0.3894379587961345, 0.0586414438204392, -0.6785417098482664]| 12.1454143524169922|      0.00195312|[1769, 268, 0, 134]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      68|[2.072029165147152, -0.7483267809340184, 0.0669719859869441, 1.5756862482925402, 0.405953481927559, -0.083493651757197, 0.2119307967895459, 0.0027541708624119, 0.3023767023798501, -0.0314755094784578, -0.2456416214142924, -0.0927769965194509, 0.3880764995571757, 0.4269453977385467, -0.0674566738556616, -0.1002898875326421, -0.106062875359916, 0.0761083140733814, 0.0410864056641378, 0.3894509906608521, 0.0585100191131071, -0.67872946046484]| 12.1454114913940430|      0.00390625|[1796, 272, 0, 136]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      69|[2.072029165147152, -0.7483267809340184, 0.0669719859869441, 1.5756862482925402, 0.405953481927559, -0.083493651757197, 0.2119307967895459, 0.0027541708624119, 0.3023767023798501, -0.0314755094784578, -0.2456416214142924, -0.0927769965194509, 0.3880764995571757, 0.4269453977385467, -0.0674566738556616, -0.1002898875326421, -0.106062875359916, 0.0761083140733814, 0.0410864056641378, 0.3894509906608521, 0.0585100191131071, -0.67872946046484]| 12.1454114913940430|      0.00195312|[1822, 276, 0, 138]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      70|[2.0709214614413214, -0.7485978401687953, 0.0669658615261582, 1.5764242912173796, 0.4056024129673131, -0.0835995140869843, 0.2116674905186329, 0.0024427691258828, 0.3019685982374742, -0.0317922758679088, -0.2455390606805743, -0.0929712573623328, 0.3876610229968639, 0.427435103365096, -0.0678708061865069, -0.1005305449765939, -0.1062903660239702, 0.0757503072943327, 0.0414182342547306, 0.3895814167122359, 0.0589287419002624, -0.6792083588144023]| 12.1454086303710938|      0.00390625|[1849, 280, 0, 140]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      71|[2.0709214614413214, -0.7485978401687953, 0.0669658615261582, 1.5764242912173796, 0.4056024129673131, -0.0835995140869843, 0.2116674905186329, 0.0024427691258828, 0.3019685982374742, -0.0317922758679088, -0.2455390606805743, -0.0929712573623328, 0.3876610229968639, 0.427435103365096, -0.0678708061865069, -0.1005305449765939, -0.1062903660239702, 0.0757503072943327, 0.0414182342547306, 0.3895814167122359, 0.0589287419002624, -0.6792083588144023]| 12.1454086303710938|      0.00195312|[1875, 284, 0, 142]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      72|[2.070245041236786, -0.749210153090973, 0.0676805895423215, 1.5773339632720202, 0.4049330592677582, -0.0839738556693785, 0.211558782514615, 0.0019866996733254, 0.3019468117509745, -0.0315062966322942, -0.2455324698339214, -0.0932393648555652, 0.3871507587464322, 0.4273266083252852, -0.067531259886766, -0.1002880586574371, -0.1062717842610975, 0.0759257121803814, 0.0415671095908861, 0.3892770752018277, 0.0587297233569652, -0.6794319200375364]| 12.1454057693481445|      0.00390625|[1901, 288, 0, 144]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      73|[2.070245041236786, -0.749210153090973, 0.0676805895423215, 1.5773339632720202, 0.4049330592677582, -0.0839738556693785, 0.211558782514615, 0.0019866996733254, 0.3019468117509745, -0.0315062966322942, -0.2455324698339214, -0.0932393648555652, 0.3871507587464322, 0.4273266083252852, -0.067531259886766, -0.1002880586574371, -0.1062717842610975, 0.0759257121803814, 0.0415671095908861, 0.3892770752018277, 0.0587297233569652, -0.6794319200375364]| 12.1454057693481445|      0.00195312|[1927, 292, 0, 146]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      74|[2.0692328972972978, -0.7485380965501187, 0.0678156958621336, 1.5778881601746366, 0.4041539813458376, -0.0835129998426125, 0.2112658941399082, 0.0022267606671933, 0.3020274880357552, -0.0313878877169267, -0.245110453770094, -0.0934531779589402, 0.3874778364620628, 0.4270239242744797, -0.067548400430702, -0.1000763934233211, -0.1065142911782783, 0.0756007464837173, 0.0418889372395607, 0.3893215266903785, 0.0591768685392489, -0.6797360814182464]| 12.1454038619995117|      0.00390625|[1953, 296, 0, 148]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      75|[2.0684911871208485, -0.748819470616672, 0.0687252303556652, 1.5784911514312903, 0.4027584564829778, -0.0836012421607214, 0.2112945333607375, 0.0017643981477171, 0.3028578016391522, -0.0321745695999389, -0.2453817245695806, -0.0935266101537655, 0.3881476810190095, 0.4277318282201282, -0.0666426394904233, -0.1002807747786879, -0.1054335938600604, 0.0738487176804242, 0.0423787255653568, 0.3875211862801478, 0.0590260409889852, -0.6803088940350169]| 12.1454019546508789|      0.00781250|[1979, 300, 0, 150]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      76|[2.0684911871208485, -0.748819470616672, 0.0687252303556652, 1.5784911514312903, 0.4027584564829778, -0.0836012421607214, 0.2112945333607375, 0.0017643981477171, 0.3028578016391522, -0.0321745695999389, -0.2453817245695806, -0.0935266101537655, 0.3881476810190095, 0.4277318282201282, -0.0666426394904233, -0.1002807747786879, -0.1054335938600604, 0.0738487176804242, 0.0423787255653568, 0.3875211862801478, 0.0590260409889852, -0.6803088940350169]| 12.1454019546508789|      0.00390625|[2006, 304, 0, 152]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      77|[2.0684911871208485, -0.748819470616672, 0.0687252303556652, 1.5784911514312903, 0.4027584564829778, -0.0836012421607214, 0.2112945333607375, 0.0017643981477171, 0.3028578016391522, -0.0321745695999389, -0.2453817245695806, -0.0935266101537655, 0.3881476810190095, 0.4277318282201282, -0.0666426394904233, -0.1002807747786879, -0.1054335938600604, 0.0738487176804242, 0.0423787255653568, 0.3875211862801478, 0.0590260409889852, -0.6803088940350169]| 12.1454019546508789|      0.00195312|[2032, 308, 0, 154]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      78|[2.067758589760034, -0.7488981136562606, 0.0689034026593712, 1.5790960779887782, 0.4025691099567026, -0.0844547068525068, 0.2116428340616583, 0.0021023515197006, 0.3033314711867712, -0.0318027071426756, -0.2453820150400502, -0.0930887321572308, 0.3883596025544536, 0.4273330827924502, -0.0671328499003953, -0.1003185784636696, -0.104807289249791, 0.0741959251940528, 0.0420426789261904, 0.3879831801643277, 0.0589673963780595, -0.6801308181719605]| 12.1454000473022461|      0.00390625|[2059, 312, 0, 156]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      79|[2.067758589760034, -0.7488981136562606, 0.0689034026593712, 1.5790960779887782, 0.4025691099567026, -0.0844547068525068, 0.2116428340616583, 0.0021023515197006, 0.3033314711867712, -0.0318027071426756, -0.2453820150400502, -0.0930887321572308, 0.3883596025544536, 0.4273330827924502, -0.0671328499003953, -0.1003185784636696, -0.104807289249791, 0.0741959251940528, 0.0420426789261904, 0.3879831801643277, 0.0589673963780595, -0.6801308181719605]| 12.1454000473022461|      0.00195312|[2086, 316, 0, 158]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      80|[2.066589217036096, -0.7491502195290994, 0.0690139766677645, 1.580001921123421, 0.4024648371099018, -0.0838590429385334, 0.2115669803166344, 0.0024137002642439, 0.3037414209429152, -0.0320310541037961, -0.2451825107688962, -0.0929996095132581, 0.3889179650036677, 0.4272448038943635, -0.0675370528999054, -0.100286496622117, -0.1048758772819767, 0.0742696331015424, 0.0418125706529914, 0.3875427579568259, 0.0589226252225365, -0.6803983412015102]| 12.1453971862792969|      0.00390625|[2113, 320, 0, 160]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      81|[2.063905964129166, -0.7496907992477119, 0.068382939316708, 1.5806357715869743, 0.4030980613652838, -0.0842944111979263, 0.2115112692076271, 0.002270567217647, 0.3036786034987027, -0.0323901577801246, -0.2435171553504929, -0.0930402594116992, 0.3883197392911033, 0.4274316443090227, -0.0681656828708055, -0.0995289919502266, -0.1045867891951218, 0.0737981672094912, 0.0422286146878371, 0.3887466319210044, 0.0590656447672021, -0.6800320271202921]| 12.1453924179077148|      0.00781250|[2139, 324, 0, 162]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      82|[2.063905964129166, -0.7496907992477119, 0.068382939316708, 1.5806357715869743, 0.4030980613652838, -0.0842944111979263, 0.2115112692076271, 0.002270567217647, 0.3036786034987027, -0.0323901577801246, -0.2435171553504929, -0.0930402594116992, 0.3883197392911033, 0.4274316443090227, -0.0681656828708055, -0.0995289919502266, -0.1045867891951218, 0.0737981672094912, 0.0422286146878371, 0.3887466319210044, 0.0590656447672021, -0.6800320271202921]| 12.1453924179077148|      0.00390625|[2166, 328, 0, 164]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      83|[2.063905964129166, -0.7496907992477119, 0.068382939316708, 1.5806357715869743, 0.4030980613652838, -0.0842944111979263, 0.2115112692076271, 0.002270567217647, 0.3036786034987027, -0.0323901577801246, -0.2435171553504929, -0.0930402594116992, 0.3883197392911033, 0.4274316443090227, -0.0681656828708055, -0.0995289919502266, -0.1045867891951218, 0.0737981672094912, 0.0422286146878371, 0.3887466319210044, 0.0590656447672021, -0.6800320271202921]| 12.1453924179077148|      0.00195312|[2192, 332, 0, 166]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      84|[2.063241659126548, -0.7501256792807786, 0.06856165522683, 1.5818022693903229, 0.4031066271156176, -0.0840274746899462, 0.2118216753724208, 0.0023230105011171, 0.303078053589977, -0.0322545156749239, -0.2434664675409712, -0.0927650145114797, 0.3879081769954252, 0.4271872981828476, -0.0682628059373803, -0.0998903830347693, -0.1049049682538957, 0.0732311670494031, 0.0423776356043077, 0.3891285536005435, 0.0586299230391795, -0.6801504474068395]| 12.1453895568847656|      0.00390625|[2218, 336, 0, 168]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      85|[2.060648633188529, -0.7510969488338266, 0.0691334782469721, 1.583741879798369, 0.4026765810502646, -0.0832909045758131, 0.2116531031055713, 0.0023371706103694, 0.3028117129152552, -0.0326455839940656, -0.2426079740968766, -0.0926034756836389, 0.3882496599391556, 0.4266805219850587, -0.0682659974698123, -0.0998054166925015, -0.1054139837930806, 0.0731861844717035, 0.0414690732329472, 0.3886351108851633, 0.0584438826207995, -0.6802693435585727]| 12.1453828811645508|      0.00781250|[2245, 340, 0, 170]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      86|[2.060648633188529, -0.7510969488338266, 0.0691334782469721, 1.583741879798369, 0.4026765810502646, -0.0832909045758131, 0.2116531031055713, 0.0023371706103694, 0.3028117129152552, -0.0326455839940656, -0.2426079740968766, -0.0926034756836389, 0.3882496599391556, 0.4266805219850587, -0.0682659974698123, -0.0998054166925015, -0.1054139837930806, 0.0731861844717035, 0.0414690732329472, 0.3886351108851633, 0.0584438826207995, -0.6802693435585727]| 12.1453828811645508|      0.00390625|[2273, 344, 0, 172]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      87|[2.058079005486927, -0.7518408934844403, 0.0699113090725634, 1.5856275422970472, 0.4023151575808266, -0.0832448468823421, 0.2114925017032227, 0.0029399890539263, 0.3023969298353499, -0.0324848226754362, -0.2428772212548002, -0.0933188998085576, 0.3877965173563374, 0.4260524570765609, -0.0682064623956424, -0.1000050047468577, -0.1061509032757602, 0.0735900383798325, 0.0418946870308858, 0.3895604193855263, 0.0579600530496589, -0.6801401414837654]| 12.1453762054443359|      0.00781250|[2300, 348, 0, 174]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      88|[2.058079005486927, -0.7518408934844403, 0.0699113090725634, 1.5856275422970472, 0.4023151575808266, -0.0832448468823421, 0.2114925017032227, 0.0029399890539263, 0.3023969298353499, -0.0324848226754362, -0.2428772212548002, -0.0933188998085576, 0.3877965173563374, 0.4260524570765609, -0.0682064623956424, -0.1000050047468577, -0.1061509032757602, 0.0735900383798325, 0.0418946870308858, 0.3895604193855263, 0.0579600530496589, -0.6801401414837654]| 12.1453762054443359|      0.00390625|[2326, 352, 0, 176]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      89|[2.058079005486927, -0.7518408934844403, 0.0699113090725634, 1.5856275422970472, 0.4023151575808266, -0.0832448468823421, 0.2114925017032227, 0.0029399890539263, 0.3023969298353499, -0.0324848226754362, -0.2428772212548002, -0.0933188998085576, 0.3877965173563374, 0.4260524570765609, -0.0682064623956424, -0.1000050047468577, -0.1061509032757602, 0.0735900383798325, 0.0418946870308858, 0.3895604193855263, 0.0579600530496589, -0.6801401414837654]| 12.1453762054443359|      0.00195312|[2352, 356, 0, 178]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      90|[2.0573916458565153, -0.7516654458697005, 0.0700645917243327, 1.5858739203578731, 0.4021880962646271, -0.0832270903530467, 0.2112412842098972, 0.0033584884387854, 0.3026332739467976, -0.0325537032027865, -0.2431176937296038, -0.093399942059643, 0.3880470829997661, 0.4265315640772883, -0.068028435918008, -0.1003172241780008, -0.1074518667441081, 0.0740213285563956, 0.0423472102528923, 0.3897324469110738, 0.0585028316351487, -0.6802763292485204]| 12.1453742980957031|      0.00390625|[2379, 360, 0, 180]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      91|[2.0573916458565153, -0.7516654458697005, 0.0700645917243327, 1.5858739203578731, 0.4021880962646271, -0.0832270903530467, 0.2112412842098972, 0.0033584884387854, 0.3026332739467976, -0.0325537032027865, -0.2431176937296038, -0.093399942059643, 0.3880470829997661, 0.4265315640772883, -0.068028435918008, -0.1003172241780008, -0.1074518667441081, 0.0740213285563956, 0.0423472102528923, 0.3897324469110738, 0.0585028316351487, -0.6802763292485204]| 12.1453742980957031|      0.00195312|[2405, 364, 0, 182]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      92|[2.0564838477574137, -0.7521589268460183, 0.0698149347586027, 1.586836430859224, 0.4017810628470063, -0.0828912031687596, 0.2108245832514236, 0.0034930755456096, 0.3026612124891938, -0.0327133780670341, -0.2427279822501832, -0.0935801990429206, 0.3875362566737335, 0.4271650459052617, -0.0676289504822367, -0.1003348509214447, -0.1074667801910926, 0.0743315514664604, 0.0425297634052469, 0.3893837809698396, 0.0584680662912436, -0.6802241530989949]| 12.1453714370727539|      0.00390625|[2431, 368, 0, 184]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
