k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.614944127497286, 0.0395075219406405, 0.147527283644249, 0.7729846599569771, -0.0004894004462272, -0.007815722536211, 0.0098736228282815, 0.0070226138975166, 0.0005701274179612, -0.0046629814208838, -0.0036867393821901, 0.0035133915176163, -0.0162090730521576, 0.0070069511334569, 0.0041618536420601, 0.0100459619381737, -0.0018339438523748, -0.0002087378814613, 0.0164085813119094, 0.0065244021019688, 0.0015057524172729, 0.0030983026323684]| 13.1521635055541992|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      47|[1.4772361535027674, 0.1026621431413132, 0.2550742392047465, 1.951859981202332, -0.2191045907455039, -0.0477589849523944, -0.0124400881892651, 0.0174506760718047, -0.1840616335044619, 0.0206927003577573, 0.0045705811865654, 0.0421851096936147, -0.1065676759588483, -0.1181088662999611, 0.0400666427838363, -0.2043942334654932, -0.1153296646440857, -0.0745396031063243, 0.0268514231777704, 0.0538950196824065, 0.0045793466561779, -0.0269036948756669]| 12.1445541381835938|      0.00781250|[5876, 0, 0, 94]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      48|[1.4772361535027674, 0.1026621431413132, 0.2550742392047465, 1.951859981202332, -0.2191045907455039, -0.0477589849523944, -0.0124400881892651, 0.0174506760718047, -0.1840616335044619, 0.0206927003577573, 0.0045705811865654, 0.0421851096936147, -0.1065676759588483, -0.1181088662999611, 0.0400666427838363, -0.2043942334654932, -0.1153296646440857, -0.0745396031063243, 0.0268514231777704, 0.0538950196824065, 0.0045793466561779, -0.0269036948756669]| 12.1445541381835938|      0.00390625|[6001, 0, 0, 96]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      49|[1.4744955499082417, 0.1014079018114287, 0.2560386634380882, 1.9540266264418196, -0.2189752223676002, -0.0474687169694366, -0.012329129478221, 0.0175303896786504, -0.1844367373569142, 0.0207001386178493, 0.0045790842457846, 0.0420083663687701, -0.1065910134304314, -0.1180524230879125, 0.0399581876211377, -0.2044327859717405, -0.1155024290333217, -0.0746224887922641, 0.0269885965896413, 0.0537233319588558, 0.0043768176487344, -0.0265637545820041]| 12.1445465087890625|      0.00781250|[6126, 0, 0, 98]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      50|[1.4744955499082417, 0.1014079018114287, 0.2560386634380882, 1.9540266264418196, -0.2189752223676002, -0.0474687169694366, -0.012329129478221, 0.0175303896786504, -0.1844367373569142, 0.0207001386178493, 0.0045790842457846, 0.0420083663687701, -0.1065910134304314, -0.1180524230879125, 0.0399581876211377, -0.2044327859717405, -0.1155024290333217, -0.0746224887922641, 0.0269885965896413, 0.0537233319588558, 0.0043768176487344, -0.0265637545820041]| 12.1445465087890625|      0.00390625|[6251, 0, 0, 100]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      51|[1.471779959263032, 0.1000255251100462, 0.2569629652657239, 1.9561281612198393, -0.2192032297556144, -0.0472066751344544, -0.0125090720095822, 0.0175853499765355, -0.1845230585914779, 0.0205175055046496, 0.0047321437567134, 0.0416347880621176, -0.1062773583137072, -0.1179689701136328, 0.0399380018439561, -0.2046733588223187, -0.1155704231907089, -0.0747633721031761, 0.0268982129124803, 0.054104377159464, 0.0043420669334311, -0.0265733037081912]| 12.1445379257202148|      0.00781250|[6376, 0, 0, 102]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      52|[1.471779959263032, 0.1000255251100462, 0.2569629652657239, 1.9561281612198393, -0.2192032297556144, -0.0472066751344544, -0.0125090720095822, 0.0175853499765355, -0.1845230585914779, 0.0205175055046496, 0.0047321437567134, 0.0416347880621176, -0.1062773583137072, -0.1179689701136328, 0.0399380018439561, -0.2046733588223187, -0.1155704231907089, -0.0747633721031761, 0.0268982129124803, 0.054104377159464, 0.0043420669334311, -0.0265733037081912]| 12.1445379257202148|      0.00390625|[6501, 0, 0, 104]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      53|[1.4689068291508793, 0.0987752195651683, 0.2578434205274433, 1.9578854857915537, -0.2192491655907002, -0.0472548893388042, -0.0118140771957413, 0.0178078250341128, -0.1847687509346714, 0.0203565768584203, 0.0052708197408564, 0.0416221856524387, -0.10608262849162, -0.1178072187366024, 0.0402871690307667, -0.2050475159054221, -0.1153272741576503, -0.0747467286603503, 0.0267729996965576, 0.0536662185414993, 0.0041532156275274, -0.026386228198892]| 12.1445312500000000|      0.00781250|[6626, 0, 0, 106]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      54|[1.4689068291508793, 0.0987752195651683, 0.2578434205274433, 1.9578854857915537, -0.2192491655907002, -0.0472548893388042, -0.0118140771957413, 0.0178078250341128, -0.1847687509346714, 0.0203565768584203, 0.0052708197408564, 0.0416221856524387, -0.10608262849162, -0.1178072187366024, 0.0402871690307667, -0.2050475159054221, -0.1153272741576503, -0.0747467286603503, 0.0267729996965576, 0.0536662185414993, 0.0041532156275274, -0.026386228198892]| 12.1445312500000000|      0.00390625|[6751, 0, 0, 108]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      55|[1.4661648269323204, 0.0979280127327752, 0.2584448205968402, 1.9603169126256157, -0.2189368445186734, -0.0469313829177972, -0.0118892505354872, 0.0173867704384829, -0.1850452461430617, 0.0204270382485585, 0.0053480687738432, 0.041797005738349, -0.1059860683017646, -0.1180154177281953, 0.0403421320243121, -0.2049053542480271, -0.1153564975516234, -0.0749430390291833, 0.0268654647295808, 0.0536332881051342, 0.0043059304161492, -0.0266986428508619]| 12.1445236206054688|      0.00781250|[6876, 0, 0, 110]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      56|[1.4661648269323204, 0.0979280127327752, 0.2584448205968402, 1.9603169126256157, -0.2189368445186734, -0.0469313829177972, -0.0118892505354872, 0.0173867704384829, -0.1850452461430617, 0.0204270382485585, 0.0053480687738432, 0.041797005738349, -0.1059860683017646, -0.1180154177281953, 0.0403421320243121, -0.2049053542480271, -0.1153564975516234, -0.0749430390291833, 0.0268654647295808, 0.0536332881051342, 0.0043059304161492, -0.0266986428508619]| 12.1445236206054688|      0.00390625|[7001, 0, 0, 112]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      57|[1.4631583975868527, 0.0966724379681482, 0.2587117494812934, 1.9623371997402577, -0.2187983002924784, -0.0470309037014061, -0.0118889631844856, 0.0173582009857262, -0.184883415928029, 0.020429032835632, 0.0054172725751642, 0.0420576513861146, -0.1058029709558395, -0.1179575063078884, 0.040538675159639, -0.2049331728593761, -0.1152829761296514, -0.075086209215498, 0.0269112538793219, 0.0533451478447898, 0.0038888077369302, -0.0266710426727394]| 12.1445159912109375|      0.00781250|[7126, 0, 0, 114]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      58|[1.4631583975868527, 0.0966724379681482, 0.2587117494812934, 1.9623371997402577, -0.2187983002924784, -0.0470309037014061, -0.0118889631844856, 0.0173582009857262, -0.184883415928029, 0.020429032835632, 0.0054172725751642, 0.0420576513861146, -0.1058029709558395, -0.1179575063078884, 0.040538675159639, -0.2049331728593761, -0.1152829761296514, -0.075086209215498, 0.0269112538793219, 0.0533451478447898, 0.0038888077369302, -0.0266710426727394]| 12.1445159912109375|      0.00390625|[7251, 0, 0, 116]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      59|[1.460456862564912, 0.0954584582052469, 0.2594988035255361, 1.9646445269943411, -0.2186754287848049, -0.0470863557646118, -0.0118656866417858, 0.0174790917980187, -0.1848028781081378, 0.0202180691926129, 0.0051382411975318, 0.0419334595430565, -0.1056235217870559, -0.1179128644983671, 0.0403366596682111, -0.2050192601969982, -0.1149037147225669, -0.0750076199257471, 0.0267014633339616, 0.0531101550199476, 0.0037493869788442, -0.0267928261939711]| 12.1445074081420898|      0.00781250|[7376, 0, 0, 118]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      60|[1.460456862564912, 0.0954584582052469, 0.2594988035255361, 1.9646445269943411, -0.2186754287848049, -0.0470863557646118, -0.0118656866417858, 0.0174790917980187, -0.1848028781081378, 0.0202180691926129, 0.0051382411975318, 0.0419334595430565, -0.1056235217870559, -0.1179128644983671, 0.0403366596682111, -0.2050192601969982, -0.1149037147225669, -0.0750076199257471, 0.0267014633339616, 0.0531101550199476, 0.0037493869788442, -0.0267928261939711]| 12.1445074081420898|      0.00390625|[7501, 0, 0, 120]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      61|[1.457742804840882, 0.0938105499016025, 0.2599123867701054, 1.9666040179925262, -0.2190117776200807, -0.0473847780730543, -0.0117388091842116, 0.0171591112175009, -0.184852179413334, 0.0208159695083513, 0.0053026935079698, 0.0416393350820994, -0.1059021712245122, -0.1176906215857876, 0.0403692042991865, -0.2052038607733337, -0.1149223053394318, -0.0748341849038694, 0.0268184250433226, 0.053358386350495, 0.004061839199115, -0.026710629159076]| 12.1445007324218750|      0.00781250|[7626, 0, 0, 122]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      62|[1.457742804840882, 0.0938105499016025, 0.2599123867701054, 1.9666040179925262, -0.2190117776200807, -0.0473847780730543, -0.0117388091842116, 0.0171591112175009, -0.184852179413334, 0.0208159695083513, 0.0053026935079698, 0.0416393350820994, -0.1059021712245122, -0.1176906215857876, 0.0403692042991865, -0.2052038607733337, -0.1149223053394318, -0.0748341849038694, 0.0268184250433226, 0.053358386350495, 0.004061839199115, -0.026710629159076]| 12.1445007324218750|      0.00390625|[7751, 0, 0, 124]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      63|[1.455295466467252, 0.092526256854754, 0.2604090193718675, 1.969244297940771, -0.2189553269235607, -0.0472643382116287, -0.0117783834967234, 0.017329117313962, -0.1849064876901337, 0.0208555210197239, 0.0054091157602692, 0.0417989842291702, -0.1059862748392706, -0.1177779747874204, 0.0405174536031558, -0.204839714504344, -0.1147794106841446, -0.0747124936148648, 0.0268758374339739, 0.0532196930710964, 0.0038879192258974, -0.0264752292976737]| 12.1444931030273438|      0.00781250|[7876, 0, 0, 126]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      64|[1.455295466467252, 0.092526256854754, 0.2604090193718675, 1.969244297940771, -0.2189553269235607, -0.0472643382116287, -0.0117783834967234, 0.017329117313962, -0.1849064876901337, 0.0208555210197239, 0.0054091157602692, 0.0417989842291702, -0.1059862748392706, -0.1177779747874204, 0.0405174536031558, -0.204839714504344, -0.1147794106841446, -0.0747124936148648, 0.0268758374339739, 0.0532196930710964, 0.0038879192258974, -0.0264752292976737]| 12.1444931030273438|      0.00390625|[8001, 0, 0, 128]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      65|[1.4520665831155013, 0.0913958600604831, 0.2613260429044724, 1.970810726054372, -0.2190525001310474, -0.0473104057825727, -0.01183748427049, 0.0174096725494843, -0.1849892817653056, 0.0207696411082252, 0.0054764324625343, 0.0415519748359766, -0.1060449498421097, -0.1178782112936087, 0.0405614309995719, -0.2050664346852305, -0.1149369500099081, -0.0746933714244261, 0.0269420405737693, 0.0533432661071179, 0.0040004406068227, -0.0266623877449276]| 12.1444845199584961|      0.00781250|[8126, 0, 0, 130]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      66|[1.4520665831155013, 0.0913958600604831, 0.2613260429044724, 1.970810726054372, -0.2190525001310474, -0.0473104057825727, -0.01183748427049, 0.0174096725494843, -0.1849892817653056, 0.0207696411082252, 0.0054764324625343, 0.0415519748359766, -0.1060449498421097, -0.1178782112936087, 0.0405614309995719, -0.2050664346852305, -0.1149369500099081, -0.0746933714244261, 0.0269420405737693, 0.0533432661071179, 0.0040004406068227, -0.0266623877449276]| 12.1444845199584961|      0.00390625|[8251, 0, 0, 132]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      67|[1.449608654316016, 0.0905080242386638, 0.2620483038067144, 1.9733996184304143, -0.2186105364465176, -0.0470582611272986, -0.0119730560351276, 0.0173603314301707, -0.1851631025914384, 0.0204154037494208, 0.0059209824245777, 0.0417205758352457, -0.1058858775907809, -0.1179462085083666, 0.0406625787855097, -0.2051327337054573, -0.1145563320754625, -0.0747811615459998, 0.0264144234110995, 0.0531488519687465, 0.0039205007576483, -0.0268170745212025]| 12.1444778442382812|      0.00781250|[8376, 0, 0, 134]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      68|[1.449608654316016, 0.0905080242386638, 0.2620483038067144, 1.9733996184304143, -0.2186105364465176, -0.0470582611272986, -0.0119730560351276, 0.0173603314301707, -0.1851631025914384, 0.0204154037494208, 0.0059209824245777, 0.0417205758352457, -0.1058858775907809, -0.1179462085083666, 0.0406625787855097, -0.2051327337054573, -0.1145563320754625, -0.0747811615459998, 0.0264144234110995, 0.0531488519687465, 0.0039205007576483, -0.0268170745212025]| 12.1444778442382812|      0.00390625|[8501, 0, 0, 136]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      69|[1.4463050745581685, 0.0895986406493408, 0.2625861150250638, 1.9751150302904636, -0.2185328210180784, -0.0468954502802571, -0.0121707533709223, 0.0175237327787032, -0.1851243389066537, 0.020480153421882, 0.0058260610436428, 0.041704975537136, -0.1058534239280492, -0.1181113937213535, 0.0404179643699425, -0.205086475936974, -0.1145741621526065, -0.0748827271583208, 0.0262788210234572, 0.0531057490190898, 0.0039675728692569, -0.0270397899676784]| 12.1444692611694336|      0.00781250|[8626, 0, 0, 138]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      70|[1.4463050745581685, 0.0895986406493408, 0.2625861150250638, 1.9751150302904636, -0.2185328210180784, -0.0468954502802571, -0.0121707533709223, 0.0175237327787032, -0.1851243389066537, 0.020480153421882, 0.0058260610436428, 0.041704975537136, -0.1058534239280492, -0.1181113937213535, 0.0404179643699425, -0.205086475936974, -0.1145741621526065, -0.0748827271583208, 0.0262788210234572, 0.0531057490190898, 0.0039675728692569, -0.0270397899676784]| 12.1444692611694336|      0.00390625|[8751, 0, 0, 140]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      71|[1.443403073343241, 0.0889300003580134, 0.2630924934066309, 1.9769318585274123, -0.2188666677219209, -0.0470650417848369, -0.0122561822753988, 0.0178389762927972, -0.1849508833351874, 0.0204899874875452, 0.0060926574153908, 0.0425210196518924, -0.1062074509567828, -0.1181269003255059, 0.0396850645303912, -0.2053292509331747, -0.1149615618738764, -0.0749539550483487, 0.0264548399099783, 0.0531351699855968, 0.0048467259485995, -0.0266694255176919]| 12.1444625854492188|      0.00781250|[8876, 0, 0, 142]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      72|[1.443403073343241, 0.0889300003580134, 0.2630924934066309, 1.9769318585274123, -0.2188666677219209, -0.0470650417848369, -0.0122561822753988, 0.0178389762927972, -0.1849508833351874, 0.0204899874875452, 0.0060926574153908, 0.0425210196518924, -0.1062074509567828, -0.1181269003255059, 0.0396850645303912, -0.2053292509331747, -0.1149615618738764, -0.0749539550483487, 0.0264548399099783, 0.0531351699855968, 0.0048467259485995, -0.0266694255176919]| 12.1444625854492188|      0.00390625|[9001, 0, 0, 144]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      73|[1.4414964400724286, 0.0880812395372848, 0.264239824443174, 1.9799049309576942, -0.2189150863189134, -0.047095954158406, -0.0125745042503355, 0.0178425921264693, -0.1844741586085167, 0.0204798424542732, 0.0059212280321401, 0.0423992932878956, -0.1059058010995303, -0.1181041808036563, 0.0397392345571381, -0.2053636880657899, -0.1146122342636687, -0.0750558768226362, 0.0263793209301121, 0.0527681944670107, 0.0048924448652569, -0.0266396331223773]| 12.1444559097290039|      0.00781250|[9126, 0, 0, 146]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      74|[1.4414964400724286, 0.0880812395372848, 0.264239824443174, 1.9799049309576942, -0.2189150863189134, -0.047095954158406, -0.0125745042503355, 0.0178425921264693, -0.1844741586085167, 0.0204798424542732, 0.0059212280321401, 0.0423992932878956, -0.1059058010995303, -0.1181041808036563, 0.0397392345571381, -0.2053636880657899, -0.1146122342636687, -0.0750558768226362, 0.0263793209301121, 0.0527681944670107, 0.0048924448652569, -0.0266396331223773]| 12.1444559097290039|      0.00390625|[9251, 0, 0, 148]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      75|[1.4379449040293262, 0.0871172593857793, 0.2646582971603869, 1.9810216655101807, -0.2188543716945606, -0.0471253483180785, -0.012297609033808, 0.0178676094482302, -0.1845881340258358, 0.020508247348211, 0.0060519454478312, 0.0424288905873639, -0.106002354285383, -0.1180682234071218, 0.0396532743641432, -0.2051763993680981, -0.1143680001784618, -0.0751437173369465, 0.0264429397628178, 0.0529054061544929, 0.0050640456872753, -0.0265528515002626]| 12.1444482803344727|      0.00781250|[9376, 0, 0, 150]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      76|[1.4379449040293262, 0.0871172593857793, 0.2646582971603869, 1.9810216655101807, -0.2188543716945606, -0.0471253483180785, -0.012297609033808, 0.0178676094482302, -0.1845881340258358, 0.020508247348211, 0.0060519454478312, 0.0424288905873639, -0.106002354285383, -0.1180682234071218, 0.0396532743641432, -0.2051763993680981, -0.1143680001784618, -0.0751437173369465, 0.0264429397628178, 0.0529054061544929, 0.0050640456872753, -0.0265528515002626]| 12.1444482803344727|      0.00390625|[9501, 0, 0, 152]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      77|[1.4359122815147576, 0.0860156340677922, 0.2655689940933591, 1.9839730964924556, -0.2190568980981323, -0.0472506372510388, -0.01240930171161, 0.0179418234518232, -0.1847482992808048, 0.0204420652458864, 0.0060231261843073, 0.0425245054861471, -0.106011136066068, -0.1181144005637811, 0.0395924579206882, -0.2049997050220788, -0.1144052121265989, -0.075291733685762, 0.0264079327094389, 0.0528858572691114, 0.0050134734992721, -0.0269933647998799]| 12.1444406509399414|      0.00781250|[9626, 0, 0, 154]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      78|[1.4359122815147576, 0.0860156340677922, 0.2655689940933591, 1.9839730964924556, -0.2190568980981323, -0.0472506372510388, -0.01240930171161, 0.0179418234518232, -0.1847482992808048, 0.0204420652458864, 0.0060231261843073, 0.0425245054861471, -0.106011136066068, -0.1181144005637811, 0.0395924579206882, -0.2049997050220788, -0.1144052121265989, -0.075291733685762, 0.0264079327094389, 0.0528858572691114, 0.0050134734992721, -0.0269933647998799]| 12.1444406509399414|      0.00390625|[9751, 0, 0, 156]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      79|[1.4326886127891467, 0.0848807117115579, 0.2661082740572167, 1.9855142251336968, -0.2192604035804471, -0.0474191472087014, -0.0122759455143597, 0.018305074399208, -0.1848777515685635, 0.0204083411431055, 0.0061326325784492, 0.0426751911256584, -0.1060026176216827, -0.118056407444183, 0.0391055073247241, -0.2047873255916906, -0.1142752279422251, -0.0756614250497459, 0.0264940264109785, 0.0531258606644825, 0.0046778950799775, -0.0268390736567296]| 12.1444330215454102|      0.00781250|[9876, 0, 0, 158]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      80|[1.4326886127891467, 0.0848807117115579, 0.2661082740572167, 1.9855142251336968, -0.2192604035804471, -0.0474191472087014, -0.0122759455143597, 0.018305074399208, -0.1848777515685635, 0.0204083411431055, 0.0061326325784492, 0.0426751911256584, -0.1060026176216827, -0.118056407444183, 0.0391055073247241, -0.2047873255916906, -0.1142752279422251, -0.0756614250497459, 0.0264940264109785, 0.0531258606644825, 0.0046778950799775, -0.0268390736567296]| 12.1444330215454102|      0.00390625|[10001, 0, 0, 160]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      81|[1.4304671418652524, 0.0838117446753754, 0.2666929906251397, 1.9883564082483614, -0.2194287407672182, -0.0475055681267813, -0.0124659086594269, 0.0182185799940325, -0.1846423734497799, 0.0205819525305966, 0.0063981313375302, 0.0427806056486279, -0.1058322402987472, -0.1182424307659112, 0.0391212786501623, -0.2050181883735955, -0.1142166824716745, -0.0758295729945914, 0.0260303704007547, 0.0532870398819529, 0.0049594566772772, -0.0266254502426627]| 12.1444253921508789|      0.00781250|[10126, 0, 0, 162]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      82|[1.4304671418652524, 0.0838117446753754, 0.2666929906251397, 1.9883564082483614, -0.2194287407672182, -0.0475055681267813, -0.0124659086594269, 0.0182185799940325, -0.1846423734497799, 0.0205819525305966, 0.0063981313375302, 0.0427806056486279, -0.1058322402987472, -0.1182424307659112, 0.0391212786501623, -0.2050181883735955, -0.1142166824716745, -0.0758295729945914, 0.0260303704007547, 0.0532870398819529, 0.0049594566772772, -0.0266254502426627]| 12.1444253921508789|      0.00390625|[10251, 0, 0, 164]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      83|[1.4273956228335674, 0.0826104614983852, 0.2675486271709524, 1.9900377437559027, -0.2195020287439262, -0.0474213608827006, -0.0126497753563753, 0.018363544808228, -0.1845855572473564, 0.0205027220392577, 0.0060763079582531, 0.0428262043984623, -0.1060485308961829, -0.1182168247921074, 0.0390924075396337, -0.2049533511607927, -0.1142363796284217, -0.0755676072280501, 0.0255180952032941, 0.0532737837340544, 0.0045995480550648, -0.0262699052308683]| 12.1444177627563477|      0.00781250|[10376, 0, 0, 166]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      84|[1.4273956228335674, 0.0826104614983852, 0.2675486271709524, 1.9900377437559027, -0.2195020287439262, -0.0474213608827006, -0.0126497753563753, 0.018363544808228, -0.1845855572473564, 0.0205027220392577, 0.0060763079582531, 0.0428262043984623, -0.1060485308961829, -0.1182168247921074, 0.0390924075396337, -0.2049533511607927, -0.1142363796284217, -0.0755676072280501, 0.0255180952032941, 0.0532737837340544, 0.0045995480550648, -0.0262699052308683]| 12.1444177627563477|      0.00390625|[10501, 0, 0, 168]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      85|[1.4250316681605655, 0.0811297739054709, 0.2685457653456543, 1.9923594359567114, -0.2195302625132513, -0.0471015861460407, -0.0130932213884098, 0.0184027042956733, -0.1842392345224528, 0.0205668348311073, 0.005830336513787, 0.0427376205749388, -0.1054605565246624, -0.1186058047596371, 0.0392747942043404, -0.2049286063150229, -0.1140232768114174, -0.0755723101456925, 0.0256231595994627, 0.0532031410121596, 0.004676193181291, -0.0262290665532426]| 12.1444101333618164|      0.00781250|[10626, 0, 0, 170]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      86|[1.4250316681605655, 0.0811297739054709, 0.2685457653456543, 1.9923594359567114, -0.2195302625132513, -0.0471015861460407, -0.0130932213884098, 0.0184027042956733, -0.1842392345224528, 0.0205668348311073, 0.005830336513787, 0.0427376205749388, -0.1054605565246624, -0.1186058047596371, 0.0392747942043404, -0.2049286063150229, -0.1140232768114174, -0.0755723101456925, 0.0256231595994627, 0.0532031410121596, 0.004676193181291, -0.0262290665532426]| 12.1444101333618164|      0.00390625|[10751, 0, 0, 172]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      87|[1.422175495816273, 0.0796341082483469, 0.2689616531078652, 1.9942472694753537, -0.2198689898373856, -0.0468748715496632, -0.0132622313480441, 0.0182886907223615, -0.1841559060844701, 0.0206482015839063, 0.0060725980321473, 0.043067012335904, -0.105371004839263, -0.1187985002993876, 0.0395264912921984, -0.2051119634889378, -0.1137487827507444, -0.0759096279680298, 0.0257434324799241, 0.0529882553885207, 0.0051816899113977, -0.0265312269424448]| 12.1444025039672852|      0.00781250|[10876, 0, 0, 174]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      88|[1.422175495816273, 0.0796341082483469, 0.2689616531078652, 1.9942472694753537, -0.2198689898373856, -0.0468748715496632, -0.0132622313480441, 0.0182886907223615, -0.1841559060844701, 0.0206482015839063, 0.0060725980321473, 0.043067012335904, -0.105371004839263, -0.1187985002993876, 0.0395264912921984, -0.2051119634889378, -0.1137487827507444, -0.0759096279680298, 0.0257434324799241, 0.0529882553885207, 0.0051816899113977, -0.0265312269424448]| 12.1444025039672852|      0.00390625|[11001, 0, 0, 176]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      89|[1.4191846091579712, 0.0791229208509098, 0.2691910160253853, 1.9964419631840968, -0.2196883021877248, -0.0466535042037982, -0.0132574073626576, 0.0182251080184897, -0.1836741074435966, 0.0211806151632921, 0.0064328834197311, 0.0431242011140243, -0.1058383891404036, -0.1191785888224897, 0.0395354564395644, -0.205026392713538, -0.11365013228935, -0.0758251698914081, 0.0255478549006307, 0.0530422126185706, 0.0051268764796158, -0.0264006582311333]| 12.1443958282470703|      0.00781250|[11126, 0, 0, 178]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      90|[1.4191846091579712, 0.0791229208509098, 0.2691910160253853, 1.9964419631840968, -0.2196883021877248, -0.0466535042037982, -0.0132574073626576, 0.0182251080184897, -0.1836741074435966, 0.0211806151632921, 0.0064328834197311, 0.0431242011140243, -0.1058383891404036, -0.1191785888224897, 0.0395354564395644, -0.205026392713538, -0.11365013228935, -0.0758251698914081, 0.0255478549006307, 0.0530422126185706, 0.0051268764796158, -0.0264006582311333]| 12.1443958282470703|      0.00390625|[11251, 0, 0, 180]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      91|[1.4163595694277646, 0.0778960586980314, 0.2699347389589792, 1.9986479757875155, -0.219523685122005, -0.0469087400898842, -0.0133721719284275, 0.0181564766138011, -0.1836463600794349, 0.0212337419902757, 0.006580266360175, 0.0431941270461221, -0.1059905500691624, -0.1192315856770429, 0.0393452671314821, -0.2052272365611651, -0.1137274852174747, -0.0758803008136829, 0.025705341697901, 0.0529778601574941, 0.0050258426511492, -0.0266499742604424]| 12.1443872451782227|      0.00781250|[11376, 0, 0, 182]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      92|[1.4163595694277646, 0.0778960586980314, 0.2699347389589792, 1.9986479757875155, -0.219523685122005, -0.0469087400898842, -0.0133721719284275, 0.0181564766138011, -0.1836463600794349, 0.0212337419902757, 0.006580266360175, 0.0431941270461221, -0.1059905500691624, -0.1192315856770429, 0.0393452671314821, -0.2052272365611651, -0.1137274852174747, -0.0758803008136829, 0.025705341697901, 0.0529778601574941, 0.0050258426511492, -0.0266499742604424]| 12.1443872451782227|      0.00390625|[11501, 0, 0, 184]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
