k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.60955365384053, 0.0519686182417115, 0.1352852997417735, 0.7793853305530221, 1.609250672e-07, -2.422217912e-07, -5.32587174e-08, 2.27899544e-08, 3.16402345e-08, 1.762629297e-07, -1.543221612e-07, 8.62207278e-08, -1.82291335e-08, -3.8467728e-09, -6.20435433e-08, 5.87407109e-08, -2.13268219e-07, 4.22780265e-08, -6.55131027e-08, 8.23336644e-08, 1.427369123e-07, -6.57679062e-08]| 13.1512060165405273|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
      45|[1.455432987790109, 0.1093626516630209, 0.3438058313540531, 1.952791000657521, -0.0004784946336843, -0.0001139490650958, 6.96500149048e-05, -0.0005161140057863, -0.0001518638424719, -0.0006638887127337, -0.0002654233127474, 0.0002734105778414, 1.19701103611e-05, 8.36502160985e-05, -0.0001918109110982, 0.0002134602368193, -0.000207537306425, -6.98460286921e-05, 0.0002080965654714, -8.4777521303e-06, -1.41417508447e-05, 2.03758427391e-05]| 12.1444931030273438|      0.00781250|[5626, 0, 0, 90]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      46|[1.455432987790109, 0.1093626516630209, 0.3438058313540531, 1.952791000657521, -0.0004784946336843, -0.0001139490650958, 6.96500149048e-05, -0.0005161140057863, -0.0001518638424719, -0.0006638887127337, -0.0002654233127474, 0.0002734105778414, 1.19701103611e-05, 8.36502160985e-05, -0.0001918109110982, 0.0002134602368193, -0.000207537306425, -6.98460286921e-05, 0.0002080965654714, -8.4777521303e-06, -1.41417508447e-05, 2.03758427391e-05]| 12.1444931030273438|      0.00390625|[5751, 0, 0, 92]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      47|[1.4526960090305159, 0.1083303655192521, 0.3446400778204206, 1.9552151913279463, -0.0003454833651425, -0.0001598015002682, 8.54752303779e-05, -0.0006617653862618, 6.2841127874e-06, -0.0007796922845808, -0.0002832748297123, 0.0003165709257003, -2.41485874367e-05, 0.0001173375777958, -0.0002522066773628, 0.0001816389119132, -0.0002081908583586, -1.0422731975e-06, 0.0002695153141722, -0.0001199266003161, -2.04968388129e-05, -0.0001193546549611]| 12.1444845199584961|      0.00781250|[5876, 0, 0, 94]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      48|[1.4526960090305159, 0.1083303655192521, 0.3446400778204206, 1.9552151913279463, -0.0003454833651425, -0.0001598015002682, 8.54752303779e-05, -0.0006617653862618, 6.2841127874e-06, -0.0007796922845808, -0.0002832748297123, 0.0003165709257003, -2.41485874367e-05, 0.0001173375777958, -0.0002522066773628, 0.0001816389119132, -0.0002081908583586, -1.0422731975e-06, 0.0002695153141722, -0.0001199266003161, -2.04968388129e-05, -0.0001193546549611]| 12.1444845199584961|      0.00390625|[6001, 0, 0, 96]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      49|[1.4497144379265638, 0.1070337682120499, 0.3453339537758713, 1.957243709972163, -0.0003229314852338, -0.0001933191594596, 3.54488948718e-05, -0.0006766868551594, 0.0001102167537349, -0.0007305151451388, -0.0002784653001836, 0.0003939696421001, 3.64022060162e-05, -2.01105855847e-05, -0.0003229450176563, 0.0001642964616429, -0.0002382514710897, -0.0001148985383725, 0.0002649514966602, -9.76859893346e-05, -4.45072066635e-05, -0.0002777629657559]| 12.1444768905639648|      0.00781250|[6126, 0, 0, 98]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
      50|[1.4497144379265638, 0.1070337682120499, 0.3453339537758713, 1.957243709972163, -0.0003229314852338, -0.0001933191594596, 3.54488948718e-05, -0.0006766868551594, 0.0001102167537349, -0.0007305151451388, -0.0002784653001836, 0.0003939696421001, 3.64022060162e-05, -2.01105855847e-05, -0.0003229450176563, 0.0001642964616429, -0.0002382514710897, -0.0001148985383725, 0.0002649514966602, -9.76859893346e-05, -4.45072066635e-05, -0.0002777629657559]| 12.1444768905639648|      0.00390625|[6251, 0, 0, 100]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      51|[1.446970694482752, 0.1058580612904366, 0.3459953952824606, 1.9596414497934855, -0.0004785262249273, -0.0002076850833777, 0.0001060347423601, -0.0006810214114866, 0.0001538362100789, -0.0006592677114, -0.0002206272835093, 0.000485398755225, 0.0001321950431689, 1.97010820202e-05, -0.0003539335293392, 0.000117380308834, -0.0002821847153262, 0.0001240838938655, 0.0003422529062778, 2.61440555524e-05, 1.36991036534e-05, -0.0001514707520505]| 12.1444692611694336|      0.00781250|[6376, 0, 0, 102]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      52|[1.446970694482752, 0.1058580612904366, 0.3459953952824606, 1.9596414497934855, -0.0004785262249273, -0.0002076850833777, 0.0001060347423601, -0.0006810214114866, 0.0001538362100789, -0.0006592677114, -0.0002206272835093, 0.000485398755225, 0.0001321950431689, 1.97010820202e-05, -0.0003539335293392, 0.000117380308834, -0.0002821847153262, 0.0001240838938655, 0.0003422529062778, 2.61440555524e-05, 1.36991036534e-05, -0.0001514707520505]| 12.1444692611694336|      0.00390625|[6501, 0, 0, 104]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      53|[1.443996898662862, 0.1045438215943898, 0.346599181205847, 1.9616717655964049, -0.0004435131029824, -0.0003426413520214, -6.63133300782e-05, -0.0006413114747053, 0.0001711488970859, -0.0008265236933709, -0.00032855689692, 0.0004660303495263, 0.0002434670995658, 0.0002062884474733, -0.0003705343215197, -7.644518753e-06, -0.0003871726867904, 0.00023144843849, 0.0003681761987079, -6.16918672622e-05, 1.2782560871e-06, -0.0002785516407364]| 12.1444616317749023|      0.00781250|[6626, 0, 0, 106]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      54|[1.443996898662862, 0.1045438215943898, 0.346599181205847, 1.9616717655964049, -0.0004435131029824, -0.0003426413520214, -6.63133300782e-05, -0.0006413114747053, 0.0001711488970859, -0.0008265236933709, -0.00032855689692, 0.0004660303495263, 0.0002434670995658, 0.0002062884474733, -0.0003705343215197, -7.644518753e-06, -0.0003871726867904, 0.00023144843849, 0.0003681761987079, -6.16918672622e-05, 1.2782560871e-06, -0.0002785516407364]| 12.1444616317749023|      0.00390625|[6751, 0, 0, 108]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      55|[1.4413023225364676, 0.1032779571390943, 0.3471400716245963, 1.9641235886273503, -0.0005433495405506, -0.0003926604159736, -4.7578773867e-05, -0.0006580258953187, 0.0002623611997365, -0.000633321065578, -0.0002921787160049, 0.0004545906041511, 0.0001957089823213, 0.000273195438368, -0.0004001773205199, 2.27503371645e-05, -0.0003620099752025, 0.0002416784743847, 0.0004494132845094, -0.0001175876210096, -0.0001092774631538, -0.0002646863464876]| 12.1444530487060547|      0.00781250|[6876, 0, 0, 110]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      56|[1.4413023225364676, 0.1032779571390943, 0.3471400716245963, 1.9641235886273503, -0.0005433495405506, -0.0003926604159736, -4.7578773867e-05, -0.0006580258953187, 0.0002623611997365, -0.000633321065578, -0.0002921787160049, 0.0004545906041511, 0.0001957089823213, 0.000273195438368, -0.0004001773205199, 2.27503371645e-05, -0.0003620099752025, 0.0002416784743847, 0.0004494132845094, -0.0001175876210096, -0.0001092774631538, -0.0002646863464876]| 12.1444530487060547|      0.00390625|[7001, 0, 0, 112]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      57|[1.4381994117035717, 0.1020876146696216, 0.3475916450686841, 1.9660627878600925, -0.000712906408647, -0.0003257739276422, -0.0002985185813634, -0.000715416702374, 0.000230083296377, -0.0006523897304051, -0.00014153748596, 0.0005346306578185, 0.0002121744764217, 0.0002129466332121, -0.0004186471981666, 1.69754598507e-05, -0.0003477550267589, 5.39434837133e-05, 0.0006577388934873, -6.23527388136e-05, -0.0001735193135865, -0.0004353113286234]| 12.1444454193115234|      0.00781250|[7126, 0, 0, 114]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      58|[1.4381994117035717, 0.1020876146696216, 0.3475916450686841, 1.9660627878600925, -0.000712906408647, -0.0003257739276422, -0.0002985185813634, -0.000715416702374, 0.000230083296377, -0.0006523897304051, -0.00014153748596, 0.0005346306578185, 0.0002121744764217, 0.0002129466332121, -0.0004186471981666, 1.69754598507e-05, -0.0003477550267589, 5.39434837133e-05, 0.0006577388934873, -6.23527388136e-05, -0.0001735193135865, -0.0004353113286234]| 12.1444454193115234|      0.00390625|[7251, 0, 0, 116]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      59|[1.4355710517601101, 0.1008359997551498, 0.3482051263307598, 1.9685813890252977, -0.0007004869630226, -0.0002202225913075, -0.0002931429792341, -0.0007366345358921, 0.0002879808387202, -0.0007145935229935, -0.0002344121502017, 0.0004446981267066, 0.0002769526477933, 0.0003066628460213, -0.0004526708648215, 3.52782169333e-05, -0.0002780776747827, 4.6563008906e-05, 0.0006136764483138, 1.90865815741e-05, -0.0001520219575067, -0.0004469613218802]| 12.1444377899169922|      0.00781250|[7376, 0, 0, 118]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      60|[1.4355710517601101, 0.1008359997551498, 0.3482051263307598, 1.9685813890252977, -0.0007004869630226, -0.0002202225913075, -0.0002931429792341, -0.0007366345358921, 0.0002879808387202, -0.0007145935229935, -0.0002344121502017, 0.0004446981267066, 0.0002769526477933, 0.0003066628460213, -0.0004526708648215, 3.52782169333e-05, -0.0002780776747827, 4.6563008906e-05, 0.0006136764483138, 1.90865815741e-05, -0.0001520219575067, -0.0004469613218802]| 12.1444377899169922|      0.00390625|[7501, 0, 0, 120]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      61|[1.4326553412306136, 0.0996173530729803, 0.3488438243693493, 1.9707633913262814, -0.0006039905009911, -0.000197390304306, -0.0001992379855407, -0.000765138449596, 0.0002577618751893, -0.0006600178583431, -0.0002948770289514, 0.0006375357020632, 0.000274720872277, 0.0002579223845563, -0.0004409948026216, 2.3406152483e-06, -0.0002418926071451, -2.86468433887e-05, 0.0005271564740818, -4.79853064965e-05, -0.0001687896929297, -0.0005743248755697]| 12.1444301605224609|      0.00781250|[7626, 0, 0, 122]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      62|[1.4326553412306136, 0.0996173530729803, 0.3488438243693493, 1.9707633913262814, -0.0006039905009911, -0.000197390304306, -0.0001992379855407, -0.000765138449596, 0.0002577618751893, -0.0006600178583431, -0.0002948770289514, 0.0006375357020632, 0.000274720872277, 0.0002579223845563, -0.0004409948026216, 2.3406152483e-06, -0.0002418926071451, -2.86468433887e-05, 0.0005271564740818, -4.79853064965e-05, -0.0001687896929297, -0.0005743248755697]| 12.1444301605224609|      0.00390625|[7751, 0, 0, 124]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      63|[1.4296910057077628, 0.0984458954529495, 0.3495370064733983, 1.9728818283373022, -0.0005381082084753, -0.0002694817730175, -0.0002120381577858, -0.0008598618900736, 0.0002645205357391, -0.0008034653548709, -0.0002638433698705, 0.0007986577488337, 0.0002187629150383, 0.0002445301050667, -0.0003162607066506, 0.0001234458712359, -0.0001509509561764, -2.78689129216e-05, 0.000468894820206, 3.569701811e-07, -0.0001560350061781, -0.0007046825692855]| 12.1444215774536133|      0.00781250|[7876, 0, 0, 126]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      64|[1.4296910057077628, 0.0984458954529495, 0.3495370064733983, 1.9728818283373022, -0.0005381082084753, -0.0002694817730175, -0.0002120381577858, -0.0008598618900736, 0.0002645205357391, -0.0008034653548709, -0.0002638433698705, 0.0007986577488337, 0.0002187629150383, 0.0002445301050667, -0.0003162607066506, 0.0001234458712359, -0.0001509509561764, -2.78689129216e-05, 0.000468894820206, 3.569701811e-07, -0.0001560350061781, -0.0007046825692855]| 12.1444215774536133|      0.00390625|[8001, 0, 0, 128]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      65|[1.4267403938404024, 0.0972512355740223, 0.3500952977056201, 1.9750476765707683, -0.0006272490818907, -0.0001933178455767, -0.0002125881257955, -0.0008469884511164, 0.0002716116903644, -0.0008705784399162, -0.0003289409926686, 0.0005945892303283, 8.55894539981e-05, 0.0002384473254614, -0.0003541082827508, 3.8796941971e-05, -2.23903809629e-05, 1.54693325726e-05, 0.0004516816526039, 0.0001027334261049, -0.000208652635789, -0.0006902717215901]| 12.1444139480590820|      0.00781250|[8126, 0, 0, 130]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      66|[1.4267403938404024, 0.0972512355740223, 0.3500952977056201, 1.9750476765707683, -0.0006272490818907, -0.0001933178455767, -0.0002125881257955, -0.0008469884511164, 0.0002716116903644, -0.0008705784399162, -0.0003289409926686, 0.0005945892303283, 8.55894539981e-05, 0.0002384473254614, -0.0003541082827508, 3.8796941971e-05, -2.23903809629e-05, 1.54693325726e-05, 0.0004516816526039, 0.0001027334261049, -0.000208652635789, -0.0006902717215901]| 12.1444139480590820|      0.00390625|[8251, 0, 0, 132]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      67|[1.4239628442599217, 0.0961159067714992, 0.3508880549782866, 1.977404049271796, -0.0007026834827699, -0.0001160084467173, -6.62451563799e-05, -0.0008703432509945, 0.0002465653121148, -0.0009229056949692, -0.0002681104043851, 0.0005347553155188, 2.64567206469e-05, 0.0003483802771732, -0.0003277318065705, 7.93662607614e-05, 2.24584834052e-05, 3.8074651642e-06, 0.0003972751772387, 5.23794740782e-05, -0.0001728955109197, -0.0007446746468674]| 12.1444063186645508|      0.00781250|[8376, 0, 0, 134]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      68|[1.4239628442599217, 0.0961159067714992, 0.3508880549782866, 1.977404049271796, -0.0007026834827699, -0.0001160084467173, -6.62451563799e-05, -0.0008703432509945, 0.0002465653121148, -0.0009229056949692, -0.0002681104043851, 0.0005347553155188, 2.64567206469e-05, 0.0003483802771732, -0.0003277318065705, 7.93662607614e-05, 2.24584834052e-05, 3.8074651642e-06, 0.0003972751772387, 5.23794740782e-05, -0.0001728955109197, -0.0007446746468674]| 12.1444063186645508|      0.00390625|[8501, 0, 0, 136]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      69|[1.4211103567694316, 0.0947419166644479, 0.3515766834853118, 1.9795446305980224, -0.0007127643616369, -5.4116061937e-06, -1.95048907349e-05, -0.0006926583677437, 0.0002468895455199, -0.0008947908922383, -0.0001222568865297, 0.0005244596582749, -0.0001099427958446, 0.0005390123195958, -0.0002407396322036, 0.0002568035003914, -3.72173205885e-05, 6.07193252278e-05, 0.0004426274557164, 4.75314692328e-05, -9.32788825357e-05, -0.0007666236947378]| 12.1443986892700195|      0.00781250|[8626, 0, 0, 138]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      70|[1.4211103567694316, 0.0947419166644479, 0.3515766834853118, 1.9795446305980224, -0.0007127643616369, -5.4116061937e-06, -1.95048907349e-05, -0.0006926583677437, 0.0002468895455199, -0.0008947908922383, -0.0001222568865297, 0.0005244596582749, -0.0001099427958446, 0.0005390123195958, -0.0002407396322036, 0.0002568035003914, -3.72173205885e-05, 6.07193252278e-05, 0.0004426274557164, 4.75314692328e-05, -9.32788825357e-05, -0.0007666236947378]| 12.1443986892700195|      0.00390625|[8751, 0, 0, 140]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      71|[1.4181608811608493, 0.0935883343174244, 0.3522168222741581, 1.9817120020191457, -0.0005312327662594, -7.41505346154e-05, 5.0379690955e-05, -0.0007013942477796, 0.0001751433571339, -0.0009331328615721, -0.0001182876521079, 0.0004877319711321, 6.4341200768e-06, 0.0004704729914758, -0.0002382483915617, 0.0002409447112599, -0.0001320482442051, 0.0001215762984938, 0.0002524244753296, 4.91678827759e-05, -7.06529601777e-05, -0.0008199668847592]| 12.1443901062011719|      0.00781250|[8876, 0, 0, 142]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      72|[1.4181608811608493, 0.0935883343174244, 0.3522168222741581, 1.9817120020191457, -0.0005312327662594, -7.41505346154e-05, 5.0379690955e-05, -0.0007013942477796, 0.0001751433571339, -0.0009331328615721, -0.0001182876521079, 0.0004877319711321, 6.4341200768e-06, 0.0004704729914758, -0.0002382483915617, 0.0002409447112599, -0.0001320482442051, 0.0001215762984938, 0.0002524244753296, 4.91678827759e-05, -7.06529601777e-05, -0.0008199668847592]| 12.1443901062011719|      0.00390625|[9001, 0, 0, 144]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      73|[1.415298093367061, 0.0923198119617021, 0.3529104232700612, 1.9839262655167438, -0.0005511022157088, -0.0001454826439569, 7.93194367041e-05, -0.0006820246574586, 0.0002829228380668, -0.0009341232197935, -7.28048320309e-05, 0.0005187578483858, 9.82850125864e-05, 0.0004387591876751, -0.0003803860508548, 0.000203129463516, -0.0001465788670626, 7.10393292678e-05, 0.0002629623417118, -5.50374446777e-05, -0.0001328703394702, -0.0008160760626516]| 12.1443824768066406|      0.00781250|[9126, 0, 0, 146]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      74|[1.415298093367061, 0.0923198119617021, 0.3529104232700612, 1.9839262655167438, -0.0005511022157088, -0.0001454826439569, 7.93194367041e-05, -0.0006820246574586, 0.0002829228380668, -0.0009341232197935, -7.28048320309e-05, 0.0005187578483858, 9.82850125864e-05, 0.0004387591876751, -0.0003803860508548, 0.000203129463516, -0.0001465788670626, 7.10393292678e-05, 0.0002629623417118, -5.50374446777e-05, -0.0001328703394702, -0.0008160760626516]| 12.1443824768066406|      0.00390625|[9251, 0, 0, 148]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      75|[1.4124839488854162, 0.0911699867104188, 0.3536492749770573, 1.9862434244891611, -0.0005634805694256, -0.0001547114319326, 4.4118336463e-05, -0.0006670344956511, 0.0004551220220555, -0.0009115380673363, -0.0001805008400844, 0.0004180250162384, 9.49386693453e-05, 0.000418473150437, -0.0004970534393051, 0.0001610210298374, -6.05344420979e-05, 0.0001333958600704, 0.000185000062104, 2.0445985956e-05, -0.0001212188801322, -0.0007184383604351]| 12.1443748474121094|      0.00781250|[9376, 0, 0, 150]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      76|[1.4124839488854162, 0.0911699867104188, 0.3536492749770573, 1.9862434244891611, -0.0005634805694256, -0.0001547114319326, 4.4118336463e-05, -0.0006670344956511, 0.0004551220220555, -0.0009115380673363, -0.0001805008400844, 0.0004180250162384, 9.49386693453e-05, 0.000418473150437, -0.0004970534393051, 0.0001610210298374, -6.05344420979e-05, 0.0001333958600704, 0.000185000062104, 2.0445985956e-05, -0.0001212188801322, -0.0007184383604351]| 12.1443748474121094|      0.00390625|[9501, 0, 0, 152]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      77|[1.4096186882916273, 0.0900801500441517, 0.3544027472478914, 1.9885182063382727, -0.000365128334286, -0.0001322549948033, -3.78179985251e-05, -0.0007033471587736, 0.0004333918500778, -0.0008643717699802, -8.25874771594e-05, 0.0004465247308158, 0.0001728143650017, 0.0003444492775495, -0.0006436601187569, 0.0001412093660458, -8.87542796936e-05, 0.0001976842466006, 0.0002133449413514, 3.500317689e-07, -0.0002224152682654, -0.0008089380447632]| 12.1443672180175781|      0.00781250|[9626, 0, 0, 154]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      78|[1.4096186882916273, 0.0900801500441517, 0.3544027472478914, 1.9885182063382727, -0.000365128334286, -0.0001322549948033, -3.78179985251e-05, -0.0007033471587736, 0.0004333918500778, -0.0008643717699802, -8.25874771594e-05, 0.0004465247308158, 0.0001728143650017, 0.0003444492775495, -0.0006436601187569, 0.0001412093660458, -8.87542796936e-05, 0.0001976842466006, 0.0002133449413514, 3.500317689e-07, -0.0002224152682654, -0.0008089380447632]| 12.1443672180175781|      0.00390625|[9751, 0, 0, 156]                                                          |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      79|[1.4065446156260286, 0.0887821341568136, 0.3550514815566276, 1.9904083969012556, -0.0003740639263329, -0.0001254981407482, -7.33022218095e-05, -0.0007444405796542, 0.0004873268317078, -0.0008808777076863, -0.0001635748730492, 0.0004097192194719, 8.19768638691e-05, 0.0002126485306187, -0.0006365946929408, 0.0002220693014381, -5.63945657357e-05, 3.28958087005e-05, 0.0001802961558671, 5.5519909125e-06, -0.0004469554368377, -0.0008739386451946]| 12.1443586349487305|      0.00781250|[9876, 0, 0, 158]                                                          |  | trying linear partial model with 65 points | iterate success | actual_k=0
      80|[1.4065446156260286, 0.0887821341568136, 0.3550514815566276, 1.9904083969012556, -0.0003740639263329, -0.0001254981407482, -7.33022218095e-05, -0.0007444405796542, 0.0004873268317078, -0.0008808777076863, -0.0001635748730492, 0.0004097192194719, 8.19768638691e-05, 0.0002126485306187, -0.0006365946929408, 0.0002220693014381, -5.63945657357e-05, 3.28958087005e-05, 0.0001802961558671, 5.5519909125e-06, -0.0004469554368377, -0.0008739386451946]| 12.1443586349487305|      0.00390625|[10001, 0, 0, 160]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      81|[1.403909118671686, 0.0875870316078738, 0.3559006666559529, 1.9928618905871662, -0.0004818082492489, -0.0001195088121235, -7.0380821148e-05, -0.00073137562843, 0.0004385865636064, -0.0009050035085443, -9.05661388045e-05, 0.0004325686628937, -3.48561611465e-05, 0.0002813463899357, -0.0004701012599094, 0.0002401044588365, -6.75856149512e-05, -0.0001118942202441, -1.15730749855e-05, -3.29426528061e-05, -0.0005602471049648, -0.000805678337046]| 12.1443510055541992|      0.00781250|[10126, 0, 0, 162]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      82|[1.403909118671686, 0.0875870316078738, 0.3559006666559529, 1.9928618905871662, -0.0004818082492489, -0.0001195088121235, -7.0380821148e-05, -0.00073137562843, 0.0004385865636064, -0.0009050035085443, -9.05661388045e-05, 0.0004325686628937, -3.48561611465e-05, 0.0002813463899357, -0.0004701012599094, 0.0002401044588365, -6.75856149512e-05, -0.0001118942202441, -1.15730749855e-05, -3.29426528061e-05, -0.0005602471049648, -0.000805678337046]| 12.1443510055541992|      0.00390625|[10251, 0, 0, 164]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      83|[1.4008881687740757, 0.0863270600134247, 0.3564845826951237, 1.994901529973804, -0.00049196836875, -0.0001108513051541, -4.85549766772e-05, -0.0006825496758507, 0.0004246352382412, -0.0009044082414534, -0.0001021508004317, 0.0004010048789304, -9.436224736e-06, 0.0002000797561193, -0.0005459104682923, 0.0003405332130608, -8.5781068574e-05, -0.0002265324301346, -5.97701843447e-05, -3.71418962027e-05, -0.0005870230483062, -0.0007980855967419]| 12.1443433761596680|      0.00781250|[10376, 0, 0, 166]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      84|[1.4008881687740757, 0.0863270600134247, 0.3564845826951237, 1.994901529973804, -0.00049196836875, -0.0001108513051541, -4.85549766772e-05, -0.0006825496758507, 0.0004246352382412, -0.0009044082414534, -0.0001021508004317, 0.0004010048789304, -9.436224736e-06, 0.0002000797561193, -0.0005459104682923, 0.0003405332130608, -8.5781068574e-05, -0.0002265324301346, -5.97701843447e-05, -3.71418962027e-05, -0.0005870230483062, -0.0007980855967419]| 12.1443433761596680|      0.00390625|[10501, 0, 0, 168]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      85|[1.398165772555798, 0.0850841940247419, 0.3572286199710495, 1.9972627238175622, -0.0003279605534304, -0.0001204900621492, -7.68686143076e-05, -0.0008109581219038, 0.0003186805393486, -0.0008533697818353, -6.8380813347e-05, 0.0003043787226643, -3.14034509989e-05, 0.0001798401248271, -0.0004933070261824, 0.0005995265125911, -0.0001262718634318, -0.0001079482948377, -0.0001758889551327, -3.44323511374e-05, -0.0005171320371937, -0.0007780914956092]| 12.1443357467651367|      0.00781250|[10626, 0, 0, 170]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      86|[1.398165772555798, 0.0850841940247419, 0.3572286199710495, 1.9972627238175622, -0.0003279605534304, -0.0001204900621492, -7.68686143076e-05, -0.0008109581219038, 0.0003186805393486, -0.0008533697818353, -6.8380813347e-05, 0.0003043787226643, -3.14034509989e-05, 0.0001798401248271, -0.0004933070261824, 0.0005995265125911, -0.0001262718634318, -0.0001079482948377, -0.0001758889551327, -3.44323511374e-05, -0.0005171320371937, -0.0007780914956092]| 12.1443357467651367|      0.00390625|[10751, 0, 0, 172]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      87|[1.3952539299483635, 0.0836495628672081, 0.3577361027478984, 1.9993588032428868, -0.0004016898279969, -2.79913920728e-05, -4.43708526785e-05, -0.0008999595668847, 0.000310379835982, -0.0008615132543933, -0.0001076353983468, 0.0002761677139545, 5.79056284479e-05, 0.0001635171710405, -0.000433294081114, 0.0005814536720168, -0.0001635551212832, -0.0002239420718637, -8.01058301133e-05, 3.44224891706e-05, -0.0005826929136193, -0.0007720020741401]| 12.1443271636962891|      0.00781250|[10876, 0, 0, 174]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      88|[1.3952539299483635, 0.0836495628672081, 0.3577361027478984, 1.9993588032428868, -0.0004016898279969, -2.79913920728e-05, -4.43708526785e-05, -0.0008999595668847, 0.000310379835982, -0.0008615132543933, -0.0001076353983468, 0.0002761677139545, 5.79056284479e-05, 0.0001635171710405, -0.000433294081114, 0.0005814536720168, -0.0001635551212832, -0.0002239420718637, -8.01058301133e-05, 3.44224891706e-05, -0.0005826929136193, -0.0007720020741401]| 12.1443271636962891|      0.00390625|[11001, 0, 0, 176]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      89|[1.392492971407387, 0.0825247792326964, 0.3584682749906501, 2.0017504830056745, -0.000379629906445, 4.62962646366e-05, -9.2185705169e-06, -0.0008150646816647, 0.000378424604245, -0.0007765559083176, -5.41127347912e-05, 0.0001866325307575, 9.78158049856e-05, 0.0002757204009926, -0.0003525692533557, 0.0005555985340806, -0.000315176725683, -0.0002671463853495, 4.35591504298e-05, -3.20329006582e-05, -0.0004758416246209, -0.0007768667639351]| 12.1443195343017578|      0.00781250|[11126, 0, 0, 178]                                                         |  | trying linear partial model with 65 points | iterate success | actual_k=0
      90|[1.392492971407387, 0.0825247792326964, 0.3584682749906501, 2.0017504830056745, -0.000379629906445, 4.62962646366e-05, -9.2185705169e-06, -0.0008150646816647, 0.000378424604245, -0.0007765559083176, -5.41127347912e-05, 0.0001866325307575, 9.78158049856e-05, 0.0002757204009926, -0.0003525692533557, 0.0005555985340806, -0.000315176725683, -0.0002671463853495, 4.35591504298e-05, -3.20329006582e-05, -0.0004758416246209, -0.0007768667639351]| 12.1443195343017578|      0.00390625|[11251, 0, 0, 180]                                                         |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
