k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3066979508879548, 0.08722837590104, 0.2470545079339777, -0.0680725421963018, 0.1128784900707192, 0.2861891520238163, 0.142093181671488, -0.1469099866326431, 0.1441095899481403, -0.047779944469448, 0.1825786362675468, 0.1577991850683242, 0.0352482706547686, 0.1296581849995362, 0.2053921283026732, 0.1395188017049132, 0.1570886621139732, 0.0953173475238649, 0.0403084983861596, 0.1626623252097258, 0.0983893949094667, -0.0389426180110261, 0.2251036149647243, 0.0647433342684061, 0.2047560602385042, 0.1201666998298557, 0.13584530742504, 0.0615592040582297, 0.1084258831646828, 0.0757444625311126, 0.1242504964964458, -0.0489466919170698, 0.1579139197521306, 0.1774853039710738, -0.0087096797418326, 0.1275492011504715, 0.0648094859355804, 0.1046053432126669, 0.0600050634317285, 0.0314632703920563, 0.0543182046288704, 0.0380926290678526, -0.0343193379513457, -0.0126906061684855, 0.1326615563192368, 0.2289849284146001, 0.3115909241006463, 0.0030267642105505, 0.1400885114501753, 0.0916160580861536]|1750.6114956497490311|      2.00000000|[49, 16, 1, 5]                                                             |  | used linear model with 65 points | iterate success | actual_k=4
      24|[2.080197699247156, 3.527808044783337, 5.107308682519185, 1.5276194983461842, 3.2927733767974243, 2.362208886129242, 3.729281527675506, 2.5586908121287704, 1.7668136682906455, 3.4155926587029803, 4.606241806832239, 3.602063324257672, 3.7759148072479327, 3.497083444083492, -0.0640213491232552, 3.778631581241021, 2.0679600416263115, -0.223826056592402, 1.8713185388487699, 1.0070432317878468, 2.512587375749424, 3.171577242627059, 3.0662567949094512, 0.1674175460517114, 2.5190916669477477, 0.893965684076421, 1.7341308014093948, 4.596373732727343, 3.936292310825136, 4.746078459684574, 3.126044163476334, -0.1927406784272835, 3.352815695772642, 3.259956279952105, 4.292386542268864, 2.5854685336601526, 2.1209932987061895, 1.747967531573719, 3.32055577628321, 2.893226638189587, 2.7235927610223998, 3.081688048240927, 1.4258638520316647, 3.866730320801735, 4.407107084435345, 4.005885228171532, 2.6982041230023595, 1.7073287015908167, 2.453500491482873, 0.9985894862928537]|480.3607207972896163|      1.00000000|[1176, 384, 24, 120]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      25|[2.080197699247156, 3.527808044783337, 5.107308682519185, 1.5276194983461842, 3.2927733767974243, 2.362208886129242, 3.729281527675506, 2.5586908121287704, 1.7668136682906455, 3.4155926587029803, 4.606241806832239, 3.602063324257672, 3.7759148072479327, 3.497083444083492, -0.0640213491232552, 3.778631581241021, 2.0679600416263115, -0.223826056592402, 1.8713185388487699, 1.0070432317878468, 2.512587375749424, 3.171577242627059, 3.0662567949094512, 0.1674175460517114, 2.5190916669477477, 0.893965684076421, 1.7341308014093948, 4.596373732727343, 3.936292310825136, 4.746078459684574, 3.126044163476334, -0.1927406784272835, 3.352815695772642, 3.259956279952105, 4.292386542268864, 2.5854685336601526, 2.1209932987061895, 1.747967531573719, 3.32055577628321, 2.893226638189587, 2.7235927610223998, 3.081688048240927, 1.4258638520316647, 3.866730320801735, 4.407107084435345, 4.005885228171532, 2.6982041230023595, 1.7073287015908167, 2.453500491482873, 0.9985894862928537]|480.3607207972896163|      0.50000000|[1225, 400, 25, 125]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      26|[2.1227650057985317, 3.520168179474134, 5.103405606550429, 1.5046962680938707, 3.340137100337226, 2.3981108862554854, 3.7742635859486087, 2.623278872325505, 1.7975721803943434, 3.3992913641094584, 4.622155589921172, 3.6131652596929063, 3.819601143935717, 3.6003106815209813, -0.248279252650704, 3.8287926358248523, 1.9043371926778874, -0.2358967788519025, 1.9205547157277645, 1.0303101716925085, 2.5892848175804417, 3.173206253580245, 3.0492928946840143, -0.0642161594122705, 2.5472147535746026, 0.8805347279304231, 1.809354877323291, 4.656977496476766, 3.965340863815477, 4.75284521207714, 3.0340356574271383, -0.163101959215484, 3.3618374476820896, 3.285764103835384, 4.294177209633907, 2.71389181203909, 2.0850832407872457, 1.800923250352523, 3.4292963177231672, 2.8577515083554226, 2.77342745564098, 3.102431761476274, 1.4470225070420575, 3.9280315673048927, 4.331378697700526, 4.043321958094456, 2.5330759865807937, 1.7106546531989362, 2.462757392597379, 1.0294925704812086]|475.6451306072976877|      1.00000000|[1274, 416, 26, 130]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      27|[2.1227650057985317, 3.520168179474134, 5.103405606550429, 1.5046962680938707, 3.340137100337226, 2.3981108862554854, 3.7742635859486087, 2.623278872325505, 1.7975721803943434, 3.3992913641094584, 4.622155589921172, 3.6131652596929063, 3.819601143935717, 3.6003106815209813, -0.248279252650704, 3.8287926358248523, 1.9043371926778874, -0.2358967788519025, 1.9205547157277645, 1.0303101716925085, 2.5892848175804417, 3.173206253580245, 3.0492928946840143, -0.0642161594122705, 2.5472147535746026, 0.8805347279304231, 1.809354877323291, 4.656977496476766, 3.965340863815477, 4.75284521207714, 3.0340356574271383, -0.163101959215484, 3.3618374476820896, 3.285764103835384, 4.294177209633907, 2.71389181203909, 2.0850832407872457, 1.800923250352523, 3.4292963177231672, 2.8577515083554226, 2.77342745564098, 3.102431761476274, 1.4470225070420575, 3.9280315673048927, 4.331378697700526, 4.043321958094456, 2.5330759865807937, 1.7106546531989362, 2.462757392597379, 1.0294925704812086]|475.6451306072976877|      0.50000000|[1323, 432, 27, 135]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      28|[2.188648283370152, 3.563393958291607, 5.048989393055629, 1.6066655376174095, 3.3297199734393064, 2.488035789335008, 3.771723097890559, 2.6616178964485355, 1.93045954850312, 3.397958548636942, 4.623149928290932, 3.6725951785940327, 3.9600050769916653, 3.5858848129365217, -0.1237447337170566, 3.715954609990101, 1.888315729309424, -0.1853710635850065, 1.9864909633542596, 1.0675369614183934, 2.6019407905506626, 3.1643800056791056, 3.191356669691969, -0.0569584250406711, 2.585750585459064, 0.8316647398625173, 1.8103099486598528, 4.610920199732814, 3.9945422983258987, 4.737289047585401, 3.1363095763884634, -0.0358047808833993, 3.315213815769528, 3.1836994289795073, 4.3511787758945575, 2.7839646483988467, 2.1791324700351447, 1.7695273658767245, 3.4754668311177266, 2.898578885620442, 2.8699139532133393, 3.0996898805656863, 1.3247090190041146, 4.005704371022879, 4.337213667975996, 4.046941046891697, 2.501676313450494, 1.841719508180076, 2.43998461495466, 1.1016966618409973]|463.5383645857673969|      1.00000000|[1372, 448, 28, 140]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      29|[2.379955839575864, 3.661903870142554, 5.117570224772519, 1.8497383006732138, 3.483858510269035, 2.500792683746734, 3.8258536807923034, 2.8716651363382377, 2.0286397890701964, 3.221084765273648, 4.782310764859602, 3.8566235547373595, 4.097737282747964, 3.6921505208301792, -0.099088155391192, 3.941969628035603, 1.7706272824600546, -0.0040896613724585, 2.0962408525554497, 0.9856573217011317, 2.6523976703221877, 3.1702822242274715, 3.2522799446433615, 0.0437585779531644, 2.639241057542257, 0.7945244647250295, 2.0071110100276126, 4.663428001806307, 4.022737844649879, 4.567981610395716, 3.301454866407424, 0.1424490235570942, 3.3236022657223843, 3.320924383943169, 4.4782592608826315, 2.8950236600002293, 2.4056765520753953, 1.8011346974572, 3.394419478917371, 3.2055048304181852, 3.1383629836891407, 3.124481099224175, 1.201589552961419, 3.9081980693647447, 4.485422262954998, 3.891324865982056, 2.4463820748458924, 2.053833677655557, 2.270719729683196, 1.1063408762663032]|442.1795575647137184|      2.00000000|[1421, 464, 29, 145]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      30|[2.379955839575864, 3.661903870142554, 5.117570224772519, 1.8497383006732138, 3.483858510269035, 2.500792683746734, 3.8258536807923034, 2.8716651363382377, 2.0286397890701964, 3.221084765273648, 4.782310764859602, 3.8566235547373595, 4.097737282747964, 3.6921505208301792, -0.099088155391192, 3.941969628035603, 1.7706272824600546, -0.0040896613724585, 2.0962408525554497, 0.9856573217011317, 2.6523976703221877, 3.1702822242274715, 3.2522799446433615, 0.0437585779531644, 2.639241057542257, 0.7945244647250295, 2.0071110100276126, 4.663428001806307, 4.022737844649879, 4.567981610395716, 3.301454866407424, 0.1424490235570942, 3.3236022657223843, 3.320924383943169, 4.4782592608826315, 2.8950236600002293, 2.4056765520753953, 1.8011346974572, 3.394419478917371, 3.2055048304181852, 3.1383629836891407, 3.124481099224175, 1.201589552961419, 3.9081980693647447, 4.485422262954998, 3.891324865982056, 2.4463820748458924, 2.053833677655557, 2.270719729683196, 1.1063408762663032]|442.1795575647137184|      1.00000000|[1470, 480, 30, 150]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      31|[2.4980402851505947, 3.7717282471254023, 5.250580810197424, 2.099849882261477, 3.471382840671391, 2.5407182066883114, 3.9155434444849595, 3.101423207682517, 2.2281959954368804, 3.4312090827922574, 4.724617189858302, 3.8832896869721996, 4.027678243807055, 3.7925186543505824, -0.051166297485939, 3.894130767406695, 2.1406299252213685, 0.1089685300715581, 2.0289093042744457, 1.2616066902007386, 2.801621009137639, 3.0957793048900437, 3.312779292706571, 0.1901686304465287, 2.639540048106236, 0.9193497910658123, 2.0512962719057666, 4.693194178106619, 4.225786439379977, 4.665650168392695, 3.18430808981359, 0.2481868759260713, 3.1174923293898207, 3.4401251682172753, 4.478936762014585, 3.2206497003552688, 2.5674072698627506, 1.895195729830167, 3.3903981211543095, 3.317056942204671, 3.1070908107605386, 3.195923005889497, 1.37794847063385, 3.9346048660221866, 4.508175629062428, 3.9494268250559887, 2.439390054677379, 2.1481114057048605, 2.414516561789706, 1.3605728262543768]|417.7512722056501957|      2.00000000|[1519, 496, 31, 155]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      32|[2.4980402851505947, 3.7717282471254023, 5.250580810197424, 2.099849882261477, 3.471382840671391, 2.5407182066883114, 3.9155434444849595, 3.101423207682517, 2.2281959954368804, 3.4312090827922574, 4.724617189858302, 3.8832896869721996, 4.027678243807055, 3.7925186543505824, -0.051166297485939, 3.894130767406695, 2.1406299252213685, 0.1089685300715581, 2.0289093042744457, 1.2616066902007386, 2.801621009137639, 3.0957793048900437, 3.312779292706571, 0.1901686304465287, 2.639540048106236, 0.9193497910658123, 2.0512962719057666, 4.693194178106619, 4.225786439379977, 4.665650168392695, 3.18430808981359, 0.2481868759260713, 3.1174923293898207, 3.4401251682172753, 4.478936762014585, 3.2206497003552688, 2.5674072698627506, 1.895195729830167, 3.3903981211543095, 3.317056942204671, 3.1070908107605386, 3.195923005889497, 1.37794847063385, 3.9346048660221866, 4.508175629062428, 3.9494268250559887, 2.439390054677379, 2.1481114057048605, 2.414516561789706, 1.3605728262543768]|417.7512722056501957|      1.00000000|[1568, 512, 32, 160]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      33|[2.4980402851505947, 3.7717282471254023, 5.250580810197424, 2.099849882261477, 3.471382840671391, 2.5407182066883114, 3.9155434444849595, 3.101423207682517, 2.2281959954368804, 3.4312090827922574, 4.724617189858302, 3.8832896869721996, 4.027678243807055, 3.7925186543505824, -0.051166297485939, 3.894130767406695, 2.1406299252213685, 0.1089685300715581, 2.0289093042744457, 1.2616066902007386, 2.801621009137639, 3.0957793048900437, 3.312779292706571, 0.1901686304465287, 2.639540048106236, 0.9193497910658123, 2.0512962719057666, 4.693194178106619, 4.225786439379977, 4.665650168392695, 3.18430808981359, 0.2481868759260713, 3.1174923293898207, 3.4401251682172753, 4.478936762014585, 3.2206497003552688, 2.5674072698627506, 1.895195729830167, 3.3903981211543095, 3.317056942204671, 3.1070908107605386, 3.195923005889497, 1.37794847063385, 3.9346048660221866, 4.508175629062428, 3.9494268250559887, 2.439390054677379, 2.1481114057048605, 2.414516561789706, 1.3605728262543768]|417.7512722056501957|      0.50000000|[1617, 528, 33, 165]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      34|[2.6634522811769963, 3.797179755518541, 5.315107246778349, 2.124276522183971, 3.560032064858971, 2.542522702253478, 3.9508651094629164, 3.149832747306411, 2.276938457750532, 3.542667930966395, 4.617807135056973, 3.9558120087751236, 4.084734375102748, 3.8283499038379722, -0.0395045922577678, 3.844628613108886, 2.0508172064988917, 0.1007305457190107, 1.9834001896364828, 1.2987110425238941, 2.7693199411490648, 3.072852346745412, 3.188161885260783, 0.1374960722846878, 2.6360688751518233, 0.7510103242842251, 2.1513356790084845, 4.685606974924013, 4.249117533138847, 4.720644282938255, 3.3006632592372074, 0.2671214287746724, 3.1638388931298946, 3.3080200115187752, 4.384566758928914, 3.202621468672416, 2.6316891362872097, 1.9596657364663093, 3.4434075166140627, 3.292493966830474, 3.2003232142486064, 3.19368273745331, 1.2350838358363552, 3.9572185612245976, 4.5270298925507095, 3.99993986289795, 2.3831352001467896, 2.136554002529999, 2.4414106361033032, 1.3079513072266782]|413.9157968375288306|      1.00000000|[1666, 544, 34, 170]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      35|[2.867172991589174, 3.7889466027143945, 5.030890027050949, 2.3854981793964094, 3.7454483782250896, 2.599057836241092, 3.9572004395192315, 3.3662052694980327, 2.28986592168254, 3.48442161572417, 4.634560678914797, 3.922789349368775, 4.132623078966011, 3.8410065174271173, 0.1327155136811805, 3.8853661160317423, 2.1252518999527448, 0.2295401706059932, 1.9978292319357915, 1.5078525841948325, 2.8531005073772957, 2.96397059213909, 3.2951931866247666, 0.1880477648771093, 2.845639103135892, 1.0236678731492128, 2.1655967185930907, 4.732834429991792, 4.173931180569247, 4.671272711444981, 3.326627557054446, 0.5932050481106305, 3.231258203848954, 3.1758270410881577, 4.540337366679631, 3.4699266414261043, 2.8111128898415623, 2.188287986494633, 3.6367013653358025, 3.406387418558235, 3.3821031036355302, 3.2303037924702527, 1.3252535693326493, 4.0186535435376785, 4.425331244454533, 4.013997715512656, 2.2709603228935116, 2.276329047039589, 2.4643765912564453, 1.4054721687025296]|387.3199031923786606|      2.00000000|[1715, 560, 35, 175]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      36|[2.867172991589174, 3.7889466027143945, 5.030890027050949, 2.3854981793964094, 3.7454483782250896, 2.599057836241092, 3.9572004395192315, 3.3662052694980327, 2.28986592168254, 3.48442161572417, 4.634560678914797, 3.922789349368775, 4.132623078966011, 3.8410065174271173, 0.1327155136811805, 3.8853661160317423, 2.1252518999527448, 0.2295401706059932, 1.9978292319357915, 1.5078525841948325, 2.8531005073772957, 2.96397059213909, 3.2951931866247666, 0.1880477648771093, 2.845639103135892, 1.0236678731492128, 2.1655967185930907, 4.732834429991792, 4.173931180569247, 4.671272711444981, 3.326627557054446, 0.5932050481106305, 3.231258203848954, 3.1758270410881577, 4.540337366679631, 3.4699266414261043, 2.8111128898415623, 2.188287986494633, 3.6367013653358025, 3.406387418558235, 3.3821031036355302, 3.2303037924702527, 1.3252535693326493, 4.0186535435376785, 4.425331244454533, 4.013997715512656, 2.2709603228935116, 2.276329047039589, 2.4643765912564453, 1.4054721687025296]|387.3199031923786606|      1.00000000|[1764, 576, 36, 180]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      37|[2.867172991589174, 3.7889466027143945, 5.030890027050949, 2.3854981793964094, 3.7454483782250896, 2.599057836241092, 3.9572004395192315, 3.3662052694980327, 2.28986592168254, 3.48442161572417, 4.634560678914797, 3.922789349368775, 4.132623078966011, 3.8410065174271173, 0.1327155136811805, 3.8853661160317423, 2.1252518999527448, 0.2295401706059932, 1.9978292319357915, 1.5078525841948325, 2.8531005073772957, 2.96397059213909, 3.2951931866247666, 0.1880477648771093, 2.845639103135892, 1.0236678731492128, 2.1655967185930907, 4.732834429991792, 4.173931180569247, 4.671272711444981, 3.326627557054446, 0.5932050481106305, 3.231258203848954, 3.1758270410881577, 4.540337366679631, 3.4699266414261043, 2.8111128898415623, 2.188287986494633, 3.6367013653358025, 3.406387418558235, 3.3821031036355302, 3.2303037924702527, 1.3252535693326493, 4.0186535435376785, 4.425331244454533, 4.013997715512656, 2.2709603228935116, 2.276329047039589, 2.4643765912564453, 1.4054721687025296]|387.3199031923786606|      0.50000000|[1813, 592, 37, 185]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      38|[2.879018524728412, 3.8279430482373513, 4.976298498131418, 2.460907345997042, 3.7772734106915897, 2.6249711105182327, 3.9878159081933657, 3.3502626910406668, 2.303165621719061, 3.547528395345951, 4.665319708295781, 3.896505638900567, 4.15759732378004, 3.9581945654774042, -0.0156139840203347, 3.8785553652687454, 2.1327111896869013, 0.2151976171615518, 1.975991354366091, 1.6214504521863327, 2.8478557574016157, 2.9970091279489184, 3.3996781429651572, 0.2283137586851226, 2.844523642894777, 1.0929150740515305, 2.134189365250078, 4.749315074942935, 4.208130718508182, 4.620068118834833, 3.4209242423159947, 0.6694089328506593, 3.3251510479760342, 2.968598287940303, 4.4840236741477995, 3.5140371214340522, 2.8169349113983935, 2.183901562618635, 3.617041650088879, 3.5341343060825947, 3.4618812284872686, 3.306754741230854, 1.2461617868612787, 4.195674131118222, 4.4241909371403425, 3.938620537765487, 2.167003767016234, 2.3203005777982724, 2.4941688634274866, 1.403873402965006]|382.1908760996029741|      1.00000000|[1862, 608, 38, 190]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      39|[2.879018524728412, 3.8279430482373513, 4.976298498131418, 2.460907345997042, 3.7772734106915897, 2.6249711105182327, 3.9878159081933657, 3.3502626910406668, 2.303165621719061, 3.547528395345951, 4.665319708295781, 3.896505638900567, 4.15759732378004, 3.9581945654774042, -0.0156139840203347, 3.8785553652687454, 2.1327111896869013, 0.2151976171615518, 1.975991354366091, 1.6214504521863327, 2.8478557574016157, 2.9970091279489184, 3.3996781429651572, 0.2283137586851226, 2.844523642894777, 1.0929150740515305, 2.134189365250078, 4.749315074942935, 4.208130718508182, 4.620068118834833, 3.4209242423159947, 0.6694089328506593, 3.3251510479760342, 2.968598287940303, 4.4840236741477995, 3.5140371214340522, 2.8169349113983935, 2.183901562618635, 3.617041650088879, 3.5341343060825947, 3.4618812284872686, 3.306754741230854, 1.2461617868612787, 4.195674131118222, 4.4241909371403425, 3.938620537765487, 2.167003767016234, 2.3203005777982724, 2.4941688634274866, 1.403873402965006]|382.1908760996029741|      0.50000000|[1911, 624, 39, 195]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      40|[2.966018199550276, 3.8017327162589547, 5.004316426516606, 2.5266333077206564, 3.7620628090226393, 2.730379175476864, 4.001181755430385, 3.2919398945756395, 2.3378905467000592, 3.557442996703115, 4.721682359774598, 3.819330315633677, 4.275840308608108, 4.050174194530083, 0.0904932433684677, 3.8888545963984953, 2.1409460436259815, 0.3231161514273529, 2.096210596057284, 1.6013258610895402, 2.8700551294609826, 2.9212466770950716, 3.367997681837252, 0.2265957874981289, 2.8450510304472125, 1.1313232304195349, 2.297652449735358, 4.711977786527203, 4.189831316399282, 4.688921890834673, 3.410293003991223, 0.8045187566598511, 3.299599941188643, 3.086708911393761, 4.499557456196767, 3.498616025202816, 2.8302061470460242, 2.2036788275468595, 3.556660290328054, 3.7282093694193907, 3.515995327046486, 3.2407071457814687, 1.3219697487251487, 4.22479447706989, 4.480036877583497, 3.9577019582872093, 2.1273137610245665, 2.3791365728047347, 2.5656217841762903, 1.4823450376614327]|373.2924929531969838|      1.00000000|[1960, 640, 40, 200]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      41|[2.966018199550276, 3.8017327162589547, 5.004316426516606, 2.5266333077206564, 3.7620628090226393, 2.730379175476864, 4.001181755430385, 3.2919398945756395, 2.3378905467000592, 3.557442996703115, 4.721682359774598, 3.819330315633677, 4.275840308608108, 4.050174194530083, 0.0904932433684677, 3.8888545963984953, 2.1409460436259815, 0.3231161514273529, 2.096210596057284, 1.6013258610895402, 2.8700551294609826, 2.9212466770950716, 3.367997681837252, 0.2265957874981289, 2.8450510304472125, 1.1313232304195349, 2.297652449735358, 4.711977786527203, 4.189831316399282, 4.688921890834673, 3.410293003991223, 0.8045187566598511, 3.299599941188643, 3.086708911393761, 4.499557456196767, 3.498616025202816, 2.8302061470460242, 2.2036788275468595, 3.556660290328054, 3.7282093694193907, 3.515995327046486, 3.2407071457814687, 1.3219697487251487, 4.22479447706989, 4.480036877583497, 3.9577019582872093, 2.1273137610245665, 2.3791365728047347, 2.5656217841762903, 1.4823450376614327]|373.2924929531969838|      0.50000000|[2009, 656, 41, 205]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      42|[3.0403180011298305, 3.8593285874342254, 4.977697650400825, 2.6000014309439745, 3.769806139323581, 2.7896226051760404, 3.976776990784759, 3.284300211390774, 2.3826589199623784, 3.4799771397336783, 4.687612597123228, 3.8199905904385925, 4.293612628127155, 4.112987514938363, 0.2407044836516753, 3.9097529115352434, 2.1586404027144668, 0.2629421920764143, 2.172803733684128, 1.6208044198352154, 2.916696463568226, 2.9336171418958945, 3.4141463723608747, 0.3070637524366553, 2.9934317631393017, 1.1831502587369618, 2.3533779914906634, 4.769637170491183, 4.199706070025121, 4.727026332041211, 3.442516723508585, 0.9646570564882522, 3.3408305997018393, 3.002074607195783, 4.497174850774452, 3.5491610003934575, 2.92285763965243, 2.260617106865389, 3.518533333535962, 3.741056731863008, 3.6480430019417684, 3.254472673646142, 1.272062902417894, 4.275095661052327, 4.532425057846749, 4.077188936902483, 2.2230707525654334, 2.3983405462665783, 2.731754502524332, 1.593096343974155]|371.3500200296367098|      1.00000000|[2058, 672, 42, 210]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      43|[3.0403180011298305, 3.8593285874342254, 4.977697650400825, 2.6000014309439745, 3.769806139323581, 2.7896226051760404, 3.976776990784759, 3.284300211390774, 2.3826589199623784, 3.4799771397336783, 4.687612597123228, 3.8199905904385925, 4.293612628127155, 4.112987514938363, 0.2407044836516753, 3.9097529115352434, 2.1586404027144668, 0.2629421920764143, 2.172803733684128, 1.6208044198352154, 2.916696463568226, 2.9336171418958945, 3.4141463723608747, 0.3070637524366553, 2.9934317631393017, 1.1831502587369618, 2.3533779914906634, 4.769637170491183, 4.199706070025121, 4.727026332041211, 3.442516723508585, 0.9646570564882522, 3.3408305997018393, 3.002074607195783, 4.497174850774452, 3.5491610003934575, 2.92285763965243, 2.260617106865389, 3.518533333535962, 3.741056731863008, 3.6480430019417684, 3.254472673646142, 1.272062902417894, 4.275095661052327, 4.532425057846749, 4.077188936902483, 2.2230707525654334, 2.3983405462665783, 2.731754502524332, 1.593096343974155]|371.3500200296367098|      0.50000000|[2107, 688, 43, 215]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      44|[3.095607778940045, 3.7828098281667364, 5.027145691841423, 2.6127279863015893, 3.796984596931612, 2.839572360220239, 3.9670933180691925, 3.2433787891643364, 2.3610336624209878, 3.4343838038535375, 4.702827398644274, 3.919171702233799, 4.343086591551408, 4.102970420221449, 0.032370741058212, 3.8565408438163074, 2.061064217939331, 0.1744520291198136, 2.132512896474676, 1.6572808937678767, 2.7905963776618803, 3.0014448085721943, 3.3069474456219115, 0.164267490778386, 3.075635137021376, 1.1492473315990532, 2.4031533314962803, 4.746378166662216, 4.26019892030246, 4.679212849845909, 3.5018971732780995, 0.9534372745334319, 3.367227275453849, 3.049904457450348, 4.467528353018778, 3.4777570795487556, 2.900121772861786, 2.262828838881577, 3.591507775689956, 3.7285164624233107, 3.699829531513549, 3.301107289172546, 1.321373752602771, 4.302712097869715, 4.529155666439647, 4.104678230047743, 2.0275780224578694, 2.407085384462427, 2.6917510604189223, 1.7163499631308943]|365.4174835496094715|      1.00000000|[2156, 704, 44, 220]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      45|[3.095607778940045, 3.7828098281667364, 5.027145691841423, 2.6127279863015893, 3.796984596931612, 2.839572360220239, 3.9670933180691925, 3.2433787891643364, 2.3610336624209878, 3.4343838038535375, 4.702827398644274, 3.919171702233799, 4.343086591551408, 4.102970420221449, 0.032370741058212, 3.8565408438163074, 2.061064217939331, 0.1744520291198136, 2.132512896474676, 1.6572808937678767, 2.7905963776618803, 3.0014448085721943, 3.3069474456219115, 0.164267490778386, 3.075635137021376, 1.1492473315990532, 2.4031533314962803, 4.746378166662216, 4.26019892030246, 4.679212849845909, 3.5018971732780995, 0.9534372745334319, 3.367227275453849, 3.049904457450348, 4.467528353018778, 3.4777570795487556, 2.900121772861786, 2.262828838881577, 3.591507775689956, 3.7285164624233107, 3.699829531513549, 3.301107289172546, 1.321373752602771, 4.302712097869715, 4.529155666439647, 4.104678230047743, 2.0275780224578694, 2.407085384462427, 2.6917510604189223, 1.7163499631308943]|365.4174835496094715|      0.50000000|[2205, 720, 45, 225]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
      46|[3.1799877490459045, 3.7288505489344828, 4.9199038167787075, 2.657634979910878, 3.8822493230931068, 2.8646571974425203, 4.057401234657065, 3.3363829039397657, 2.302793782200227, 3.3699892485652216, 4.696118358779822, 4.019639915461355, 4.3329381047344615, 4.13897416698291, 0.0623947672995579, 3.9310522374309325, 2.1767181748697704, 0.2833537097479222, 2.143860785868609, 1.7656637962379742, 2.8016181556692055, 2.966949315846116, 3.3336159371442777, 0.3197519938351262, 3.183436697250357, 1.2578776656096204, 2.367038973175696, 4.823355537467845, 4.344751567580987, 4.677723526853382, 3.5473273805331123, 1.056330281809122, 3.3523075610614925, 3.066883982039634, 4.578323011274898, 3.5048122558766868, 2.9431520158091837, 2.307843748082408, 3.70098774422711, 3.720181590248168, 3.680865582554311, 3.220873502356629, 1.4020570141326225, 4.339660529952848, 4.559913660443328, 4.182525841832856, 2.0486302721826517, 2.3416083141092416, 2.7685709044122517, 1.6900491956483152]|358.2504809228762497|      1.00000000|[2254, 736, 46, 230]                                                       |  | used linear model with 65 points | iterate success | actual_k=4
      47|[3.1799877490459045, 3.7288505489344828, 4.9199038167787075, 2.657634979910878, 3.8822493230931068, 2.8646571974425203, 4.057401234657065, 3.3363829039397657, 2.302793782200227, 3.3699892485652216, 4.696118358779822, 4.019639915461355, 4.3329381047344615, 4.13897416698291, 0.0623947672995579, 3.9310522374309325, 2.1767181748697704, 0.2833537097479222, 2.143860785868609, 1.7656637962379742, 2.8016181556692055, 2.966949315846116, 3.3336159371442777, 0.3197519938351262, 3.183436697250357, 1.2578776656096204, 2.367038973175696, 4.823355537467845, 4.344751567580987, 4.677723526853382, 3.5473273805331123, 1.056330281809122, 3.3523075610614925, 3.066883982039634, 4.578323011274898, 3.5048122558766868, 2.9431520158091837, 2.307843748082408, 3.70098774422711, 3.720181590248168, 3.680865582554311, 3.220873502356629, 1.4020570141326225, 4.339660529952848, 4.559913660443328, 4.182525841832856, 2.0486302721826517, 2.3416083141092416, 2.7685709044122517, 1.6900491956483152]|358.2504809228762497|      0.50000000|[2303, 752, 47, 235]                                                       |  | used linear model with 65 points | iterate failure | actual_k=4
