k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      46|[-0.2165516821850432, -0.2015731708959635, -0.2258027497139104, -0.2178181011061387, -0.2116365684110079, -0.2367804352784206, -0.2366553246330745, -0.2201306432428799, -0.2266478565841501, -0.2184960565257129, 0.8299337401819455, -2.465764469150789, 0.7501638536817785, 0.7530257105191523, 0.7346945494511167, 0.7158422787690155, 0.4459576181828814, 0.2842807467916381, 0.565533518072497, 0.8670457884832773, 0.8014347984538499, 0.8110076616915701]|  0.4784024357795715|      0.25000000|[4435, 1472, 18, 110]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      47|[-0.2165516821850432, -0.2015731708959635, -0.2258027497139104, -0.2178181011061387, -0.2116365684110079, -0.2367804352784206, -0.2366553246330745, -0.2201306432428799, -0.2266478565841501, -0.2184960565257129, 0.8299337401819455, -2.465764469150789, 0.7501638536817785, 0.7530257105191523, 0.7346945494511167, 0.7158422787690155, 0.4459576181828814, 0.2842807467916381, 0.565533518072497, 0.8670457884832773, 0.8014347984538499, 0.8110076616915701]|  0.4784024357795715|      0.12500000|[4531, 1504, 19, 113]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      48|[-0.23983943089884, -0.2234268652086819, -0.2493692627980234, -0.2415711660472117, -0.2347469391798714, -0.2593051338986088, -0.2609349471783679, -0.2424943332707351, -0.2494646724732579, -0.2400273731302114, 0.8074719407374347, -2.5438184466539813, 0.7372817322289364, 0.7402150804833868, 0.7185029152007693, 0.7011431653240887, 0.416872518296357, 0.2495298494423446, 0.5402131239362356, 0.859244846077325, 0.791486609924759, 0.8004978570193915]|  0.4698828756809235|      0.25000000|[4628, 1536, 19, 115]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      49|[-0.23983943089884, -0.2234268652086819, -0.2493692627980234, -0.2415711660472117, -0.2347469391798714, -0.2593051338986088, -0.2609349471783679, -0.2424943332707351, -0.2494646724732579, -0.2400273731302114, 0.8074719407374347, -2.5438184466539813, 0.7372817322289364, 0.7402150804833868, 0.7185029152007693, 0.7011431653240887, 0.416872518296357, 0.2495298494423446, 0.5402131239362356, 0.859244846077325, 0.791486609924759, 0.8004978570193915]|  0.4698828756809235|      0.12500000|[4724, 1568, 19, 117]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      50|[-0.2654316768543251, -0.2465001624735168, -0.2712650194832289, -0.2636576669071423, -0.2550211677147133, -0.282455045050102, -0.2848651371278363, -0.2635342307559667, -0.2714877948431189, -0.2604312271431705, 0.7826499985929889, -2.6219569739672384, 0.7222781134061416, 0.727075894177082, 0.7025912902022752, 0.6868028742643278, 0.3875658514130642, 0.2138264110616177, 0.5149939506509583, 0.8503524670680683, 0.782774649305144, 0.7903062614044675]|  0.4618707895278931|      0.25000000|[4820, 1600, 19, 119]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      51|[-0.2654316768543251, -0.2465001624735168, -0.2712650194832289, -0.2636576669071423, -0.2550211677147133, -0.282455045050102, -0.2848651371278363, -0.2635342307559667, -0.2714877948431189, -0.2604312271431705, 0.7826499985929889, -2.6219569739672384, 0.7222781134061416, 0.727075894177082, 0.7025912902022752, 0.6868028742643278, 0.3875658514130642, 0.2138264110616177, 0.5149939506509583, 0.8503524670680683, 0.782774649305144, 0.7903062614044675]|  0.4618707895278931|      0.12500000|[4916, 1632, 19, 121]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      52|[-0.2880327334431572, -0.2655181660578165, -0.2957722713365538, -0.2853634373372013, -0.2764075828517613, -0.3033818081109452, -0.3100840482202823, -0.286266978147339, -0.2918890120091736, -0.2814269421516779, 0.7596298938189379, -2.698190586682077, 0.7078990526248794, 0.7125777540099105, 0.6879772674010114, 0.6718886969132732, 0.3558462126692462, 0.176573055690341, 0.4857104373737401, 0.8410731131383486, 0.7724341284021191, 0.7786142502772528]|  0.4543399810791016|      0.25000000|[5012, 1664, 19, 123]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      53|[-0.2880327334431572, -0.2655181660578165, -0.2957722713365538, -0.2853634373372013, -0.2764075828517613, -0.3033818081109452, -0.3100840482202823, -0.286266978147339, -0.2918890120091736, -0.2814269421516779, 0.7596298938189379, -2.698190586682077, 0.7078990526248794, 0.7125777540099105, 0.6879772674010114, 0.6718886969132732, 0.3558462126692462, 0.176573055690341, 0.4857104373737401, 0.8410731131383486, 0.7724341284021191, 0.7786142502772528]|  0.4543399810791016|      0.12500000|[5108, 1696, 20, 126]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      54|[-0.2880327334431572, -0.2655181660578165, -0.2957722713365538, -0.2853634373372013, -0.2764075828517613, -0.3033818081109452, -0.3100840482202823, -0.286266978147339, -0.2918890120091736, -0.2814269421516779, 0.7596298938189379, -2.698190586682077, 0.7078990526248794, 0.7125777540099105, 0.6879772674010114, 0.6718886969132732, 0.3558462126692462, 0.176573055690341, 0.4857104373737401, 0.8410731131383486, 0.7724341284021191, 0.7786142502772528]|  0.4543399810791016|      0.06250000|[5205, 1728, 21, 129]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      55|[-0.299095602759083, -0.2755530928067668, -0.3068179101024043, -0.2957012624846532, -0.2858496090168129, -0.3145485969063629, -0.3208361090103169, -0.2958560649383165, -0.3011813512338607, -0.2920779842301953, 0.7466551763868817, -2.7369392978724068, 0.7000910590455277, 0.704264172646316, 0.6796123372337158, 0.66316447467058, 0.3398872868695079, 0.1574659533103416, 0.4723821981315351, 0.8368266265609291, 0.7665690554042406, 0.7725089308598244]|  0.4507419764995575|      0.12500000|[5302, 1760, 21, 131]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      56|[-0.299095602759083, -0.2755530928067668, -0.3068179101024043, -0.2957012624846532, -0.2858496090168129, -0.3145485969063629, -0.3208361090103169, -0.2958560649383165, -0.3011813512338607, -0.2920779842301953, 0.7466551763868817, -2.7369392978724068, 0.7000910590455277, 0.704264172646316, 0.6796123372337158, 0.66316447467058, 0.3398872868695079, 0.1574659533103416, 0.4723821981315351, 0.8368266265609291, 0.7665690554042406, 0.7725089308598244]|  0.4507419764995575|      0.06250000|[5398, 1792, 22, 134]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      57|[-0.3094156270006455, -0.2855453382371345, -0.3186089796727665, -0.3054198287070651, -0.2952312551567068, -0.3258242004138919, -0.3324843472367928, -0.3060421786483462, -0.3109112604667864, -0.3020440280591646, 0.7328101007520657, -2.7746537383709677, 0.6918031152186025, 0.6956432944820323, 0.6709781564530997, 0.6541700243339208, 0.3241351205190234, 0.1383464400988271, 0.4582984615116616, 0.8326366037865262, 0.760058135287218, 0.7667360820563273]|  0.4472540020942688|      0.12500000|[5495, 1824, 22, 136]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      58|[-0.3094156270006455, -0.2855453382371345, -0.3186089796727665, -0.3054198287070651, -0.2952312551567068, -0.3258242004138919, -0.3324843472367928, -0.3060421786483462, -0.3109112604667864, -0.3020440280591646, 0.7328101007520657, -2.7746537383709677, 0.6918031152186025, 0.6956432944820323, 0.6709781564530997, 0.6541700243339208, 0.3241351205190234, 0.1383464400988271, 0.4582984615116616, 0.8326366037865262, 0.760058135287218, 0.7667360820563273]|  0.4472540020942688|      0.06250000|[5591, 1856, 22, 138]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      59|[-0.3196087200800183, -0.2958205413199526, -0.3298485829580337, -0.3149189063119402, -0.3041156200753732, -0.3358434061791115, -0.343223841938599, -0.316611991680344, -0.3205766236509777, -0.3111398286484817, 0.7200347353659098, -2.8129427149807626, 0.6831049885254528, 0.6871552638277624, 0.6620473417692783, 0.645440110180366, 0.3076427558631234, 0.1190421296557302, 0.4434573195641113, 0.8279318734857806, 0.7535452662193328, 0.7607958470340661]|  0.4438728988170624|      0.12500000|[5687, 1888, 22, 140]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      60|[-0.3196087200800183, -0.2958205413199526, -0.3298485829580337, -0.3149189063119402, -0.3041156200753732, -0.3358434061791115, -0.343223841938599, -0.316611991680344, -0.3205766236509777, -0.3111398286484817, 0.7200347353659098, -2.8129427149807626, 0.6831049885254528, 0.6871552638277624, 0.6620473417692783, 0.645440110180366, 0.3076427558631234, 0.1190421296557302, 0.4434573195641113, 0.8279318734857806, 0.7535452662193328, 0.7607958470340661]|  0.4438728988170624|      0.06250000|[5783, 1920, 22, 142]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      61|[-0.3292477441406021, -0.30567431064122, -0.3406634153277177, -0.3239859316361227, -0.3129702295808021, -0.346627895686014, -0.3545780531683144, -0.3261103592283364, -0.3295950733383384, -0.3206604456034077, 0.7061386839337089, -2.85110752772294, 0.6746156862390025, 0.6786911499429505, 0.6527397324547074, 0.6362413568010323, 0.2906228303961929, 0.0997661666948797, 0.429224377059004, 0.8242397133623162, 0.7465722777506948, 0.7544266471775338]|  0.4405962526798248|      0.12500000|[5879, 1952, 22, 144]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      62|[-0.3292477441406021, -0.30567431064122, -0.3406634153277177, -0.3239859316361227, -0.3129702295808021, -0.346627895686014, -0.3545780531683144, -0.3261103592283364, -0.3295950733383384, -0.3206604456034077, 0.7061386839337089, -2.85110752772294, 0.6746156862390025, 0.6786911499429505, 0.6527397324547074, 0.6362413568010323, 0.2906228303961929, 0.0997661666948797, 0.429224377059004, 0.8242397133623162, 0.7465722777506948, 0.7544266471775338]|  0.4405962526798248|      0.06250000|[5975, 1984, 22, 146]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      63|[-0.3390064402926902, -0.3153715645440455, -0.3507504410902677, -0.3332073843054123, -0.3224939532239428, -0.3565001555380453, -0.365652496636808, -0.3346954437237819, -0.3383837195098799, -0.3297385225898478, 0.692237428213117, -2.8890055752584103, 0.6652890478644689, 0.6694652737976442, 0.6431722364802452, 0.6271862027192283, 0.2736139168283938, 0.0801231512197323, 0.4145119213259869, 0.8191207704485365, 0.7395449042562446, 0.7478161659732805]|  0.4374205821837329|      0.12500000|[6071, 2016, 23, 149]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
      64|[-0.3390064402926902, -0.3153715645440455, -0.3507504410902677, -0.3332073843054123, -0.3224939532239428, -0.3565001555380453, -0.365652496636808, -0.3346954437237819, -0.3383837195098799, -0.3297385225898478, 0.692237428213117, -2.8890055752584103, 0.6652890478644689, 0.6694652737976442, 0.6431722364802452, 0.6271862027192283, 0.2736139168283938, 0.0801231512197323, 0.4145119213259869, 0.8191207704485365, 0.7395449042562446, 0.7478161659732805]|  0.4374205821837329|      0.06250000|[6168, 2048, 23, 151]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      65|[-0.3486125223670636, -0.3246396705222139, -0.3608406450902957, -0.3425665612728686, -0.3312531933559139, -0.3660935895133413, -0.3762105490712063, -0.3437056769762544, -0.3464130776111399, -0.3383791878789147, 0.6785863067888238, -2.9269565481502635, 0.6555577396732263, 0.6599484696361095, 0.6345321324578193, 0.6168204935814411, 0.2560817139391411, 0.060598587694307, 0.3990761981561456, 0.814623803625684, 0.7321223693627131, 0.7413384691983521]|  0.4343433380126953|      0.12500000|[6264, 2080, 23, 153]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      66|[-0.3486125223670636, -0.3246396705222139, -0.3608406450902957, -0.3425665612728686, -0.3312531933559139, -0.3660935895133413, -0.3762105490712063, -0.3437056769762544, -0.3464130776111399, -0.3383791878789147, 0.6785863067888238, -2.9269565481502635, 0.6555577396732263, 0.6599484696361095, 0.6345321324578193, 0.6168204935814411, 0.2560817139391411, 0.060598587694307, 0.3990761981561456, 0.814623803625684, 0.7321223693627131, 0.7413384691983521]|  0.4343433380126953|      0.06250000|[6360, 2112, 23, 155]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      67|[-0.3579781258925974, -0.3331129598831861, -0.3704277142034698, -0.3510591302083043, -0.3395447012743993, -0.3752702578718823, -0.3859308322704204, -0.3524648056984132, -0.3548811092745765, -0.3465428285977598, 0.6645735761178816, -2.964711820402204, 0.6463847908912549, 0.6506772867144633, 0.6249484352263656, 0.6063533926205684, 0.2381990910982037, 0.0401602052864135, 0.3832327414071027, 0.8086146869608346, 0.7241541309085836, 0.7351152502151203]|  0.4313622415065765|      0.12500000|[6456, 2144, 23, 157]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      68|[-0.3579781258925974, -0.3331129598831861, -0.3704277142034698, -0.3510591302083043, -0.3395447012743993, -0.3752702578718823, -0.3859308322704204, -0.3524648056984132, -0.3548811092745765, -0.3465428285977598, 0.6645735761178816, -2.964711820402204, 0.6463847908912549, 0.6506772867144633, 0.6249484352263656, 0.6063533926205684, 0.2381990910982037, 0.0401602052864135, 0.3832327414071027, 0.8086146869608346, 0.7241541309085836, 0.7351152502151203]|  0.4313622415065765|      0.06250000|[6552, 2176, 23, 159]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      69|[-0.3671085887233906, -0.3408654968080178, -0.380150485456523, -0.3594254322643363, -0.3477257812134246, -0.3850077444405559, -0.3963621200949992, -0.3608824014738425, -0.3630307747243488, -0.3541620437078963, 0.6500424514408076, -3.0024757090496563, 0.6365181049615415, 0.641430984125031, 0.6148884650922747, 0.5955637980709764, 0.2205105649633576, 0.0199312423128185, 0.3671478838548274, 0.8034755379598039, 0.7171617442853424, 0.7289088859855345]|  0.4284743368625641|      0.12500000|[6648, 2208, 23, 161]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      70|[-0.3671085887233906, -0.3408654968080178, -0.380150485456523, -0.3594254322643363, -0.3477257812134246, -0.3850077444405559, -0.3963621200949992, -0.3608824014738425, -0.3630307747243488, -0.3541620437078963, 0.6500424514408076, -3.0024757090496563, 0.6365181049615415, 0.641430984125031, 0.6148884650922747, 0.5955637980709764, 0.2205105649633576, 0.0199312423128185, 0.3671478838548274, 0.8034755379598039, 0.7171617442853424, 0.7289088859855345]|  0.4284743368625641|      0.06250000|[6744, 2240, 23, 163]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      71|[-0.3758109972008967, -0.349471116398246, -0.3896502823965616, -0.3677801879581857, -0.3556903527196014, -0.3938862782071867, -0.4067380611197842, -0.3693628158757425, -0.3706988243306503, -0.3628764487799035, 0.6360220997709717, -3.0395022348841296, 0.6264974307398853, 0.6312111222832405, 0.6037890293481033, 0.5846201177202763, 0.2025309927751595, -0.0006080437039153, 0.3511776799261234, 0.7983647819811515, 0.7101120027492293, 0.7219457852709198]|  0.4256771802902222|      0.12500000|[6840, 2272, 23, 165]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      72|[-0.3758109972008967, -0.349471116398246, -0.3896502823965616, -0.3677801879581857, -0.3556903527196014, -0.3938862782071867, -0.4067380611197842, -0.3693628158757425, -0.3706988243306503, -0.3628764487799035, 0.6360220997709717, -3.0395022348841296, 0.6264974307398853, 0.6312111222832405, 0.6037890293481033, 0.5846201177202763, 0.2025309927751595, -0.0006080437039153, 0.3511776799261234, 0.7983647819811515, 0.7101120027492293, 0.7219457852709198]|  0.4256771802902222|      0.06250000|[6936, 2304, 24, 168]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      73|[-0.3843980490348288, -0.3579296395295454, -0.3982414563346892, -0.3755439415491484, -0.3638601680592997, -0.4030744610558957, -0.4163764979361735, -0.3769182615594212, -0.3784806604732157, -0.3703609241355026, 0.6221628866961249, -3.076804435561158, 0.6154828901990826, 0.6207336204957207, 0.5934802527903358, 0.5731950122130725, 0.1846120706764365, -0.0210381877158828, 0.3346742679811393, 0.7932063947485912, 0.7025164173362275, 0.7140351862526431]|  0.4229683876037598|      0.12500000|[7033, 2336, 24, 170]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      74|[-0.3843980490348288, -0.3579296395295454, -0.3982414563346892, -0.3755439415491484, -0.3638601680592997, -0.4030744610558957, -0.4163764979361735, -0.3769182615594212, -0.3784806604732157, -0.3703609241355026, 0.6221628866961249, -3.076804435561158, 0.6154828901990826, 0.6207336204957207, 0.5934802527903358, 0.5731950122130725, 0.1846120706764365, -0.0210381877158828, 0.3346742679811393, 0.7932063947485912, 0.7025164173362275, 0.7140351862526431]|  0.4229683876037598|      0.06250000|[7129, 2368, 24, 172]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      75|[-0.3928061946052656, -0.3659492607389123, -0.4073331392029906, -0.3828324287332283, -0.3705831893154797, -0.4110345661438889, -0.4255734395305768, -0.384524946816878, -0.3867000589146535, -0.3784183802014083, 0.6077074156836079, -3.114127301990775, 0.6047110813046904, 0.6098238498308293, 0.5829536497576858, 0.5618255347306701, 0.166729380637307, -0.040928229465449, 0.3172635522598181, 0.7875551603596465, 0.6942891520428672, 0.7065038420467833]|  0.4203456640243530|      0.12500000|[7225, 2400, 24, 174]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      76|[-0.3928061946052656, -0.3659492607389123, -0.4073331392029906, -0.3828324287332283, -0.3705831893154797, -0.4110345661438889, -0.4255734395305768, -0.384524946816878, -0.3867000589146535, -0.3784183802014083, 0.6077074156836079, -3.114127301990775, 0.6047110813046904, 0.6098238498308293, 0.5829536497576858, 0.5618255347306701, 0.166729380637307, -0.040928229465449, 0.3172635522598181, 0.7875551603596465, 0.6942891520428672, 0.7065038420467833]|  0.4203456640243530|      0.06250000|[7321, 2432, 24, 176]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      77|[-0.401417100046647, -0.3732477180279585, -0.4159909387117939, -0.3901101306844565, -0.3781742147514975, -0.4192544805520332, -0.4345758789599076, -0.3930190836387848, -0.3941694316259001, -0.3865391386257006, 0.5934719875282212, -3.1509660993377198, 0.5940747213704299, 0.5985493111687038, 0.5724515098405654, 0.5499080517552524, 0.1488300135314196, -0.0602450525774239, 0.2994420540317022, 0.7820651559469411, 0.6852686008842782, 0.6977956391855645]|  0.4178082048892975|      0.12500000|[7417, 2464, 24, 178]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      78|[-0.401417100046647, -0.3732477180279585, -0.4159909387117939, -0.3901101306844565, -0.3781742147514975, -0.4192544805520332, -0.4345758789599076, -0.3930190836387848, -0.3941694316259001, -0.3865391386257006, 0.5934719875282212, -3.1509660993377198, 0.5940747213704299, 0.5985493111687038, 0.5724515098405654, 0.5499080517552524, 0.1488300135314196, -0.0602450525774239, 0.2994420540317022, 0.7820651559469411, 0.6852686008842782, 0.6977956391855645]|  0.4178082048892975|      0.06250000|[7513, 2496, 24, 180]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      79|[-0.4092021312952487, -0.3798427379919321, -0.4246256216106856, -0.39692361860869, -0.3850468386229132, -0.427313825296565, -0.4437035868281402, -0.4001720554337636, -0.401469729352036, -0.3937281188910459, 0.5778115877460024, -3.1875839661737535, 0.5824857272739318, 0.5872239393050226, 0.5610884198688091, 0.5377994135864651, 0.1311297810815767, -0.0803749382608111, 0.2818588599943162, 0.7764118164350402, 0.6767166595257811, 0.6892911373232046]|  0.4153510630130768|      0.12500000|[7609, 2528, 24, 182]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      80|[-0.4092021312952487, -0.3798427379919321, -0.4246256216106856, -0.39692361860869, -0.3850468386229132, -0.427313825296565, -0.4437035868281402, -0.4001720554337636, -0.401469729352036, -0.3937281188910459, 0.5778115877460024, -3.1875839661737535, 0.5824857272739318, 0.5872239393050226, 0.5610884198688091, 0.5377994135864651, 0.1311297810815767, -0.0803749382608111, 0.2818588599943162, 0.7764118164350402, 0.6767166595257811, 0.6892911373232046]|  0.4153510630130768|      0.06250000|[7705, 2560, 24, 184]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      81|[-0.4164099798656901, -0.3871465653659557, -0.4326120506709308, -0.4034343163559577, -0.3918804572445176, -0.4353120827619104, -0.4524084369273897, -0.4064227563463809, -0.408034748286495, -0.4004390004208772, 0.5629770371581885, -3.223935145131909, 0.5700095768768044, 0.574839760453013, 0.5498058871171968, 0.5255380237656118, 0.1125388204259955, -0.1006487703170373, 0.2644763573475821, 0.7700855694380826, 0.6678847354800826, 0.680563713089219]|  0.4129729270935059|      0.12500000|[7801, 2592, 24, 186]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      82|[-0.4164099798656901, -0.3871465653659557, -0.4326120506709308, -0.4034343163559577, -0.3918804572445176, -0.4353120827619104, -0.4524084369273897, -0.4064227563463809, -0.408034748286495, -0.4004390004208772, 0.5629770371581885, -3.223935145131909, 0.5700095768768044, 0.574839760453013, 0.5498058871171968, 0.5255380237656118, 0.1125388204259955, -0.1006487703170373, 0.2644763573475821, 0.7700855694380826, 0.6678847354800826, 0.680563713089219]|  0.4129729270935059|      0.06250000|[7897, 2624, 24, 188]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      83|[-0.423700293902139, -0.3938407577445878, -0.4404448817825314, -0.4096623053374077, -0.3982283062936456, -0.4436855926272194, -0.4608966441356905, -0.4133927241209616, -0.4138820684001689, -0.407002674388832, 0.5482207885673085, -3.2605764606485237, 0.558022521598273, 0.5627718094934143, 0.5373402784551515, 0.5121294264846564, 0.0950974108621606, -0.1207274773408044, 0.2470001567181493, 0.7636165349650239, 0.6588849823524383, 0.6716544146639852]|  0.4106717109680176|      0.12500000|[7993, 2656, 24, 190]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      84|[-0.423700293902139, -0.3938407577445878, -0.4404448817825314, -0.4096623053374077, -0.3982283062936456, -0.4436855926272194, -0.4608966441356905, -0.4133927241209616, -0.4138820684001689, -0.407002674388832, 0.5482207885673085, -3.2605764606485237, 0.558022521598273, 0.5627718094934143, 0.5373402784551515, 0.5121294264846564, 0.0950974108621606, -0.1207274773408044, 0.2470001567181493, 0.7636165349650239, 0.6588849823524383, 0.6716544146639852]|  0.4106717109680176|      0.06250000|[8089, 2688, 24, 192]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      85|[-0.4304469953091274, -0.3999255782734375, -0.4480112354218749, -0.4164843410664789, -0.4040873792928827, -0.451944038077956, -0.4688380422804902, -0.4195372012101822, -0.4202432406524428, -0.4136973734529994, 0.534088207152817, -3.297103309606843, 0.5455622135715593, 0.5505759643591588, 0.5243632956030494, 0.4981787363258437, 0.0773740237745636, -0.14077819378006, 0.2299439363358959, 0.757182454080799, 0.649325951514276, 0.6621421371213162]|  0.4084461331367493|      0.12500000|[8185, 2720, 24, 194]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      86|[-0.4304469953091274, -0.3999255782734375, -0.4480112354218749, -0.4164843410664789, -0.4040873792928827, -0.451944038077956, -0.4688380422804902, -0.4195372012101822, -0.4202432406524428, -0.4136973734529994, 0.534088207152817, -3.297103309606843, 0.5455622135715593, 0.5505759643591588, 0.5243632956030494, 0.4981787363258437, 0.0773740237745636, -0.14077819378006, 0.2299439363358959, 0.757182454080799, 0.649325951514276, 0.6621421371213162]|  0.4084461331367493|      0.06250000|[8281, 2752, 24, 196]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      87|[-0.4376698408092217, -0.4068756790341288, -0.4543370164204373, -0.4231012448546584, -0.4102942987930203, -0.4589487088191667, -0.4766998002362462, -0.425130551198327, -0.4256287955046176, -0.4190515704543349, 0.5190726906587907, -3.3327620062833088, 0.5332821662665792, 0.5370520248517269, 0.5111971621543103, 0.4838890417627328, 0.0593603357652026, -0.1607761079549223, 0.2134180277062122, 0.7490685230588664, 0.6385847144369668, 0.6523110929049714]|  0.4062946438789368|      0.12500000|[8377, 2784, 24, 198]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      88|[-0.4376698408092217, -0.4068756790341288, -0.4543370164204373, -0.4231012448546584, -0.4102942987930203, -0.4589487088191667, -0.4766998002362462, -0.425130551198327, -0.4256287955046176, -0.4190515704543349, 0.5190726906587907, -3.3327620062833088, 0.5332821662665792, 0.5370520248517269, 0.5111971621543103, 0.4838890417627328, 0.0593603357652026, -0.1607761079549223, 0.2134180277062122, 0.7490685230588664, 0.6385847144369668, 0.6523110929049714]|  0.4062946438789368|      0.06250000|[8473, 2816, 25, 201]                                                      |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      89|[-0.4437084454642524, -0.4129978458007273, -0.4624223923395821, -0.4282793841362279, -0.4153081628759961, -0.4657215767183132, -0.4846471904041313, -0.4312683522721157, -0.431137588630377, -0.4240921225339062, 0.5035950372323037, -3.3686292443364194, 0.5202385348506321, 0.5234985392116404, 0.497730275000823, 0.4700079018256161, 0.0418918106479388, -0.1794324238143795, 0.1946065717213845, 0.7424739984415337, 0.6281598209568037, 0.6423420252993003]|  0.4042122066020966|      0.12500000|[8570, 2848, 25, 203]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
      90|[-0.4437084454642524, -0.4129978458007273, -0.4624223923395821, -0.4282793841362279, -0.4153081628759961, -0.4657215767183132, -0.4846471904041313, -0.4312683522721157, -0.431137588630377, -0.4240921225339062, 0.5035950372323037, -3.3686292443364194, 0.5202385348506321, 0.5234985392116404, 0.497730275000823, 0.4700079018256161, 0.0418918106479388, -0.1794324238143795, 0.1946065717213845, 0.7424739984415337, 0.6281598209568037, 0.6423420252993003]|  0.4042122066020966|      0.06250000|[8666, 2880, 25, 205]                                                      |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      91|[-0.4499179768478314, -0.4177145474229241, -0.4693801060678495, -0.4330533276086426, -0.4206525736170335, -0.4725994109866887, -0.4920108969448481, -0.4361682146366403, -0.4365298060384212, -0.4292000542368943, 0.4892938596678967, -3.4042370233681924, 0.5067794343404884, 0.5092972428985441, 0.4840283535900268, 0.4555750627827307, 0.0236123812573267, -0.1991867252386438, 0.1763626884542506, 0.7350819575261686, 0.6179153166343203, 0.6325000581809854]|  0.4021979570388794|      0.12500000|[8762, 2912, 25, 207]                                                      |  | trying linear partial model with 49 points | iterate success | actual_k=16
