k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      61|[-0.0023504799874096, -0.0066318953155332, -0.0021712908999515, -0.0010504176213315, 0.0001802665915867, 0.0018141121060148, 0.0012171685481075, -0.002341539349529, -0.0010413228877003, -0.0030027752242439, 0.0009431960990194, -0.0011609473681442, -0.0005824921814521, -0.0043328578295814, 1.0006628174804293]|2110.6909179687500000|      0.00048828|[1716, 244, 7, 129]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      62|[-0.0023504799874096, -0.0066318953155332, -0.0021712908999515, -0.0010504176213315, 0.0001802665915867, 0.0018141121060148, 0.0012171685481075, -0.002341539349529, -0.0010413228877003, -0.0030027752242439, 0.0009431960990194, -0.0011609473681442, -0.0005824921814521, -0.0043328578295814, 1.0006628174804293]|2110.6909179687500000|      0.00024414|[1744, 248, 7, 131]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      63|[-0.0022258197585279, -0.0067317945034061, -0.0022231350925201, -0.0009783742042533, 0.0001552518444099, 0.0017828412440085, 0.0012115015830743, -0.002319616689806, -0.001026501843363, -0.0030962411009804, 0.001011471362942, -0.0011502831997226, -0.0006297119643312, -0.0044181068722989, 1.0006921833013094]|2110.6242675781250000|      0.00048828|[1772, 252, 7, 133]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      64|[-0.0022258197585279, -0.0067317945034061, -0.0022231350925201, -0.0009783742042533, 0.0001552518444099, 0.0017828412440085, 0.0012115015830743, -0.002319616689806, -0.001026501843363, -0.0030962411009804, 0.001011471362942, -0.0011502831997226, -0.0006297119643312, -0.0044181068722989, 1.0006921833013094]|2110.6242675781250000|      0.00024414|[1800, 256, 7, 135]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      65|[-0.0023636593633372, -0.0068402180430994, -0.0022330048057376, -0.0009611690729254, 0.0001167306147418, 0.0018639169088692, 0.0012464474644757, -0.0023329467640833, -0.0010005025081941, -0.0030152603297308, 0.0009755287677256, -0.0011011111189683, -0.0006439162529498, -0.004506188020365, 1.0006823813920027]|2110.5444335937500000|      0.00048828|[1828, 260, 7, 137]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      66|[-0.0023636593633372, -0.0068402180430994, -0.0022330048057376, -0.0009611690729254, 0.0001167306147418, 0.0018639169088692, 0.0012464474644757, -0.0023329467640833, -0.0010005025081941, -0.0030152603297308, 0.0009755287677256, -0.0011011111189683, -0.0006439162529498, -0.004506188020365, 1.0006823813920027]|2110.5444335937500000|      0.00024414|[1856, 264, 7, 139]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      67|[-0.0023151647949134, -0.0069212735117149, -0.0021882693796643, -0.0008977511064082, 6.87269770507e-05, 0.0019125672109852, 0.0013631233972163, -0.0023820707252596, -0.0011012509922972, -0.0030677102386846, 0.0010450879513793, -0.0011332253282298, -0.0006903026488673, -0.0045613190201231, 1.0006822382238945]|2110.4670410156250000|      0.00048828|[1884, 268, 7, 141]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      68|[-0.0021367580242697, -0.0072645185721915, -0.0022325545477594, -0.0010102940744221, 0.0001700823445754, 0.001841796071386, 0.0013151640373153, -0.002490304316833, -0.0011559279513559, -0.0030512198661588, 0.001040733424361, -0.0011004917018344, -0.0007747716732989, -0.004742313909259, 1.0006576793092112]|2110.3234863281250000|      0.00097656|[1912, 272, 7, 143]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      69|[-0.0021367580242697, -0.0072645185721915, -0.0022325545477594, -0.0010102940744221, 0.0001700823445754, 0.001841796071386, 0.0013151640373153, -0.002490304316833, -0.0011559279513559, -0.0030512198661588, 0.001040733424361, -0.0011004917018344, -0.0007747716732989, -0.004742313909259, 1.0006576793092112]|2110.3234863281250000|      0.00048828|[1940, 276, 7, 145]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      70|[-0.0023375566187846, -0.0073410447351915, -0.0023856994801898, -0.0008460046560664, 0.0002212561994792, 0.0020660354400573, 0.0015412511417081, -0.0025018029199893, -0.0012613016687467, -0.0030357715722393, 0.00102977023306, -0.0011663754254335, -0.0008023619830666, -0.0046750794324881, 1.0005289804929356]|2110.2390136718750000|      0.00097656|[1968, 280, 7, 147]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      71|[-0.0023375566187846, -0.0073410447351915, -0.0023856994801898, -0.0008460046560664, 0.0002212561994792, 0.0020660354400573, 0.0015412511417081, -0.0025018029199893, -0.0012613016687467, -0.0030357715722393, 0.00102977023306, -0.0011663754254335, -0.0008023619830666, -0.0046750794324881, 1.0005289804929356]|2110.2390136718750000|      0.00048828|[1996, 284, 7, 149]                                                        |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      72|[-0.0022352200051773, -0.007386891921867, -0.0025080645798593, -0.0007646160662793, 0.0002919310715174, 0.0019476139519218, 0.0017060133898413, -0.0027588181018259, -0.0013901840956076, -0.0030763318721832, 0.0010647530903794, -0.0011819521212206, -0.0009470947790332, -0.0046141655299387, 1.000310705010948]|2110.1135253906250000|      0.00097656|[2024, 288, 7, 151]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
