k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
      61|[-0.0024092082318092, -0.0086062209614087, 0.0026119368454945, -0.0107620886454591, -0.0006437276754255, 0.00211803918453, -0.0028744066935403, -0.002384937865234, 0.0020581218129442, 9.10241990895e-05, 0.0059823013814305, 0.0017342750524004, 0.0009003182874957, -0.0080323211731798, 1.0030920265990384]|2110.7758789062500000|      0.00048828|[1475, 488, 10, 132]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      62|[-0.0025409787366809, -0.0088307472090728, 0.0024407249365454, -0.0107601837442309, -0.0005049254990326, 0.0023202851617006, -0.0030475259356483, -0.0024062828720153, 0.0020630289927674, 9.76839534877e-05, 0.0060897342266888, 0.0018932559941795, 0.0007958590829284, -0.0080042724352397, 1.0031383615117542]|2110.7302246093750000|      0.00097656|[1499, 496, 10, 134]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      63|[-0.0025409787366809, -0.0088307472090728, 0.0024407249365454, -0.0107601837442309, -0.0005049254990326, 0.0023202851617006, -0.0030475259356483, -0.0024062828720153, 0.0020630289927674, 9.76839534877e-05, 0.0060897342266888, 0.0018932559941795, 0.0007958590829284, -0.0080042724352397, 1.0031383615117542]|2110.7302246093750000|      0.00048828|[1523, 504, 10, 136]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      64|[-0.0023091175545003, -0.0090722909653172, 0.0022233217036895, -0.0107070166549016, -0.0005177103016407, 0.0022521705763892, -0.0030925166124182, -0.0024458436783157, 0.0018741216892456, 4.26906495038e-05, 0.0061953657506373, 0.0018398438637944, 0.0007050124364886, -0.0080301439227019, 1.00305969220764]|2110.4543457031250000|      0.00097656|[1547, 512, 10, 138]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      65|[-0.0023091175545003, -0.0090722909653172, 0.0022233217036895, -0.0107070166549016, -0.0005177103016407, 0.0022521705763892, -0.0030925166124182, -0.0024458436783157, 0.0018741216892456, 4.26906495038e-05, 0.0061953657506373, 0.0018398438637944, 0.0007050124364886, -0.0080301439227019, 1.00305969220764]|2110.4543457031250000|      0.00048828|[1571, 520, 10, 140]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      66|[-0.0023091175545003, -0.0090722909653172, 0.0022233217036895, -0.0107070166549016, -0.0005177103016407, 0.0022521705763892, -0.0030925166124182, -0.0024458436783157, 0.0018741216892456, 4.26906495038e-05, 0.0061953657506373, 0.0018398438637944, 0.0007050124364886, -0.0080301439227019, 1.00305969220764]|2110.4543457031250000|      0.00024414|[1595, 528, 11, 143]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      67|[-0.0023091175545003, -0.0090722909653172, 0.0022233217036895, -0.0107070166549016, -0.0005177103016407, 0.0022521705763892, -0.0030925166124182, -0.0024458436783157, 0.0018741216892456, 4.26906495038e-05, 0.0061953657506373, 0.0018398438637944, 0.0007050124364886, -0.0080301439227019, 1.00305969220764]|2110.4543457031250000|      0.00012207|[1620, 536, 11, 145]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      68|[-0.0023362884599147, -0.0091484862168377, 0.002207861457367, -0.0107395695876001, -0.0005101184518549, 0.0022159683450822, -0.0030836413145469, -0.0024920574945395, 0.0019178461118734, 4.54169251835e-05, 0.0062114091336969, 0.0018294293446151, 0.0007069082906469, -0.0080608375222765, 1.0030753429985808]|2110.3964843750000000|      0.00024414|[1644, 544, 11, 147]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      69|[-0.0023866881948233, -0.0092573325970747, 0.0022095443104065, -0.0107162567859256, -0.0004932048884975, 0.0022192207802799, -0.0030469886016136, -0.0025307635839831, 0.0019684835659432, 4.42934682006e-05, 0.0061933230898046, 0.0019469067655139, 0.0007631990633253, -0.0081863996517723, 1.0031521835206823]|2110.3181152343750000|      0.00048828|[1668, 552, 11, 149]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      70|[-0.0023866881948233, -0.0092573325970747, 0.0022095443104065, -0.0107162567859256, -0.0004932048884975, 0.0022192207802799, -0.0030469886016136, -0.0025307635839831, 0.0019684835659432, 4.42934682006e-05, 0.0061933230898046, 0.0019469067655139, 0.0007631990633253, -0.0081863996517723, 1.0031521835206823]|2110.3181152343750000|      0.00024414|[1692, 560, 11, 151]                                                       |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
