k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5625333655012217, -0.0987652096082075, -0.0056629995779544, 0.6963695860181313, 0.14836837724344, -0.0837789903368286, -0.0985519643736741, 0.0525375541891417, 0.0965393958761853, -0.0196854846614547, -0.0297842198314033, -0.0419578852249265, 0.2735949378246539, -0.1818034707847289, -0.0375644755943238, -0.0089669932665603, 0.0052204460814968, 0.1285241551416834, -0.0216149182815511, -0.0887893515630658, 0.0059628610502888, -0.0254764695919806]| 13.3236818313598633|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
      46|[1.4322275228467953, -0.2512236170920136, 0.0701944962931408, 2.0420532108530143, 0.2951494428089418, -0.5075325849494636, -0.3146192003534054, -0.1143686631772457, -0.6953306764149056, 0.0722347195773659, 0.5500077147179854, 0.0207277286799403, 0.4967751737598153, -0.3067007030038953, 0.2846125844566149, -0.1618977391620803, 0.3483658724675067, -0.0339091754122054, -0.1369421625910374, -0.0761871438618256, -0.0715985981975914, -0.0996525742425865]| 12.1442251205444336|      0.00390625|[1293, 184, 4, 96]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      47|[1.4322275228467953, -0.2512236170920136, 0.0701944962931408, 2.0420532108530143, 0.2951494428089418, -0.5075325849494636, -0.3146192003534054, -0.1143686631772457, -0.6953306764149056, 0.0722347195773659, 0.5500077147179854, 0.0207277286799403, 0.4967751737598153, -0.3067007030038953, 0.2846125844566149, -0.1618977391620803, 0.3483658724675067, -0.0339091754122054, -0.1369421625910374, -0.0761871438618256, -0.0715985981975914, -0.0996525742425865]| 12.1442251205444336|      0.00195312|[1321, 188, 4, 98]                                                         |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      48|[1.4317005159729714, -0.2508638075976168, 0.0704320229801695, 2.0432792768677213, 0.2954396370214517, -0.5075339726891858, -0.3141832107795453, -0.1142158165656366, -0.695196108129608, 0.0722147736268099, 0.5498501338058605, 0.0208167930810642, 0.4972226661429817, -0.3061011398188191, 0.2846088017904282, -0.1617714161613803, 0.3483955441203631, -0.03450742478978, -0.137231335491422, -0.0755814512453917, -0.0713628868517413, -0.0998941994500665]| 12.1442232131958008|      0.00390625|[1349, 192, 4, 100]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      49|[1.4317005159729714, -0.2508638075976168, 0.0704320229801695, 2.0432792768677213, 0.2954396370214517, -0.5075339726891858, -0.3141832107795453, -0.1142158165656366, -0.695196108129608, 0.0722147736268099, 0.5498501338058605, 0.0208167930810642, 0.4972226661429817, -0.3061011398188191, 0.2846088017904282, -0.1617714161613803, 0.3483955441203631, -0.03450742478978, -0.137231335491422, -0.0755814512453917, -0.0713628868517413, -0.0998941994500665]| 12.1442232131958008|      0.00195312|[1377, 196, 4, 102]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      50|[1.4307026102880864, -0.2515052594423203, 0.07048990336838, 2.0443331361509127, 0.295703806538184, -0.5074559375303145, -0.3142691948880529, -0.1139237743458292, -0.6952671294299549, 0.0719717410737454, 0.5498620423955259, 0.0211865750599355, 0.4974538536305875, -0.306168604527117, 0.2849912281054814, -0.1611636243119816, 0.3487617001466909, -0.0342851369518744, -0.1371339976535574, -0.0758554047898737, -0.0714792253433916, -0.1001563125405838]| 12.1442203521728516|      0.00390625|[1405, 200, 4, 104]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      51|[1.428766598674401, -0.252696146465743, 0.0715096884918765, 2.046005919327116, 0.2942456871572397, -0.507636296343886, -0.3139718864058629, -0.1144388860055455, -0.6957139435147064, 0.0706817565796694, 0.549656090284972, 0.0211164566681778, 0.4969641341961443, -0.3064064535905179, 0.284910824774194, -0.1614736935908424, 0.3482781586672494, -0.034513806215991, -0.1381183789978745, -0.0755170740879438, -0.0717080843169822, -0.1002558303603744]| 12.1442136764526367|      0.00781250|[1433, 204, 4, 106]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      52|[1.428766598674401, -0.252696146465743, 0.0715096884918765, 2.046005919327116, 0.2942456871572397, -0.507636296343886, -0.3139718864058629, -0.1144388860055455, -0.6957139435147064, 0.0706817565796694, 0.549656090284972, 0.0211164566681778, 0.4969641341961443, -0.3064064535905179, 0.284910824774194, -0.1614736935908424, 0.3482781586672494, -0.034513806215991, -0.1381183789978745, -0.0755170740879438, -0.0717080843169822, -0.1002558303603744]| 12.1442136764526367|      0.00390625|[1461, 208, 4, 108]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      53|[1.425980987381593, -0.2540809779730273, 0.0722844362123923, 2.046878535304288, 0.293946998805947, -0.5081653439430373, -0.3141403224139295, -0.1147570528215458, -0.6957986449436199, 0.0704812036065609, 0.5495797666287201, 0.0215445234905921, 0.4970705141262196, -0.3063724968910443, 0.2840532963721032, -0.1608854107530635, 0.3479580597137451, -0.0343790246227137, -0.1375021803150356, -0.0759449172374252, -0.0718157343516916, -0.1015580087826607]| 12.1442079544067383|      0.00781250|[1489, 212, 4, 110]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      54|[1.425980987381593, -0.2540809779730273, 0.0722844362123923, 2.046878535304288, 0.293946998805947, -0.5081653439430373, -0.3141403224139295, -0.1147570528215458, -0.6957986449436199, 0.0704812036065609, 0.5495797666287201, 0.0215445234905921, 0.4970705141262196, -0.3063724968910443, 0.2840532963721032, -0.1608854107530635, 0.3479580597137451, -0.0343790246227137, -0.1375021803150356, -0.0759449172374252, -0.0718157343516916, -0.1015580087826607]| 12.1442079544067383|      0.00390625|[1517, 216, 4, 112]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      55|[1.425980987381593, -0.2540809779730273, 0.0722844362123923, 2.046878535304288, 0.293946998805947, -0.5081653439430373, -0.3141403224139295, -0.1147570528215458, -0.6957986449436199, 0.0704812036065609, 0.5495797666287201, 0.0215445234905921, 0.4970705141262196, -0.3063724968910443, 0.2840532963721032, -0.1608854107530635, 0.3479580597137451, -0.0343790246227137, -0.1375021803150356, -0.0759449172374252, -0.0718157343516916, -0.1015580087826607]| 12.1442079544067383|      0.00195312|[1545, 220, 4, 114]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      56|[1.425490832463293, -0.2540450796563429, 0.0727506640364986, 2.0477549722175867, 0.2934218743924381, -0.5083076932693211, -0.3136082914495537, -0.1146733671200004, -0.6959792290367874, 0.0707958777887813, 0.5496663196609666, 0.0214273763364262, 0.4969655727211348, -0.307021763624295, 0.2840993743216186, -0.1603615641770644, 0.3477090416022161, -0.0346170750009809, -0.1380289898019695, -0.0754369702228323, -0.0711729530657271, -0.1012892346553342]| 12.1442060470581055|      0.00390625|[1573, 224, 4, 116]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      57|[1.4247870395702351, -0.2552361319169085, 0.0730077363787823, 2.049787458644807, 0.2936314231654861, -0.5094181983563952, -0.3143886857853683, -0.113523702016487, -0.6962572727754355, 0.0712219511775971, 0.5507177661383889, 0.0216524895832822, 0.4976457877090691, -0.3079560001545965, 0.2843215446628681, -0.1600787045091185, 0.3473378379933333, -0.0337101313278158, -0.1382925887834803, -0.0749533670676264, -0.0700630256029457, -0.1005380103114658]| 12.1442020088517140|      0.00781250|[1601, 228, 5, 119]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      58|[1.4247870395702351, -0.2552361319169085, 0.0730077363787823, 2.049787458644807, 0.2936314231654861, -0.5094181983563952, -0.3143886857853683, -0.113523702016487, -0.6962572727754355, 0.0712219511775971, 0.5507177661383889, 0.0216524895832822, 0.4976457877090691, -0.3079560001545965, 0.2843215446628681, -0.1600787045091185, 0.3473378379933333, -0.0337101313278158, -0.1382925887834803, -0.0749533670676264, -0.0700630256029457, -0.1005380103114658]| 12.1442020088517140|      0.00390625|[1630, 232, 5, 121]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      59|[1.4247870395702351, -0.2552361319169085, 0.0730077363787823, 2.049787458644807, 0.2936314231654861, -0.5094181983563952, -0.3143886857853683, -0.113523702016487, -0.6962572727754355, 0.0712219511775971, 0.5507177661383889, 0.0216524895832822, 0.4976457877090691, -0.3079560001545965, 0.2843215446628681, -0.1600787045091185, 0.3473378379933333, -0.0337101313278158, -0.1382925887834803, -0.0749533670676264, -0.0700630256029457, -0.1005380103114658]| 12.1442020088517140|      0.00195312|[1658, 236, 5, 123]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      60|[1.4234978048026514, -0.2558755250271548, 0.0729180185695284, 2.0504695452123225, 0.293514189236449, -0.509010451576199, -0.3145775568294739, -0.113175840381146, -0.6963706726652189, 0.0714256427678156, 0.5504926729042979, 0.0218643929886069, 0.4976107778050141, -0.3082761083374735, 0.2839518415852679, -0.1598223529693071, 0.347599396531927, -0.0340831172961405, -0.1384177217525248, -0.0746887091083597, -0.0696452905346421, -0.1004378728074945]| 12.1441984176635742|      0.00390625|[1686, 240, 5, 125]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      61|[1.4234978048026514, -0.2558755250271548, 0.0729180185695284, 2.0504695452123225, 0.293514189236449, -0.509010451576199, -0.3145775568294739, -0.113175840381146, -0.6963706726652189, 0.0714256427678156, 0.5504926729042979, 0.0218643929886069, 0.4976107778050141, -0.3082761083374735, 0.2839518415852679, -0.1598223529693071, 0.347599396531927, -0.0340831172961405, -0.1384177217525248, -0.0746887091083597, -0.0696452905346421, -0.1004378728074945]| 12.1441984176635742|      0.00195312|[1714, 244, 5, 127]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      62|[1.4224736941572647, -0.2559975089735178, 0.0731467257427117, 2.0503668677417326, 0.2941105512589657, -0.5083248446146413, -0.3144096527682392, -0.1130689776223404, -0.6969105296437569, 0.0709170539509981, 0.5499433905038069, 0.0218124588472324, 0.497605490409096, -0.3082026022680729, 0.2842087676844551, -0.159947977398206, 0.3475153564982283, -0.0338403279208872, -0.1378733493270292, -0.074265089258601, -0.0702001458547158, -0.1006151858810621]| 12.1441965103149414|      0.00390625|[1742, 248, 5, 129]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      63|[1.4224736941572647, -0.2559975089735178, 0.0731467257427117, 2.0503668677417326, 0.2941105512589657, -0.5083248446146413, -0.3144096527682392, -0.1130689776223404, -0.6969105296437569, 0.0709170539509981, 0.5499433905038069, 0.0218124588472324, 0.497605490409096, -0.3082026022680729, 0.2842087676844551, -0.159947977398206, 0.3475153564982283, -0.0338403279208872, -0.1378733493270292, -0.074265089258601, -0.0702001458547158, -0.1006151858810621]| 12.1441965103149414|      0.00195312|[1770, 252, 5, 131]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      64|[1.4219555474146617, -0.2563014253231256, 0.0737555386049741, 2.0513191350503917, 0.2939642582258661, -0.5084499485839958, -0.314254857176081, -0.1132924443750044, -0.6973463274954897, 0.0702802558898297, 0.5497885539424274, 0.0217509815703329, 0.4975463301857251, -0.3081898851987018, 0.2845127342525067, -0.1595108056345462, 0.3481778223315082, -0.0336616665245237, -0.1378672883741112, -0.0739792406112737, -0.0700771278758185, -0.0998487552546973]| 12.1441946899612070|      0.00390625|[1798, 256, 6, 134]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      65|[1.4219555474146617, -0.2563014253231256, 0.0737555386049741, 2.0513191350503917, 0.2939642582258661, -0.5084499485839958, -0.314254857176081, -0.1132924443750044, -0.6973463274954897, 0.0702802558898297, 0.5497885539424274, 0.0217509815703329, 0.4975463301857251, -0.3081898851987018, 0.2845127342525067, -0.1595108056345462, 0.3481778223315082, -0.0336616665245237, -0.1378672883741112, -0.0739792406112737, -0.0700771278758185, -0.0998487552546973]| 12.1441946899612070|      0.00195312|[1827, 260, 7, 137]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      66|[1.4208431393942365, -0.2568539151186813, 0.0737614093626559, 2.052274173090068, 0.2942622220421226, -0.5086725450629057, -0.3142711227177472, -0.1128892694350524, -0.6970343644080215, 0.0707415524179924, 0.5497257014037356, 0.0219607177071947, 0.4970776400713975, -0.3079905801188394, 0.2848133626307986, -0.1597138346015191, 0.3484075582305516, -0.0338824912710522, -0.1376461981994213, -0.0736230853183577, -0.0702277679840954, -0.099947314977941]| 12.1441917419433594|      0.00390625|[1856, 264, 7, 139]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      67|[1.4186784922387725, -0.2585903246211042, 0.0724466234340073, 2.0524183904440183, 0.2949999374471389, -0.5090405408225231, -0.3151487689790539, -0.1131034149660673, -0.6970054368786891, 0.0703001887647655, 0.5501805163727447, 0.0225358138524624, 0.4963249379519729, -0.3074632809104577, 0.2845267934917641, -0.1591948742362768, 0.3496735523484012, -0.0340212957350769, -0.1379126362375829, -0.0738563719610445, -0.070723789639733, -0.1005718245568314]| 12.1441879272460938|      0.00781250|[1884, 268, 7, 141]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      68|[1.4186784922387725, -0.2585903246211042, 0.0724466234340073, 2.0524183904440183, 0.2949999374471389, -0.5090405408225231, -0.3151487689790539, -0.1131034149660673, -0.6970054368786891, 0.0703001887647655, 0.5501805163727447, 0.0225358138524624, 0.4963249379519729, -0.3074632809104577, 0.2845267934917641, -0.1591948742362768, 0.3496735523484012, -0.0340212957350769, -0.1379126362375829, -0.0738563719610445, -0.070723789639733, -0.1005718245568314]| 12.1441879272460938|      0.00390625|[1912, 272, 8, 144]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      69|[1.4186784922387725, -0.2585903246211042, 0.0724466234340073, 2.0524183904440183, 0.2949999374471389, -0.5090405408225231, -0.3151487689790539, -0.1131034149660673, -0.6970054368786891, 0.0703001887647655, 0.5501805163727447, 0.0225358138524624, 0.4963249379519729, -0.3074632809104577, 0.2845267934917641, -0.1591948742362768, 0.3496735523484012, -0.0340212957350769, -0.1379126362375829, -0.0738563719610445, -0.070723789639733, -0.1005718245568314]| 12.1441879272460938|      0.00195312|[1941, 276, 8, 146]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      70|[1.4177238970971635, -0.2586087164528481, 0.0727724936260674, 2.053601776840962, 0.2949290280830817, -0.5090400502788502, -0.3153958289945798, -0.1132042038127373, -0.6970766188959583, 0.0701472049532156, 0.5506919120294538, 0.0224924894266048, 0.4962075232291826, -0.3077450021307195, 0.2843788212787776, -0.1595165438326917, 0.3495960021857193, -0.0334076062990811, -0.1374706059242387, -0.0736904468909146, -0.0704735788102407, -0.1001953445463425]| 12.1441845795625945|      0.00390625|[1969, 280, 9, 149]                                                        |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      71|[1.4166359952868612, -0.2594906222211888, 0.0723717386819221, 2.0555090042366646, 0.2959063765981441, -0.5087286683819396, -0.3148887685392991, -0.1127939314615727, -0.6959081433518639, 0.0688015120792998, 0.5512781179072938, 0.0224083753298559, 0.4953933048899247, -0.3074168945571933, 0.283843284793393, -0.1589591224803964, 0.3506453818463259, -0.03264586369699, -0.1365114725558728, -0.073321008648194, -0.0710919784005059, -0.100115171570853]| 12.1441802978515625|      0.00781250|[1998, 284, 9, 151]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      72|[1.4166359952868612, -0.2594906222211888, 0.0723717386819221, 2.0555090042366646, 0.2959063765981441, -0.5087286683819396, -0.3148887685392991, -0.1127939314615727, -0.6959081433518639, 0.0688015120792998, 0.5512781179072938, 0.0224083753298559, 0.4953933048899247, -0.3074168945571933, 0.283843284793393, -0.1589591224803964, 0.3506453818463259, -0.03264586369699, -0.1365114725558728, -0.073321008648194, -0.0710919784005059, -0.100115171570853]| 12.1441802978515625|      0.00390625|[2026, 288, 9, 153]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      73|[1.4166359952868612, -0.2594906222211888, 0.0723717386819221, 2.0555090042366646, 0.2959063765981441, -0.5087286683819396, -0.3148887685392991, -0.1127939314615727, -0.6959081433518639, 0.0688015120792998, 0.5512781179072938, 0.0224083753298559, 0.4953933048899247, -0.3074168945571933, 0.283843284793393, -0.1589591224803964, 0.3506453818463259, -0.03264586369699, -0.1365114725558728, -0.073321008648194, -0.0710919784005059, -0.100115171570853]| 12.1441802978515625|      0.00195312|[2054, 292, 9, 155]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      74|[1.415123034430153, -0.2597700957531698, 0.0725610208670894, 2.055913559165626, 0.2956818841253023, -0.508842645212177, -0.3154281844138043, -0.1129048311172101, -0.6959366931063811, 0.0691185370128566, 0.5509533274617279, 0.0224972559215947, 0.4954315513944137, -0.3077375617737265, 0.2838964067561274, -0.1588436854716326, 0.3508248331405945, -0.0330675473385833, -0.1363713210100785, -0.0732007145998159, -0.0711723430491349, -0.1006589133909016]| 12.1441774368286133|      0.00390625|[2082, 296, 9, 157]                                                        |  | trying linear partial model with 15 points | iterate success | actual_k=2
      75|[1.415123034430153, -0.2597700957531698, 0.0725610208670894, 2.055913559165626, 0.2956818841253023, -0.508842645212177, -0.3154281844138043, -0.1129048311172101, -0.6959366931063811, 0.0691185370128566, 0.5509533274617279, 0.0224972559215947, 0.4954315513944137, -0.3077375617737265, 0.2838964067561274, -0.1588436854716326, 0.3508248331405945, -0.0330675473385833, -0.1363713210100785, -0.0732007145998159, -0.0711723430491349, -0.1006589133909016]| 12.1441774368286133|      0.00195312|[2110, 300, 9, 159]                                                        |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      76|[1.4146942598003756, -0.260190042175079, 0.073100576185114, 2.057219181167669, 0.2959510669122514, -0.5088291023376927, -0.3157114372978346, -0.1124170947411153, -0.6963471435592067, 0.0691542052407892, 0.5513211408883241, 0.0224861238063214, 0.4954531623244003, -0.3082464569271111, 0.2842251976443067, -0.1591092074566185, 0.3509622467579367, -0.0333393252832025, -0.136270677636597, -0.0729687382409597, -0.0715659198092366, -0.1005441335063845]| 12.1441747175324934|      0.00390625|[2138, 304, 10, 162]                                                       |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=2
      77|[1.4146942598003756, -0.260190042175079, 0.073100576185114, 2.057219181167669, 0.2959510669122514, -0.5088291023376927, -0.3157114372978346, -0.1124170947411153, -0.6963471435592067, 0.0691542052407892, 0.5513211408883241, 0.0224861238063214, 0.4954531623244003, -0.3082464569271111, 0.2842251976443067, -0.1591092074566185, 0.3509622467579367, -0.0333393252832025, -0.136270677636597, -0.0729687382409597, -0.0715659198092366, -0.1005441335063845]| 12.1441747175324934|      0.00195312|[2167, 308, 10, 164]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      78|[1.4135624287141453, -0.2603830541479785, 0.073105491715389, 2.0576747759403333, 0.2951878575689484, -0.5081617665425076, -0.3158340123305716, -0.1123190717615406, -0.696833020653902, 0.0691245163231358, 0.5512397642093758, 0.0221017997232667, 0.4949117502813403, -0.3081289902780135, 0.2844646157164946, -0.1591565464505773, 0.3506528158097038, -0.0336753984943161, -0.1360329476985428, -0.0730720161407321, -0.0711250222894197, -0.1004529478323046]| 12.1441726684570312|      0.00390625|[2195, 312, 10, 166]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      79|[1.4108285607812094, -0.2605222313447388, 0.0731526320937289, 2.059374473605768, 0.2951373086563309, -0.5078032649552054, -0.3154958392745392, -0.1125120816321916, -0.6965722624363946, 0.0704621649715638, 0.5514123690918163, 0.0208746992944029, 0.4953241575060923, -0.3079422780074008, 0.2845710954132605, -0.1592639127972061, 0.3510856512009632, -0.0329700357782595, -0.1358848554872796, -0.0728225637733044, -0.0715306051974949, -0.100646044929416]| 12.1441659927368164|      0.00781250|[2223, 316, 10, 168]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      80|[1.4108285607812094, -0.2605222313447388, 0.0731526320937289, 2.059374473605768, 0.2951373086563309, -0.5078032649552054, -0.3154958392745392, -0.1125120816321916, -0.6965722624363946, 0.0704621649715638, 0.5514123690918163, 0.0208746992944029, 0.4953241575060923, -0.3079422780074008, 0.2845710954132605, -0.1592639127972061, 0.3510856512009632, -0.0329700357782595, -0.1358848554872796, -0.0728225637733044, -0.0715306051974949, -0.100646044929416]| 12.1441659927368164|      0.00390625|[2251, 320, 11, 171]                                                       |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      81|[1.4108285607812094, -0.2605222313447388, 0.0731526320937289, 2.059374473605768, 0.2951373086563309, -0.5078032649552054, -0.3154958392745392, -0.1125120816321916, -0.6965722624363946, 0.0704621649715638, 0.5514123690918163, 0.0208746992944029, 0.4953241575060923, -0.3079422780074008, 0.2845710954132605, -0.1592639127972061, 0.3510856512009632, -0.0329700357782595, -0.1358848554872796, -0.0728225637733044, -0.0715306051974949, -0.100646044929416]| 12.1441659927368164|      0.00195312|[2280, 324, 11, 173]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      82|[1.409641351760103, -0.2610652175947054, 0.0737092959056842, 2.0599932354795865, 0.2950330276050447, -0.5079756049285163, -0.3157052188582534, -0.112233655733417, -0.6966792104763602, 0.0710681358753131, 0.5510345667899382, 0.0207064017531538, 0.4952510351345227, -0.308467358773034, 0.2844531667894736, -0.1592652736215019, 0.3513439490945554, -0.0326476987113286, -0.135903344339666, -0.0723924295074054, -0.0713471228099889, -0.1004997041473016]| 12.1441631317138672|      0.00390625|[2308, 328, 11, 175]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      83|[1.4088817367310036, -0.2617968039719489, 0.0746939640561878, 2.0624649288291677, 0.2948591462256712, -0.5082706927183731, -0.3145924799850578, -0.112605092648003, -0.6965680605167238, 0.0715435254950608, 0.5509581597866042, 0.0209869015283454, 0.4954010319273248, -0.3084127519392941, 0.2844086841553607, -0.1584176663754853, 0.3514813933759599, -0.0318924448711387, -0.1348559370639941, -0.0722579826544473, -0.0726654008133782, -0.0994685922490481]| 12.1441593170166016|      0.00781250|[2336, 332, 11, 177]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      84|[1.4088817367310036, -0.2617968039719489, 0.0746939640561878, 2.0624649288291677, 0.2948591462256712, -0.5082706927183731, -0.3145924799850578, -0.112605092648003, -0.6965680605167238, 0.0715435254950608, 0.5509581597866042, 0.0209869015283454, 0.4954010319273248, -0.3084127519392941, 0.2844086841553607, -0.1584176663754853, 0.3514813933759599, -0.0318924448711387, -0.1348559370639941, -0.0722579826544473, -0.0726654008133782, -0.0994685922490481]| 12.1441593170166016|      0.00390625|[2364, 336, 11, 179]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      85|[1.40552114498198, -0.2627229336009065, 0.074633582718881, 2.0626621483642307, 0.2951959730597137, -0.5085887994584687, -0.3143904449494568, -0.1118494333561479, -0.6966319238360921, 0.0711566553343398, 0.5512215531324974, 0.0210722028166988, 0.4958173728339657, -0.3081068292960777, 0.2845167512147803, -0.1576543533338971, 0.3519709426429342, -0.0325141543558125, -0.1351586064056197, -0.0724282877526826, -0.0722598007562127, -0.0989832953918881]| 12.1441526412963867|      0.00781250|[2392, 340, 11, 181]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      86|[1.40552114498198, -0.2627229336009065, 0.074633582718881, 2.0626621483642307, 0.2951959730597137, -0.5085887994584687, -0.3143904449494568, -0.1118494333561479, -0.6966319238360921, 0.0711566553343398, 0.5512215531324974, 0.0210722028166988, 0.4958173728339657, -0.3081068292960777, 0.2845167512147803, -0.1576543533338971, 0.3519709426429342, -0.0325141543558125, -0.1351586064056197, -0.0724282877526826, -0.0722598007562127, -0.0989832953918881]| 12.1441526412963867|      0.00390625|[2420, 344, 12, 184]                                                       |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=2
      87|[1.40552114498198, -0.2627229336009065, 0.074633582718881, 2.0626621483642307, 0.2951959730597137, -0.5085887994584687, -0.3143904449494568, -0.1118494333561479, -0.6966319238360921, 0.0711566553343398, 0.5512215531324974, 0.0210722028166988, 0.4958173728339657, -0.3081068292960777, 0.2845167512147803, -0.1576543533338971, 0.3519709426429342, -0.0325141543558125, -0.1351586064056197, -0.0724282877526826, -0.0722598007562127, -0.0989832953918881]| 12.1441526412963867|      0.00195312|[2449, 348, 12, 186]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      88|[1.4054760831226536, -0.2628423170107909, 0.075973526766635, 2.063308366250485, 0.2957671900661306, -0.5084057211730064, -0.3146075788021728, -0.1117360965843878, -0.6968014158831681, 0.0715212562857776, 0.5510695588487198, 0.0210937914916206, 0.4958366441508193, -0.3077864207428967, 0.2845529747578189, -0.1579318459186088, 0.3521593381122778, -0.0323321869649812, -0.1358306763945566, -0.0727947927976956, -0.0723611608740015, -0.0993495028555688]| 12.1441507339477539|      0.00390625|[2477, 352, 12, 188]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      89|[1.4054760831226536, -0.2628423170107909, 0.075973526766635, 2.063308366250485, 0.2957671900661306, -0.5084057211730064, -0.3146075788021728, -0.1117360965843878, -0.6968014158831681, 0.0715212562857776, 0.5510695588487198, 0.0210937914916206, 0.4958366441508193, -0.3077864207428967, 0.2845529747578189, -0.1579318459186088, 0.3521593381122778, -0.0323321869649812, -0.1358306763945566, -0.0727947927976956, -0.0723611608740015, -0.0993495028555688]| 12.1441507339477539|      0.00195312|[2505, 356, 12, 190]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      90|[1.4043232241216033, -0.2633550899453618, 0.0764014937197824, 2.0635674936226254, 0.2959538043596597, -0.5082973470115728, -0.3141381522697883, -0.1121011458075983, -0.6968890322035768, 0.0714659292570341, 0.5511103806840965, 0.0209283247479832, 0.4953744615354273, -0.3084057093321426, 0.2846581901995239, -0.1579226088872172, 0.3516415943328193, -0.0321733357733437, -0.1351021762626851, -0.0728278320978018, -0.0722815916116465, -0.0990450610553741]| 12.1441488265991211|      0.00390625|[2533, 360, 12, 192]                                                       |  | trying linear partial model with 15 points | iterate success | actual_k=2
      91|[1.4043232241216033, -0.2633550899453618, 0.0764014937197824, 2.0635674936226254, 0.2959538043596597, -0.5082973470115728, -0.3141381522697883, -0.1121011458075983, -0.6968890322035768, 0.0714659292570341, 0.5511103806840965, 0.0209283247479832, 0.4953744615354273, -0.3084057093321426, 0.2846581901995239, -0.1579226088872172, 0.3516415943328193, -0.0321733357733437, -0.1351021762626851, -0.0728278320978018, -0.0722815916116465, -0.0990450610553741]| 12.1441488265991211|      0.00195312|[2561, 364, 12, 194]                                                       |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
