k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2077915508167611, -0.0679003017825596, 0.3032506328590067, 0.5798557225448655, 0.0851375448645972, -0.011153596444338, -0.0081834996963298, -0.3750479846091587, 0.0285699504520899, -0.0646143917062177, 0.1392999343933934, -0.0129181597088639, -0.1184296674173546, 0.4226335192107348, -0.1940586301202553, 0.0158481156576046, -0.053981039060321, 0.1551595441216726, -0.0002514524695533, -0.1133041441142225, 0.2835576559220547, -0.0238615289548404]| 13.7493896484375000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
      46|[1.3633419093179528, 0.0471520687693554, 0.9156127333434716, 1.92951637029022, -0.3212536831027336, -0.4543177851516713, 0.0897809244896861, -0.1682565703235251, -0.1317946769607077, 0.2838010619767718, 0.7797944834933935, -0.1581750322339403, -0.3345535074069451, 0.0412798803764455, 0.1020052741136336, -0.0810295342065846, 0.4339522410533587, 0.2932027536846795, -0.6823585758499439, -0.1787183090505373, 0.3732132951041198, 0.1913878703522186]| 12.1441392898559570|      0.00390625|[1114, 368, 9, 101]                                                        |  | trying linear partial model with 13 points | iterate success | actual_k=4
      47|[1.3609380548365526, 0.046822216997265, 0.915646097430861, 1.93117627093455, -0.3209259785837489, -0.4547858506227337, 0.0899403942576002, -0.1681420631469909, -0.1319953321660889, 0.2839434986931474, 0.7799324316661098, -0.1572197084417659, -0.3344720311076433, 0.0405025748993564, 0.1016483630412923, -0.0810025113262274, 0.4347021580002666, 0.2934977954087696, -0.6813068960522485, -0.179142563599923, 0.3738062247130881, 0.1928818162515049]| 12.1441335678100586|      0.00781250|[1138, 376, 9, 103]                                                        |  | trying linear partial model with 13 points | iterate success | actual_k=4
      48|[1.3609380548365526, 0.046822216997265, 0.915646097430861, 1.93117627093455, -0.3209259785837489, -0.4547858506227337, 0.0899403942576002, -0.1681420631469909, -0.1319953321660889, 0.2839434986931474, 0.7799324316661098, -0.1572197084417659, -0.3344720311076433, 0.0405025748993564, 0.1016483630412923, -0.0810025113262274, 0.4347021580002666, 0.2934977954087696, -0.6813068960522485, -0.179142563599923, 0.3738062247130881, 0.1928818162515049]| 12.1441335678100586|      0.00390625|[1162, 384, 9, 105]                                                        |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      49|[1.3609380548365526, 0.046822216997265, 0.915646097430861, 1.93117627093455, -0.3209259785837489, -0.4547858506227337, 0.0899403942576002, -0.1681420631469909, -0.1319953321660889, 0.2839434986931474, 0.7799324316661098, -0.1572197084417659, -0.3344720311076433, 0.0405025748993564, 0.1016483630412923, -0.0810025113262274, 0.4347021580002666, 0.2934977954087696, -0.6813068960522485, -0.179142563599923, 0.3738062247130881, 0.1928818162515049]| 12.1441335678100586|      0.00195312|[1186, 392, 9, 107]                                                        |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      50|[1.3601822926306928, 0.0459755220835138, 0.9159721169209459, 1.9323974505475705, -0.3207723248087243, -0.4551687961943651, 0.0897226724525639, -0.1683905887200769, -0.1316785478909641, 0.2841364261107001, 0.7798412037840209, -0.157065120076378, -0.33465298674687, 0.0405990201713401, 0.1015050513540922, -0.0805275850077726, 0.4344924393651648, 0.2937860741069818, -0.681095409897974, -0.1792658665939763, 0.3737872445066969, 0.1928160472350954]| 12.1441305678987543|      0.00390625|[1210, 400, 10, 110]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      51|[1.3601822926306928, 0.0459755220835138, 0.9159721169209459, 1.9323974505475705, -0.3207723248087243, -0.4551687961943651, 0.0897226724525639, -0.1683905887200769, -0.1316785478909641, 0.2841364261107001, 0.7798412037840209, -0.157065120076378, -0.33465298674687, 0.0405990201713401, 0.1015050513540922, -0.0805275850077726, 0.4344924393651648, 0.2937860741069818, -0.681095409897974, -0.1792658665939763, 0.3737872445066969, 0.1928160472350954]| 12.1441305678987543|      0.00195312|[1235, 408, 10, 112]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      52|[1.359421501391236, 0.0454849104139662, 0.9159406335385577, 1.9329479390624655, -0.321338090725104, -0.4549123104859449, 0.088982897442081, -0.1685885206045285, -0.1311589948937247, 0.2841960616592122, 0.7799572415882218, -0.1575560633841919, -0.3352371621234645, 0.040733490259055, 0.10154098398533, -0.0803940764472379, 0.4346890569845067, 0.2943032581111548, -0.681499183209937, -0.1788838813441173, 0.3739981094657713, 0.1932070168416772]| 12.1441287994384766|      0.00390625|[1259, 416, 10, 114]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      53|[1.359421501391236, 0.0454849104139662, 0.9159406335385577, 1.9329479390624655, -0.321338090725104, -0.4549123104859449, 0.088982897442081, -0.1685885206045285, -0.1311589948937247, 0.2841960616592122, 0.7799572415882218, -0.1575560633841919, -0.3352371621234645, 0.040733490259055, 0.10154098398533, -0.0803940764472379, 0.4346890569845067, 0.2943032581111548, -0.681499183209937, -0.1788838813441173, 0.3739981094657713, 0.1932070168416772]| 12.1441287994384766|      0.00195312|[1283, 424, 10, 116]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      54|[1.3583092990808565, 0.0454630273542689, 0.9159777092856157, 1.9337483981081762, -0.3213600751091198, -0.4545369489846943, 0.0887193237619455, -0.1683580492291694, -0.1311090426690001, 0.284201788436647, 0.7805177814823554, -0.157964700483096, -0.3348260363824525, 0.0409627046494146, 0.1013819883133436, -0.0804521296014208, 0.4352498988250743, 0.2942262552178089, -0.6819230474410598, -0.1790743731931488, 0.3735563575474346, 0.1936605043645082]| 12.1441259384155273|      0.00390625|[1307, 432, 10, 118]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      55|[1.3583092990808565, 0.0454630273542689, 0.9159777092856157, 1.9337483981081762, -0.3213600751091198, -0.4545369489846943, 0.0887193237619455, -0.1683580492291694, -0.1311090426690001, 0.284201788436647, 0.7805177814823554, -0.157964700483096, -0.3348260363824525, 0.0409627046494146, 0.1013819883133436, -0.0804521296014208, 0.4352498988250743, 0.2942262552178089, -0.6819230474410598, -0.1790743731931488, 0.3735563575474346, 0.1936605043645082]| 12.1441259384155273|      0.00195312|[1331, 440, 10, 120]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      56|[1.3576635322502544, 0.0458622475169747, 0.9163319352328748, 1.934775784072554, -0.3210512198504326, -0.454719860160935, 0.0884364837257607, -0.1681413985002824, -0.1307347936421304, 0.2846113248771046, 0.780024267324047, -0.1576294412271073, -0.334989661510693, 0.0414282205538651, 0.1008177085796483, -0.0808585027927863, 0.435748348791474, 0.2943954990857331, -0.6816716398844956, -0.1789748850746765, 0.3734078561805948, 0.193464277241192]| 12.1441238521015222|      0.00390625|[1355, 448, 11, 123]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      57|[1.3576635322502544, 0.0458622475169747, 0.9163319352328748, 1.934775784072554, -0.3210512198504326, -0.454719860160935, 0.0884364837257607, -0.1681413985002824, -0.1307347936421304, 0.2846113248771046, 0.780024267324047, -0.1576294412271073, -0.334989661510693, 0.0414282205538651, 0.1008177085796483, -0.0808585027927863, 0.435748348791474, 0.2943954990857331, -0.6816716398844956, -0.1789748850746765, 0.3734078561805948, 0.193464277241192]| 12.1441238521015222|      0.00195312|[1380, 456, 12, 126]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      58|[1.3567105601675442, 0.0460358375095018, 0.9171731499624534, 1.9349535449859865, -0.3210336814921675, -0.4543249193550742, 0.0882501286802156, -0.1677234017047204, -0.1312996337562581, 0.2846557663929936, 0.7801853861976484, -0.1575151851016998, -0.3350764706065598, 0.0414144162948654, 0.1005766437554332, -0.0811340697316956, 0.4358217983193942, 0.2944791936832006, -0.6816061932842635, -0.1784762243777154, 0.3724265251931613, 0.1936674192444907]| 12.1441221237182617|      0.00390625|[1405, 464, 12, 128]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      59|[1.3567105601675442, 0.0460358375095018, 0.9171731499624534, 1.9349535449859865, -0.3210336814921675, -0.4543249193550742, 0.0882501286802156, -0.1677234017047204, -0.1312996337562581, 0.2846557663929936, 0.7801853861976484, -0.1575151851016998, -0.3350764706065598, 0.0414144162948654, 0.1005766437554332, -0.0811340697316956, 0.4358217983193942, 0.2944791936832006, -0.6816061932842635, -0.1784762243777154, 0.3724265251931613, 0.1936674192444907]| 12.1441221237182617|      0.00195312|[1429, 472, 12, 130]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      60|[1.3557145963348347, 0.0457848034016183, 0.9175357981873545, 1.9357583781266678, -0.3208442079206183, -0.4542479602565979, 0.0880626886248379, -0.167485918228195, -0.1313940993260749, 0.2846473166048467, 0.7799446868372231, -0.1574921799830326, -0.3353421611303434, 0.0411301881638989, 0.1002993354484969, -0.0807216144967864, 0.4362664948694839, 0.294710873581284, -0.6820575779288223, -0.1791194937304217, 0.3731389020006163, 0.193598150056016]| 12.1441192626953125|      0.00390625|[1453, 480, 12, 132]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      61|[1.3557145963348347, 0.0457848034016183, 0.9175357981873545, 1.9357583781266678, -0.3208442079206183, -0.4542479602565979, 0.0880626886248379, -0.167485918228195, -0.1313940993260749, 0.2846473166048467, 0.7799446868372231, -0.1574921799830326, -0.3353421611303434, 0.0411301881638989, 0.1002993354484969, -0.0807216144967864, 0.4362664948694839, 0.294710873581284, -0.6820575779288223, -0.1791194937304217, 0.3731389020006163, 0.193598150056016]| 12.1441192626953125|      0.00195312|[1477, 488, 13, 135]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      62|[1.3546339670742342, 0.0450779669708664, 0.9179653124755175, 1.936564717251971, -0.3208416128730994, -0.4541427404039189, 0.0882218363695453, -0.1675132698729003, -0.1310423994782672, 0.2845103555048072, 0.779907115554753, -0.1572569984495872, -0.3353705167651396, 0.0419023378336174, 0.1001808164709641, -0.080628030362546, 0.4361627326317492, 0.2947090341456909, -0.6817454361842441, -0.1792278489528344, 0.3729558598410734, 0.1941486551289274]| 12.1441164016723633|      0.00390625|[1502, 496, 13, 137]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      63|[1.3546339670742342, 0.0450779669708664, 0.9179653124755175, 1.936564717251971, -0.3208416128730994, -0.4541427404039189, 0.0882218363695453, -0.1675132698729003, -0.1310423994782672, 0.2845103555048072, 0.779907115554753, -0.1572569984495872, -0.3353705167651396, 0.0419023378336174, 0.1001808164709641, -0.080628030362546, 0.4361627326317492, 0.2947090341456909, -0.6817454361842441, -0.1792278489528344, 0.3729558598410734, 0.1941486551289274]| 12.1441164016723633|      0.00195312|[1526, 504, 13, 139]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      64|[1.353792587725404, 0.0442971211253119, 0.918434234472946, 1.937016388668732, -0.3202507038715489, -0.4541474368508122, 0.0884388719467666, -0.1674221686999782, -0.1308502947528075, 0.2849800050103793, 0.7800825721640366, -0.1576647263419759, -0.3356818448118488, 0.042182837478031, 0.1000940101670879, -0.0807344957474484, 0.436118661505137, 0.2943278209937538, -0.6813608847986821, -0.1788096222963998, 0.373400446576918, 0.1935554689969992]| 12.1441137352867958|      0.00390625|[1550, 512, 14, 142]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      65|[1.353792587725404, 0.0442971211253119, 0.918434234472946, 1.937016388668732, -0.3202507038715489, -0.4541474368508122, 0.0884388719467666, -0.1674221686999782, -0.1308502947528075, 0.2849800050103793, 0.7800825721640366, -0.1576647263419759, -0.3356818448118488, 0.042182837478031, 0.1000940101670879, -0.0807344957474484, 0.436118661505137, 0.2943278209937538, -0.6813608847986821, -0.1788096222963998, 0.373400446576918, 0.1935554689969992]| 12.1441137352867958|      0.00195312|[1575, 520, 15, 145]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      66|[1.3531119723811122, 0.0446089635719362, 0.9185219633751069, 1.9378886246993257, -0.3196379577312077, -0.4543766649245957, 0.0885227276648968, -0.16720980053621, -0.1309653250816985, 0.2844796327125577, 0.7805211057156141, -0.1581576102115836, -0.3360274020101746, 0.0422343054999115, 0.0996804984499301, -0.0808078143131315, 0.4358326296573076, 0.2943624631369481, -0.6812479368656964, -0.1781272172886708, 0.3727993327484152, 0.1932630240492789]| 12.1441116333007812|      0.00390625|[1600, 528, 15, 147]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      67|[1.3531119723811122, 0.0446089635719362, 0.9185219633751069, 1.9378886246993257, -0.3196379577312077, -0.4543766649245957, 0.0885227276648968, -0.16720980053621, -0.1309653250816985, 0.2844796327125577, 0.7805211057156141, -0.1581576102115836, -0.3360274020101746, 0.0422343054999115, 0.0996804984499301, -0.0808078143131315, 0.4358326296573076, 0.2943624631369481, -0.6812479368656964, -0.1781272172886708, 0.3727993327484152, 0.1932630240492789]| 12.1441116333007812|      0.00195312|[1624, 536, 15, 149]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      68|[1.3522423730771358, 0.0444475233103452, 0.9179964078782907, 1.9383701396252306, -0.3195629212841265, -0.454196035239514, 0.0888149143313044, -0.1667145095091661, -0.131867967451478, 0.2847844078146735, 0.7805265853897748, -0.1584203159285442, -0.3357115518396352, 0.042265576173199, 0.0992065514344053, -0.0813505157836434, 0.435707356158084, 0.2946335793829644, -0.6812393773953715, -0.1777076116112978, 0.3722797094789023, 0.193416285516272]| 12.1441100877721304|      0.00390625|[1648, 544, 16, 152]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      69|[1.3507935814175478, 0.0432008579398293, 0.9175832098229064, 1.9403984133178898, -0.3189019058870333, -0.4535634242233058, 0.0885188578016374, -0.1667464388962108, -0.1314916338445791, 0.2836695923959125, 0.7808500367129492, -0.158201290499267, -0.3351602475361802, 0.0426847206525891, 0.0979380485077225, -0.0805169245256404, 0.4347495663715742, 0.294940506217921, -0.6810773877372146, -0.1770324552121144, 0.3720358160154503, 0.1926941834801415]| 12.1441049575805664|      0.00781250|[1673, 552, 16, 154]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      70|[1.3507935814175478, 0.0432008579398293, 0.9175832098229064, 1.9403984133178898, -0.3189019058870333, -0.4535634242233058, 0.0885188578016374, -0.1667464388962108, -0.1314916338445791, 0.2836695923959125, 0.7808500367129492, -0.158201290499267, -0.3351602475361802, 0.0426847206525891, 0.0979380485077225, -0.0805169245256404, 0.4347495663715742, 0.294940506217921, -0.6810773877372146, -0.1770324552121144, 0.3720358160154503, 0.1926941834801415]| 12.1441049575805664|      0.00390625|[1697, 560, 17, 157]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=4
      71|[1.3507935814175478, 0.0432008579398293, 0.9175832098229064, 1.9403984133178898, -0.3189019058870333, -0.4535634242233058, 0.0885188578016374, -0.1667464388962108, -0.1314916338445791, 0.2836695923959125, 0.7808500367129492, -0.158201290499267, -0.3351602475361802, 0.0426847206525891, 0.0979380485077225, -0.0805169245256404, 0.4347495663715742, 0.294940506217921, -0.6810773877372146, -0.1770324552121144, 0.3720358160154503, 0.1926941834801415]| 12.1441049575805664|      0.00195312|[1722, 568, 17, 159]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      72|[1.3496742711921559, 0.0424793700630877, 0.9176402398940557, 1.9412924492925328, -0.3192727348101815, -0.4537924267035729, 0.0883797324512391, -0.1664492412865725, -0.1316735844739533, 0.2830688615145017, 0.7811579018107835, -0.1580502677199628, -0.3351721640724113, 0.0429928645223418, 0.0975002344032262, -0.0805852952176999, 0.4345249229871512, 0.2947188085238682, -0.6810817004375641, -0.1768868628498871, 0.3721616687000255, 0.1927317853985284]| 12.1441020965576172|      0.00390625|[1746, 576, 17, 161]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      73|[1.3496742711921559, 0.0424793700630877, 0.9176402398940557, 1.9412924492925328, -0.3192727348101815, -0.4537924267035729, 0.0883797324512391, -0.1664492412865725, -0.1316735844739533, 0.2830688615145017, 0.7811579018107835, -0.1580502677199628, -0.3351721640724113, 0.0429928645223418, 0.0975002344032262, -0.0805852952176999, 0.4345249229871512, 0.2947188085238682, -0.6810817004375641, -0.1768868628498871, 0.3721616687000255, 0.1927317853985284]| 12.1441020965576172|      0.00195312|[1770, 584, 17, 163]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      74|[1.3484856913106578, 0.0422665116903567, 0.9178936605562902, 1.941666150171383, -0.3185082540403088, -0.4538670619468246, 0.0881799773764882, -0.1665506378445422, -0.1317241041960999, 0.283117638691485, 0.781035357314949, -0.1582892070082327, -0.3359449636391499, 0.0429612156174216, 0.0976408065783904, -0.0800854516871571, 0.4347238311257429, 0.294939654992871, -0.6809987005362452, -0.1765664844043204, 0.372768771366792, 0.1926957389206418]| 12.1440992355346680|      0.00390625|[1794, 592, 17, 165]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      75|[1.3484856913106578, 0.0422665116903567, 0.9178936605562902, 1.941666150171383, -0.3185082540403088, -0.4538670619468246, 0.0881799773764882, -0.1665506378445422, -0.1317241041960999, 0.283117638691485, 0.781035357314949, -0.1582892070082327, -0.3359449636391499, 0.0429612156174216, 0.0976408065783904, -0.0800854516871571, 0.4347238311257429, 0.294939654992871, -0.6809987005362452, -0.1765664844043204, 0.372768771366792, 0.1926957389206418]| 12.1440992355346680|      0.00195312|[1818, 600, 17, 167]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      76|[1.3481697327273319, 0.0420283068840141, 0.9181088081139468, 1.9428875454124903, -0.3188395318928646, -0.4540665292006725, 0.088560706181167, -0.1668409064038815, -0.1318057672336837, 0.2834334946001384, 0.7810968821142477, -0.1578936395081256, -0.3352279029931454, 0.0427855816721293, 0.0982524982646845, -0.0798175953760069, 0.435029515744157, 0.2944481789990273, -0.6811685835135367, -0.1764631502248358, 0.3724384281723555, 0.1926972782125667]| 12.1440974640624848|      0.00390625|[1842, 608, 18, 170]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      77|[1.3481697327273319, 0.0420283068840141, 0.9181088081139468, 1.9428875454124903, -0.3188395318928646, -0.4540665292006725, 0.088560706181167, -0.1668409064038815, -0.1318057672336837, 0.2834334946001384, 0.7810968821142477, -0.1578936395081256, -0.3352279029931454, 0.0427855816721293, 0.0982524982646845, -0.0798175953760069, 0.435029515744157, 0.2944481789990273, -0.6811685835135367, -0.1764631502248358, 0.3724384281723555, 0.1926972782125667]| 12.1440974640624848|      0.00195312|[1867, 616, 18, 172]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      78|[1.3472829521590592, 0.0414365349064902, 0.9177164640551868, 1.9435542519397697, -0.3190495550634058, -0.4540377646431168, 0.0881764314995422, -0.166293508660194, -0.1320769893267253, 0.2837082551128637, 0.7810919168110874, -0.1576270054248342, -0.3355520522836202, 0.0423665233163494, 0.097528373708428, -0.0798396326148004, 0.4349015988057732, 0.2941967200494648, -0.6812577636826689, -0.1767092168529502, 0.3722470430994859, 0.1933112987302245]| 12.1440954208374023|      0.00390625|[1891, 624, 18, 174]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      79|[1.3472829521590592, 0.0414365349064902, 0.9177164640551868, 1.9435542519397697, -0.3190495550634058, -0.4540377646431168, 0.0881764314995422, -0.166293508660194, -0.1320769893267253, 0.2837082551128637, 0.7810919168110874, -0.1576270054248342, -0.3355520522836202, 0.0423665233163494, 0.097528373708428, -0.0798396326148004, 0.4349015988057732, 0.2941967200494648, -0.6812577636826689, -0.1767092168529502, 0.3722470430994859, 0.1933112987302245]| 12.1440954208374023|      0.00195312|[1915, 632, 18, 176]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      80|[1.3462234630281338, 0.041100907278983, 0.917771352057878, 1.9433728286820553, -0.3189987886432014, -0.4538417379443339, 0.0883334122297486, -0.1665354933092684, -0.1323453888859857, 0.2835456312673987, 0.7817160794341662, -0.1577448084260306, -0.335255732267331, 0.0423646997180425, 0.09754495512014, -0.0794863263526062, 0.4346222007532527, 0.294531445003458, -0.6817017985672479, -0.1758340622467727, 0.3725818135558462, 0.1939741074850968]| 12.1440932592211333|      0.00390625|[1939, 640, 19, 179]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      81|[1.3462234630281338, 0.041100907278983, 0.917771352057878, 1.9433728286820553, -0.3189987886432014, -0.4538417379443339, 0.0883334122297486, -0.1665354933092684, -0.1323453888859857, 0.2835456312673987, 0.7817160794341662, -0.1577448084260306, -0.335255732267331, 0.0423646997180425, 0.09754495512014, -0.0794863263526062, 0.4346222007532527, 0.294531445003458, -0.6817017985672479, -0.1758340622467727, 0.3725818135558462, 0.1939741074850968]| 12.1440932592211333|      0.00195312|[1964, 648, 19, 181]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      82|[1.3457027253893765, 0.0405087905161864, 0.917259827679811, 1.9443275569068286, -0.3186811418967299, -0.4535468722166233, 0.0881506342923908, -0.1663068106852129, -0.1327337395871868, 0.2839883556339073, 0.7816083133904053, -0.1576437781596784, -0.3353593513764935, 0.0421064599019662, 0.0971520801000289, -0.0793339310070922, 0.4345807856165061, 0.2944723097177667, -0.6820866037916913, -0.1761030364315904, 0.3731975483410605, 0.1932545172767104]| 12.1440911911487586|      0.00390625|[1988, 656, 20, 184]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      83|[1.3457027253893765, 0.0405087905161864, 0.917259827679811, 1.9443275569068286, -0.3186811418967299, -0.4535468722166233, 0.0881506342923908, -0.1663068106852129, -0.1327337395871868, 0.2839883556339073, 0.7816083133904053, -0.1576437781596784, -0.3353593513764935, 0.0421064599019662, 0.0971520801000289, -0.0793339310070922, 0.4345807856165061, 0.2944723097177667, -0.6820866037916913, -0.1761030364315904, 0.3731975483410605, 0.1932545172767104]| 12.1440911911487586|      0.00195312|[2013, 664, 20, 186]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      84|[1.3450023070961368, 0.0411679555999208, 0.9170958817736345, 1.9452442818698255, -0.3180682576802883, -0.4536110430193979, 0.0879200449355044, -0.1656817474421927, -0.1326090263317894, 0.2839047152625203, 0.7821585259118521, -0.1575987275106202, -0.3352734864328516, 0.0423369437354983, 0.0969375712248426, -0.0791971779218263, 0.434878815720864, 0.2951782245642511, -0.6821561889965649, -0.1764553297191631, 0.3730324444561017, 0.1933079615047048]| 12.1440896987915039|      0.00390625|[2037, 672, 20, 188]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      85|[1.3450023070961368, 0.0411679555999208, 0.9170958817736345, 1.9452442818698255, -0.3180682576802883, -0.4536110430193979, 0.0879200449355044, -0.1656817474421927, -0.1326090263317894, 0.2839047152625203, 0.7821585259118521, -0.1575987275106202, -0.3352734864328516, 0.0423369437354983, 0.0969375712248426, -0.0791971779218263, 0.434878815720864, 0.2951782245642511, -0.6821561889965649, -0.1764553297191631, 0.3730324444561017, 0.1933079615047048]| 12.1440896987915039|      0.00195312|[2061, 680, 20, 190]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      86|[1.3437053603393725, 0.0405335655204129, 0.9173513399784126, 1.9456668281245397, -0.3175562264206907, -0.4534659268633048, 0.0878063069677731, -0.1658677593813985, -0.1326245504472686, 0.2839056575734615, 0.7826332821282037, -0.1576965800570376, -0.3352063531079408, 0.042573169083088, 0.0969250595575671, -0.0791878508591624, 0.4352412266860345, 0.295725625427453, -0.6816927258711514, -0.1766263011995388, 0.3734459227976907, 0.1931902605224398]| 12.1440866178539508|      0.00390625|[2085, 688, 21, 193]                                                       |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      87|[1.3437053603393725, 0.0405335655204129, 0.9173513399784126, 1.9456668281245397, -0.3175562264206907, -0.4534659268633048, 0.0878063069677731, -0.1658677593813985, -0.1326245504472686, 0.2839056575734615, 0.7826332821282037, -0.1576965800570376, -0.3352063531079408, 0.042573169083088, 0.0969250595575671, -0.0791878508591624, 0.4352412266860345, 0.295725625427453, -0.6816927258711514, -0.1766263011995388, 0.3734459227976907, 0.1931902605224398]| 12.1440866178539508|      0.00195312|[2110, 696, 21, 195]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      88|[1.3428827370430478, 0.0401143899490843, 0.9176364243260976, 1.9471152156338518, -0.3174192963455429, -0.4530870435321525, 0.0879010075436235, -0.1657653544079922, -0.1324772384759968, 0.2837200408238175, 0.7829131307942173, -0.1579005925360642, -0.3355050119721766, 0.0426445266657702, 0.0968622901108079, -0.0793455519855213, 0.4349503957231669, 0.2956727055273141, -0.6816038735486052, -0.176871510024296, 0.3737964073934361, 0.1930353766885684]| 12.1440839767456055|      0.00390625|[2134, 704, 21, 197]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      89|[1.3428827370430478, 0.0401143899490843, 0.9176364243260976, 1.9471152156338518, -0.3174192963455429, -0.4530870435321525, 0.0879010075436235, -0.1657653544079922, -0.1324772384759968, 0.2837200408238175, 0.7829131307942173, -0.1579005925360642, -0.3355050119721766, 0.0426445266657702, 0.0968622901108079, -0.0793455519855213, 0.4349503957231669, 0.2956727055273141, -0.6816038735486052, -0.176871510024296, 0.3737964073934361, 0.1930353766885684]| 12.1440839767456055|      0.00195312|[2158, 712, 21, 199]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
      90|[1.3416681493638007, 0.0397560722408095, 0.9176724559711523, 1.9479903441368414, -0.3170666677827743, -0.4533518348070044, 0.0876090316052843, -0.1658388096173438, -0.1325156559041757, 0.2832965858349195, 0.7830302989781415, -0.1581669324942499, -0.3354452747783327, 0.0431573036528992, 0.0966528852284459, -0.0790443041198469, 0.4353524297133037, 0.2956984871141586, -0.6812651382428594, -0.176719447922485, 0.3735782293399856, 0.1926552446956278]| 12.1440801620483398|      0.00390625|[2182, 720, 21, 201]                                                       |  | trying linear partial model with 13 points | iterate success | actual_k=4
      91|[1.3416681493638007, 0.0397560722408095, 0.9176724559711523, 1.9479903441368414, -0.3170666677827743, -0.4533518348070044, 0.0876090316052843, -0.1658388096173438, -0.1325156559041757, 0.2832965858349195, 0.7830302989781415, -0.1581669324942499, -0.3354452747783327, 0.0431573036528992, 0.0966528852284459, -0.0790443041198469, 0.4353524297133037, 0.2956984871141586, -0.6812651382428594, -0.176719447922485, 0.3735782293399856, 0.1926552446956278]| 12.1440801620483398|      0.00195312|[2206, 728, 21, 203]                                                       |  | trying linear partial model with 13 points | exploitation failed, decreasing delta | actual_k=4
