k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3734817504882812, 0.13620525598526, 0.0264961533248425, 0.1698487997055054, 0.0445046201348305, -0.0296584777534008, -0.0392593517899513, -0.0175582468509674, -0.0334789045155048, -0.1159866973757744, -0.101704940199852, 0.0853810235857964, 0.0758075267076492, 0.1007518246769905, -0.2191238105297089, 0.2685894072055817, -0.2170520573854446, -0.4612997174263, -0.0733866170048714, -0.2470196336507797, 0.2105785012245178, -0.1156946942210197]| 14.2047910690307617|      2.00000000|[34, 5, 0, 1]                                                              | | GPS sucess | actual_k=8
      52|[-35.26662044972181, -7.034779943525791, -5.553927455097437, 32.256395518779755, 0.6145407557487488, -51.39866314269602, -3.8138275742530823, -13.114262893795967, 7.687504719942808, -23.7237546518445, 4.7354452945292, 2.6892687287181616, 7.56427400931716, -19.08441719226539, 37.39871160686016, 41.95646246522665, 25.07548206113279, -4.78574126586318, -4.550380822271109, 45.97337078303099, -20.46305616432801, -9.531902365386486]| 12.0531787872314453|     16.00000000|[1724, 253, 0, 52]                                                         | | GPS sucess | actual_k=8
      53|[-35.26662044972181, -7.034779943525791, -5.553927455097437, 32.256395518779755, 0.6145407557487488, -51.39866314269602, -3.8138275742530823, -13.114262893795967, 7.687504719942808, -23.7237546518445, 4.7354452945292, 2.6892687287181616, 7.56427400931716, -19.08441719226539, 37.39871160686016, 41.95646246522665, 25.07548206113279, -4.78574126586318, -4.550380822271109, 45.97337078303099, -20.46305616432801, -9.531902365386486]| 12.0531787872314453|      8.00000000|[1758, 257, 0, 53]                                                         |  | used linear model with 39 points | actual_k=8
      54|[-35.26662044972181, -7.034779943525791, -5.553927455097437, 32.256395518779755, 0.6145407557487488, -51.39866314269602, -3.8138275742530823, -13.114262893795967, 7.687504719942808, -23.7237546518445, 4.7354452945292, 2.6892687287181616, 7.56427400931716, -19.08441719226539, 37.39871160686016, 41.95646246522665, 25.07548206113279, -4.78574126586318, -4.550380822271109, 45.97337078303099, -20.46305616432801, -9.531902365386486]| 12.0531787872314453|      4.00000000|[1790, 263, 0, 54]                                                         |  | used linear model with 39 points | actual_k=8
      55|[-35.672542713582516, -6.555620051920414, -7.306151304394007, 32.81599688529968, 1.785055935382843, -52.92454490996897, -3.934026136994362, -13.603606447577477, 7.399518620222807, -23.57942771166563, 4.8102725856006145, 3.5147873368114233, 7.722034987062216, -18.7275214176625, 37.92562548816204, 42.86574097722769, 25.013128137215972, -4.291141655296087, -4.805210944265127, 45.56376361101866, -18.24205000931397, -9.72298613935709]| 12.0525608062744141|      8.00000000|[1823, 268, 0, 55]                                                         | | GPS sucess | actual_k=8
      56|[-37.06066753715277, -7.01202068477869, -4.638882551342249, 33.51646953821182, 3.286606252193451, -51.60514793731272, -4.957860007882118, -13.323964521288872, 6.838037263602018, -23.95355772227049, 2.685449969023466, 1.482625624164939, 6.351853545755148, -18.46804162673652, 37.88228793814778, 45.45745535939932, 26.248766040429473, -3.530621375888586, -5.0197139494121075, 46.7504383251071, -17.32808085018769, -9.456786908209324]| 12.0491418838500977|     16.00000000|[1857, 272, 0, 56]                                                         | | GPS sucess | actual_k=8
      57|[-37.06066753715277, -7.01202068477869, -4.638882551342249, 33.51646953821182, 3.286606252193451, -51.60514793731272, -4.957860007882118, -13.323964521288872, 6.838037263602018, -23.95355772227049, 2.685449969023466, 1.482625624164939, 6.351853545755148, -18.46804162673652, 37.88228793814778, 45.45745535939932, 26.248766040429473, -3.530621375888586, -5.0197139494121075, 46.7504383251071, -17.32808085018769, -9.456786908209324]| 12.0491418838500977|      8.00000000|[1889, 278, 0, 57]                                                         |  | used linear model with 39 points | actual_k=8
      58|[-37.06066753715277, -7.01202068477869, -4.638882551342249, 33.51646953821182, 3.286606252193451, -51.60514793731272, -4.957860007882118, -13.323964521288872, 6.838037263602018, -23.95355772227049, 2.685449969023466, 1.482625624164939, 6.351853545755148, -18.46804162673652, 37.88228793814778, 45.45745535939932, 26.248766040429473, -3.530621375888586, -5.0197139494121075, 46.7504383251071, -17.32808085018769, -9.456786908209324]| 12.0491418838500977|      4.00000000|[1924, 281, 0, 58]                                                         |  | used linear model with 39 points | actual_k=8
      59|[-37.06066753715277, -7.01202068477869, -4.638882551342249, 33.51646953821182, 3.286606252193451, -51.60514793731272, -4.957860007882118, -13.323964521288872, 6.838037263602018, -23.95355772227049, 2.685449969023466, 1.482625624164939, 6.351853545755148, -18.46804162673652, 37.88228793814778, 45.45745535939932, 26.248766040429473, -3.530621375888586, -5.0197139494121075, 46.7504383251071, -17.32808085018769, -9.456786908209324]| 12.0491418838500977|      2.00000000|[1957, 286, 0, 59]                                                         |  | used linear model with 39 points | actual_k=8
      60|[-37.48635392636061, -7.3900792971253395, -4.945634726434946, 33.873796850442886, 3.7773247361183167, -51.89181564189494, -4.741836786270142, -13.60784886777401, 7.042495157569647, -23.341792933642864, 2.2888025157153606, 0.6815420594066381, 6.391536459326744, -18.804274884983897, 37.45081378892064, 45.77298875898123, 26.086212312802672, -3.157310124486685, -4.242615234106779, 46.07141201943159, -17.278349487576634, -9.805528081953526]| 12.0473737716674805|      4.00000000|[1990, 291, 0, 60]                                                         | | GPS sucess | actual_k=8
      61|[-37.48635392636061, -7.3900792971253395, -4.945634726434946, 33.873796850442886, 3.7773247361183167, -51.89181564189494, -4.741836786270142, -13.60784886777401, 7.042495157569647, -23.341792933642864, 2.2888025157153606, 0.6815420594066381, 6.391536459326744, -18.804274884983897, 37.45081378892064, 45.77298875898123, 26.086212312802672, -3.157310124486685, -4.242615234106779, 46.07141201943159, -17.278349487576634, -9.805528081953526]| 12.0473737716674805|      2.00000000|[2023, 296, 0, 61]                                                         |  | used linear model with 39 points | actual_k=8
      62|[-37.828330747783184, -7.043844349682331, -4.562465909868479, 34.09126715362072, 4.354589521884918, -52.007966892793775, -5.499346494674683, -13.518334649503231, 6.124607589095831, -23.443032428622246, 2.036090325564146, 0.3417697455734015, 6.86968694627285, -18.12374028377235, 37.10620554164052, 46.09411805123091, 25.94432375393808, -3.523546453565359, -4.758288871496916, 46.06010258384049, -17.774921207223088, -9.89961152523756]| 12.0469694137573242|      4.00000000|[2055, 302, 0, 62]                                                         | | GPS sucess | actual_k=8
      63|[-38.392804972827435, -6.987137757241726, -5.622746113687754, 34.684986516833305, 3.5741567611694336, -52.913635509088635, -4.780714154243469, -14.010852240025997, 6.21266882494092, -23.311163306236267, 1.2689855806529522, -0.4715530965477228, 6.644202455878258, -17.116444198414683, 38.826628763228655, 45.64338310807943, 26.363326584920287, -3.375957813113928, -2.783907901495695, 47.4542492646724, -17.783338245470077, -9.917967373505235]| 12.0455913543701172|      8.00000000|[2087, 308, 0, 63]                                                         | | GPS sucess | actual_k=8
      64|[-40.44690381735563, -6.743605248630047, -2.1342431344091892, 35.744479939341545, 4.434476912021637, -52.59161047823727, -5.64446485042572, -13.483096145093441, 6.585817564278841, -24.75520098209381, 0.5756932012736797, -2.403442034497857, 9.162932381033897, -14.364804117009044, 37.62044056132436, 46.791169725358486, 28.041308796033263, -1.9411235712468624, 0.3172044642269611, 47.20979808457196, -17.02128988178447, -10.00777088291943]| 12.0419015884399414|     16.00000000|[2122, 311, 0, 64]                                                         | | GPS sucess | actual_k=8
      65|[-41.874287240207195, -5.639760367572308, 5.63390051946044, 35.35457979142666, 1.5313709378242493, -53.64539949782193, -5.156854063272476, -14.138921581208706, 3.8911518938839436, -20.91955029964447, 0.6980015002191067, 1.0838328506797552, 7.740695580840111, -16.05428489856422, 39.16429289057851, 45.06218584626913, 24.913167154416442, -1.0654704235494137, 4.516738403588533, 53.94620727188885, -13.49230581196025, -8.836342202499509]| 12.0366783142089844|     32.00000000|[2155, 316, 0, 65]                                                         | | GPS sucess | actual_k=8
      66|[-41.874287240207195, -5.639760367572308, 5.63390051946044, 35.35457979142666, 1.5313709378242493, -53.64539949782193, -5.156854063272476, -14.138921581208706, 3.8911518938839436, -20.91955029964447, 0.6980015002191067, 1.0838328506797552, 7.740695580840111, -16.05428489856422, 39.16429289057851, 45.06218584626913, 24.913167154416442, -1.0654704235494137, 4.516738403588533, 53.94620727188885, -13.49230581196025, -8.836342202499509]| 12.0366783142089844|     16.00000000|[2190, 319, 0, 66]                                                         |  | used linear model with 39 points | actual_k=8
      67|[-41.874287240207195, -5.639760367572308, 5.63390051946044, 35.35457979142666, 1.5313709378242493, -53.64539949782193, -5.156854063272476, -14.138921581208706, 3.8911518938839436, -20.91955029964447, 0.6980015002191067, 1.0838328506797552, 7.740695580840111, -16.05428489856422, 39.16429289057851, 45.06218584626913, 24.913167154416442, -1.0654704235494137, 4.516738403588533, 53.94620727188885, -13.49230581196025, -8.836342202499509]| 12.0366783142089844|      8.00000000|[2222, 325, 0, 67]                                                         |  | used linear model with 39 points | actual_k=8
      68|[-41.874287240207195, -5.639760367572308, 5.63390051946044, 35.35457979142666, 1.5313709378242493, -53.64539949782193, -5.156854063272476, -14.138921581208706, 3.8911518938839436, -20.91955029964447, 0.6980015002191067, 1.0838328506797552, 7.740695580840111, -16.05428489856422, 39.16429289057851, 45.06218584626913, 24.913167154416442, -1.0654704235494137, 4.516738403588533, 53.94620727188885, -13.49230581196025, -8.836342202499509]| 12.0366783142089844|      4.00000000|[2257, 328, 0, 68]                                                         |  | used linear model with 39 points | actual_k=8
      69|[-41.874287240207195, -5.639760367572308, 5.63390051946044, 35.35457979142666, 1.5313709378242493, -53.64539949782193, -5.156854063272476, -14.138921581208706, 3.8911518938839436, -20.91955029964447, 0.6980015002191067, 1.0838328506797552, 7.740695580840111, -16.05428489856422, 39.16429289057851, 45.06218584626913, 24.913167154416442, -1.0654704235494137, 4.516738403588533, 53.94620727188885, -13.49230581196025, -8.836342202499509]| 12.0366783142089844|      2.00000000|[2290, 333, 0, 69]                                                         |  | used linear model with 39 points | actual_k=8
      70|[-42.21666260808706, -5.406445242464542, 7.036301013082266, 35.4037013836205, 0.8362264037132263, -53.37342088110745, -5.368534103035927, -14.03804499655962, 4.374819744378328, -20.949471106752753, 0.9286666326224804, 0.9887108411639929, 7.784696865826845, -16.124001709744334, 39.41800658777356, 45.16100147366524, 24.351714288815856, -1.0453423261642456, 4.932685066014528, 54.3096471298486, -13.598600235302001, -9.042021842673421]| 12.0359630584716797|      4.00000000|[2324, 337, 0, 70]                                                         | | GPS sucess | actual_k=8
      71|[-43.09054633229971, -6.699093081057072, 6.4571228586137295, 36.306939620524645, 0.12040776014328, -53.1966484952718, -4.636877194046974, -14.360422410070896, 4.009241241961718, -19.29797231219709, -0.3535158224403858, 1.7368431892246008, 7.524512577801943, -15.134023873135448, 38.71430252864957, 46.43228176236153, 24.675247406587005, -0.6182933151721954, 4.3332847841084, 54.7843132186681, -12.417723265010864, -9.860191972926259]| 12.0338544845581055|      8.00000000|[2358, 341, 0, 71]                                                         | | GPS sucess | actual_k=8
      72|[-43.47285898774862, -6.87101986259222, 8.899774130433798, 36.07143305614591, -1.7998414635658264, -50.45800341852009, -4.687531728297472, -15.40852788835764, 2.9914155192673206, -17.969732036814094, 0.0573259405791759, 2.727945825085044, 4.48211770132184, -12.84585758857429, 35.260358799248934, 44.896550089120865, 25.19588623009622, -0.9801899194717407, 6.218656945973635, 52.34375526197255, -11.89608069928363, -9.192210944369435]| 12.0327396392822266|     16.00000000|[2393, 344, 0, 72]                                                         | | GPS sucess | actual_k=8
      73|[-43.47285898774862, -6.87101986259222, 8.899774130433798, 36.07143305614591, -1.7998414635658264, -50.45800341852009, -4.687531728297472, -15.40852788835764, 2.9914155192673206, -17.969732036814094, 0.0573259405791759, 2.727945825085044, 4.48211770132184, -12.84585758857429, 35.260358799248934, 44.896550089120865, 25.19588623009622, -0.9801899194717407, 6.218656945973635, 52.34375526197255, -11.89608069928363, -9.192210944369435]| 12.0327396392822266|      8.00000000|[2426, 349, 0, 73]                                                         |  | used linear model with 39 points | actual_k=8
      74|[-43.47285898774862, -6.87101986259222, 8.899774130433798, 36.07143305614591, -1.7998414635658264, -50.45800341852009, -4.687531728297472, -15.40852788835764, 2.9914155192673206, -17.969732036814094, 0.0573259405791759, 2.727945825085044, 4.48211770132184, -12.84585758857429, 35.260358799248934, 44.896550089120865, 25.19588623009622, -0.9801899194717407, 6.218656945973635, 52.34375526197255, -11.89608069928363, -9.192210944369435]| 12.0327396392822266|      4.00000000|[2459, 354, 0, 74]                                                         |  | used linear model with 39 points | actual_k=8
      75|[-44.25113358348608, -7.808597229421139, 8.962010018527508, 36.88121872022748, -3.3838908076286316, -50.51185985468328, -4.584529992192984, -16.617577947676182, 3.097424555569887, -17.020374288782477, -0.4752192683517933, 1.394522925838828, 3.297496248036623, -12.742130948230624, 36.59405242279172, 45.4960455596447, 26.291646456345916, -0.9189355000853539, 7.350826073437929, 52.54545223899186, -12.222427960950881, -8.456440897658467]| 12.0309944152832031|      8.00000000|[2492, 359, 0, 75]                                                         | | GPS sucess | actual_k=8
      76|[-45.60383405536413, -6.221995137631893, 10.518898598849773, 37.481754172593355, -2.173560321331024, -50.734704008325934, -5.144148763269186, -18.33159653097391, 4.97748165205121, -14.980539789423347, -1.4937129206955433, -0.6446435246616602, 5.438787627965212, -11.481398774310946, 38.42542873695493, 43.252534598112106, 26.27731841430068, -4.036430321633816, 5.84623758867383, 51.75149351544678, -12.062528770882636, -8.215649412944913]| 12.0267219543457031|     16.00000000|[2524, 365, 0, 76]                                                         | | GPS sucess | actual_k=8
      77|[-49.538573406636715, -3.838830254971981, 14.387088648974895, 39.79046045616269, -1.8833798468112946, -48.449656715616584, -4.916267272084951, -16.90492121130228, 7.401973057538271, -10.274274816736579, 0.5780536942183971, 4.39004304073751, 6.590999651700258, -7.704626275226474, 41.30034886673093, 43.439527213573456, 24.499789889901876, -9.146099530160427, 10.082670141011477, 52.66992902942002, -10.996156853158027, -15.818797396495938]| 12.0194873809814453|     32.00000000|[2558, 369, 0, 77]                                                         | | GPS sucess | actual_k=8
      78|[-49.538573406636715, -3.838830254971981, 14.387088648974895, 39.79046045616269, -1.8833798468112946, -48.449656715616584, -4.916267272084951, -16.90492121130228, 7.401973057538271, -10.274274816736579, 0.5780536942183971, 4.39004304073751, 6.590999651700258, -7.704626275226474, 41.30034886673093, 43.439527213573456, 24.499789889901876, -9.146099530160427, 10.082670141011477, 52.66992902942002, -10.996156853158027, -15.818797396495938]| 12.0194873809814453|     16.00000000|[2590, 375, 0, 78]                                                         |  | used linear model with 39 points | actual_k=8
      79|[-49.76847856491804, -5.789382956922054, 13.823487870395184, 40.100031811743975, 2.5034585893154144, -51.80986308120191, -9.163953181356192, -9.445850528776646, 14.365931320935488, -12.514581909403205, -2.360268134623766, -0.1179439816623926, 9.20064501836896, -9.449729753658175, 43.08762978389859, 46.383584916591644, 22.19791453704238, -6.159823141992092, 6.7406009919941425, 54.838323356583714, -12.838244241196662, -15.285113917663693]| 12.0172605514526367|     32.00000000|[2622, 381, 0, 79]                                                         | | GPS sucess | actual_k=8
      80|[-49.76847856491804, -5.789382956922054, 13.823487870395184, 40.100031811743975, 2.5034585893154144, -51.80986308120191, -9.163953181356192, -9.445850528776646, 14.365931320935488, -12.514581909403205, -2.360268134623766, -0.1179439816623926, 9.20064501836896, -9.449729753658175, 43.08762978389859, 46.383584916591644, 22.19791453704238, -6.159823141992092, 6.7406009919941425, 54.838323356583714, -12.838244241196662, -15.285113917663693]| 12.0172605514526367|     16.00000000|[2654, 387, 0, 80]                                                         |  | used linear model with 39 points | actual_k=8
      81|[-52.86973159760237, -1.557000182569027, 11.959815375506878, 42.63216372206807, -1.5482968389987946, -48.53254865668714, -13.342594977468252, -10.9455042257905, 9.984987068921328, -18.7301432993263, -1.510147113353014, 0.4759697522968054, 14.091022539883852, -11.239582611247897, 48.91923140361905, 42.59502190351486, 21.384450253099203, -9.514203272759914, 7.7068761475384235, 56.07866680808365, -13.390571158844978, -18.632900582626462]| 12.0128154754638672|     32.00000000|[2688, 391, 0, 81]                                                         | | GPS sucess | actual_k=8
      82|[-52.86973159760237, -1.557000182569027, 11.959815375506878, 42.63216372206807, -1.5482968389987946, -48.53254865668714, -13.342594977468252, -10.9455042257905, 9.984987068921328, -18.7301432993263, -1.510147113353014, 0.4759697522968054, 14.091022539883852, -11.239582611247897, 48.91923140361905, 42.59502190351486, 21.384450253099203, -9.514203272759914, 7.7068761475384235, 56.07866680808365, -13.390571158844978, -18.632900582626462]| 12.0128154754638672|     16.00000000|[2722, 395, 0, 82]                                                         |  | used linear model with 39 points | actual_k=8
      83|[-52.86973159760237, -1.557000182569027, 11.959815375506878, 42.63216372206807, -1.5482968389987946, -48.53254865668714, -13.342594977468252, -10.9455042257905, 9.984987068921328, -18.7301432993263, -1.510147113353014, 0.4759697522968054, 14.091022539883852, -11.239582611247897, 48.91923140361905, 42.59502190351486, 21.384450253099203, -9.514203272759914, 7.7068761475384235, 56.07866680808365, -13.390571158844978, -18.632900582626462]| 12.0128154754638672|      8.00000000|[2755, 400, 0, 83]                                                         |  | used linear model with 39 points | actual_k=8
      84|[-53.38462107628584, -0.0519042238593102, 15.618754021823406, 42.30364968255162, -0.4838601648807526, -45.89605497382581, -13.511183496564627, -10.241445936262608, 10.295554418116808, -20.09283303283155, -0.2630185075104237, -0.7258029375225306, 15.283251572400331, -14.084786726161838, 46.92272173240781, 44.03660577535629, 21.74872800335288, -12.62089391797781, 7.619382429867983, 54.445025922730565, -12.831060629803687, -20.92829285748303]| 12.0121459960937500|     16.00000000|[2787, 406, 0, 84]                                                         | | GPS sucess | actual_k=8
      85|[-53.38462107628584, -0.0519042238593102, 15.618754021823406, 42.30364968255162, -0.4838601648807526, -45.89605497382581, -13.511183496564627, -10.241445936262608, 10.295554418116808, -20.09283303283155, -0.2630185075104237, -0.7258029375225306, 15.283251572400331, -14.084786726161838, 46.92272173240781, 44.03660577535629, 21.74872800335288, -12.62089391797781, 7.619382429867983, 54.445025922730565, -12.831060629803687, -20.92829285748303]| 12.0121459960937500|      8.00000000|[2820, 411, 0, 85]                                                         |  | used linear model with 39 points | actual_k=8
      86|[-54.2910997197032, 2.175848461687565, 16.830424420535564, 42.641368735581636, 1.5848256051540375, -47.254511108621955, -10.709400411695242, -10.128588750958443, 10.26196588203311, -19.152965953573585, 0.7745413593947887, 0.7985200490802526, 17.111695934087038, -16.545554233714938, 43.307180035859346, 42.94401401281357, 21.457286205142736, -10.037365160882473, 8.89172999933362, 54.87550240941346, -10.981459599453956, -21.544829176738858]| 12.0112400054931641|     16.00000000|[2853, 416, 0, 86]                                                         | | GPS sucess | actual_k=8
      87|[-54.2910997197032, 2.175848461687565, 16.830424420535564, 42.641368735581636, 1.5848256051540375, -47.254511108621955, -10.709400411695242, -10.128588750958443, 10.26196588203311, -19.152965953573585, 0.7745413593947887, 0.7985200490802526, 17.111695934087038, -16.545554233714938, 43.307180035859346, 42.94401401281357, 21.457286205142736, -10.037365160882473, 8.89172999933362, 54.87550240941346, -10.981459599453956, -21.544829176738858]| 12.0112400054931641|      8.00000000|[2887, 420, 0, 87]                                                         |  | used linear model with 39 points | actual_k=8
      88|[-54.2910997197032, 2.175848461687565, 16.830424420535564, 42.641368735581636, 1.5848256051540375, -47.254511108621955, -10.709400411695242, -10.128588750958443, 10.26196588203311, -19.152965953573585, 0.7745413593947887, 0.7985200490802526, 17.111695934087038, -16.545554233714938, 43.307180035859346, 42.94401401281357, 21.457286205142736, -10.037365160882473, 8.89172999933362, 54.87550240941346, -10.981459599453956, -21.544829176738858]| 12.0112400054931641|      4.00000000|[2921, 424, 0, 88]                                                         |  | used linear model with 39 points | actual_k=8
      89|[-54.595840983092785, 2.365921102464199, 16.03359740227461, 42.99355750158429, 0.8993807733058929, -46.067403068766, -9.881731506437063, -10.291302368044853, 10.455312114208937, -19.186685552820563, 0.8497815988957882, -1.331092158332467, 16.09945647791028, -16.167649580165744, 43.49056449905038, 42.76826463639736, 20.203595604747534, -9.485762797296047, 10.275927353650331, 54.282979192212224, -10.237881523091346, -20.19520883448422]| 12.0107355117797852|      8.00000000|[2956, 427, 0, 89]                                                         | | GPS sucess | actual_k=8
      90|[-55.015174858272076, -0.0150858536362648, 16.232569612562656, 43.42819668725133, 2.821351259946823, -44.329114666208625, -11.13092052564025, -10.40857744216919, 10.595220681279898, -20.662741174921393, 3.0769432447850704, -3.402827540412545, 16.986703384667635, -17.78655488602817, 40.35737243667245, 39.97118102014065, 21.946805085986853, -11.99232979863882, 12.514550734311342, 53.835164370015264, -10.846540790516883, -21.54450194723904]| 12.0081911087036133|     16.00000000|[2990, 431, 0, 90]                                                         | | GPS sucess | actual_k=8
      91|[-55.015174858272076, -0.0150858536362648, 16.232569612562656, 43.42819668725133, 2.821351259946823, -44.329114666208625, -11.13092052564025, -10.40857744216919, 10.595220681279898, -20.662741174921393, 3.0769432447850704, -3.402827540412545, 16.986703384667635, -17.78655488602817, 40.35737243667245, 39.97118102014065, 21.946805085986853, -11.99232979863882, 12.514550734311342, 53.835164370015264, -10.846540790516883, -21.54450194723904]| 12.0081911087036133|      8.00000000|[3025, 434, 0, 91]                                                         |  | used linear model with 39 points | actual_k=8
      92|[-55.015174858272076, -0.0150858536362648, 16.232569612562656, 43.42819668725133, 2.821351259946823, -44.329114666208625, -11.13092052564025, -10.40857744216919, 10.595220681279898, -20.662741174921393, 3.0769432447850704, -3.402827540412545, 16.986703384667635, -17.78655488602817, 40.35737243667245, 39.97118102014065, 21.946805085986853, -11.99232979863882, 12.514550734311342, 53.835164370015264, -10.846540790516883, -21.54450194723904]| 12.0081911087036133|      4.00000000|[3057, 440, 0, 92]                                                         |  | used linear model with 39 points | actual_k=8
      93|[-55.183025516569614, -0.8138403668999672, 17.195899583399296, 43.40566192753613, 3.1225328147411346, -44.68778242729604, -11.924853559583426, -10.426914434880018, 10.519908722490072, -20.291412046179175, 4.069789972156286, -3.705823490396142, 17.229844082146883, -17.17715842835605, 39.49300894513726, 39.41381959617138, 22.908226873725653, -12.319138757884502, 12.082508493214846, 52.53408676572144, -12.494967561680824, -20.20073907263577]| 12.0080127716064453|      8.00000000|[3091, 444, 0, 93]                                                         | | GPS sucess | actual_k=8
      94|[-55.988420344889164, 0.1983438953757286, 17.579424150288105, 43.94520263560116, 4.2383197247982025, -45.34131129644811, -11.636785592883825, -8.6019258312881, 9.565914507955313, -21.99146502278745, 6.568941440433264, -3.9705459270626307, 17.962249029427767, -16.104079915210605, 40.70439264550805, 42.79942445456982, 20.07023658975959, -11.497874610126019, 13.741339851170778, 52.20470994897187, -12.39263814361766, -23.28943674452603]| 12.0058345794677734|     16.00000000|[3123, 450, 0, 94]                                                         | | GPS sucess | actual_k=8
      95|[-55.988420344889164, 0.1983438953757286, 17.579424150288105, 43.94520263560116, 4.2383197247982025, -45.34131129644811, -11.636785592883825, -8.6019258312881, 9.565914507955313, -21.99146502278745, 6.568941440433264, -3.9705459270626307, 17.962249029427767, -16.104079915210605, 40.70439264550805, 42.79942445456982, 20.07023658975959, -11.497874610126019, 13.741339851170778, 52.20470994897187, -12.39263814361766, -23.28943674452603]| 12.0058345794677734|      8.00000000|[3157, 454, 0, 95]                                                         |  | used linear model with 39 points | actual_k=8
      96|[-55.988420344889164, 0.1983438953757286, 17.579424150288105, 43.94520263560116, 4.2383197247982025, -45.34131129644811, -11.636785592883825, -8.6019258312881, 9.565914507955313, -21.99146502278745, 6.568941440433264, -3.9705459270626307, 17.962249029427767, -16.104079915210605, 40.70439264550805, 42.79942445456982, 20.07023658975959, -11.497874610126019, 13.741339851170778, 52.20470994897187, -12.39263814361766, -23.28943674452603]| 12.0058345794677734|      4.00000000|[3192, 457, 0, 96]                                                         |  | used linear model with 39 points | actual_k=8
      97|[-56.87578461319208, 0.1234689801931381, 18.737203128635883, 44.5082195866853, 4.144744768738747, -45.57370672188699, -11.779000978916883, -10.315741878002882, 9.80321853980422, -20.988430311903358, 7.257429923862219, -3.439873496070504, 19.819767702370882, -16.43322898261249, 42.04487559571862, 42.075396344065666, 20.403866674751043, -12.518859259784222, 13.942511636763811, 52.53720644302666, -11.721056636888534, -23.269159903749824]| 12.0040960311889648|      8.00000000|[3226, 461, 0, 97]                                                         | | GPS sucess | actual_k=8
      98|[-58.39546940475702, 2.717066153883934, 17.048936136066914, 45.7004221547395, 2.287145033478737, -43.82842848263681, -12.859611015766859, -9.812342088669538, 11.108074005693197, -19.883530786260962, 10.80006679520011, -2.877068618312478, 19.3007501848042, -17.54815794341266, 41.68047908321023, 41.15258304774761, 19.112324502319098, -11.728894226253033, 13.941183493705466, 53.60353890247643, -8.881352361757308, -25.057946315035224]| 12.0033473968505859|     16.00000000|[3258, 467, 0, 98]                                                         | | GPS sucess | actual_k=8
      99|[-58.39546940475702, 2.717066153883934, 17.048936136066914, 45.7004221547395, 2.287145033478737, -43.82842848263681, -12.859611015766859, -9.812342088669538, 11.108074005693197, -19.883530786260962, 10.80006679520011, -2.877068618312478, 19.3007501848042, -17.54815794341266, 41.68047908321023, 41.15258304774761, 19.112324502319098, -11.728894226253033, 13.941183493705466, 53.60353890247643, -8.881352361757308, -25.057946315035224]| 12.0033473968505859|      8.00000000|[3291, 472, 0, 99]                                                         |  | used linear model with 39 points | actual_k=8
     100|[-58.39546940475702, 2.717066153883934, 17.048936136066914, 45.7004221547395, 2.287145033478737, -43.82842848263681, -12.859611015766859, -9.812342088669538, 11.108074005693197, -19.883530786260962, 10.80006679520011, -2.877068618312478, 19.3007501848042, -17.54815794341266, 41.68047908321023, 41.15258304774761, 19.112324502319098, -11.728894226253033, 13.941183493705466, 53.60353890247643, -8.881352361757308, -25.057946315035224]| 12.0033473968505859|      4.00000000|[3327, 474, 0, 100]                                                        |  | used linear model with 39 points | actual_k=8
     101|[-59.81260643154383, 3.0087841898202896, 17.675455041229725, 46.788738118484616, 2.2906398992054164, -42.32969186268747, -13.37396053597331, -9.73563989624381, 11.541301634162664, -18.96232615970075, 9.915524210780859, -3.052419865503907, 19.42590594664216, -16.6224036347121, 41.923902962356806, 41.86676923930645, 19.026616390794516, -11.607439003884792, 14.22820942220278, 53.514988446608186, -8.587947931606323, -27.521301141008735]| 11.9991178512573242|      8.00000000|[3361, 478, 0, 101]                                                        | | GPS sucess | actual_k=8
     102|[-62.03928480297327, 3.2023084610700607, 18.326969988644123, 48.27101396210492, 2.3948656390421093, -42.20074965618551, -12.516393881291151, -10.680796172469854, 6.944045450538397, -20.11416315101087, 8.496720876544714, -5.0389318112283945, 18.921799961477518, -15.648691548034549, 43.58332035318017, 44.05462829768658, 20.46895867213607, -10.820504806935787, 13.97334282216616, 52.91030451096594, -6.8917621043510735, -27.35405803285539]| 11.9964342117309570|     16.00000000|[3394, 483, 0, 102]                                                        | | GPS sucess | actual_k=8
     103|[-62.03928480297327, 3.2023084610700607, 18.326969988644123, 48.27101396210492, 2.3948656390421093, -42.20074965618551, -12.516393881291151, -10.680796172469854, 6.944045450538397, -20.11416315101087, 8.496720876544714, -5.0389318112283945, 18.921799961477518, -15.648691548034549, 43.58332035318017, 44.05462829768658, 20.46895867213607, -10.820504806935787, 13.97334282216616, 52.91030451096594, -6.8917621043510735, -27.35405803285539]| 11.9964342117309570|      8.00000000|[3428, 487, 0, 103]                                                        |  | used linear model with 39 points | actual_k=8
